State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alabama,Chilton,"3,654",24.0%,50.0%,21.7%,4.2%,"28,554",8.1%,16.1%,40.5%,17.9%,5.3%,7.4%,4.8%,75.9%,12.2%,"5,596",76.9%,16.2%,"6,115",80.3%,15.0%,"11,115",81.4%,11.1%,"5,728",59.3%,7.3%,23.8%,15.0%,12.2%,3.6%,"30,818","21,171","28,954","31,106","41,748","51,580",56
Alabama,Choctaw,"1,057",28.5%,34.9%,36.2%,0.4%,"9,793",13.5%,15.4%,39.3%,13.7%,7.3%,6.8%,4.1%,71.1%,10.9%,"1,248",80.3%,15.3%,"1,970",75.1%,7.4%,"4,113",75.0%,11.9%,"2,462",56.6%,9.7%,28.8%,13.0%,10.2%,6.0%,"26,457","22,627","26,473","26,004","42,632","37,350",58
Alabama,Clarke,"2,669",35.8%,33.2%,30.2%,0.8%,"16,839",8.1%,15.7%,42.1%,14.2%,6.4%,8.5%,4.9%,76.1%,13.5%,"2,344",78.1%,19.7%,"3,801",83.2%,12.0%,"6,684",79.4%,12.3%,"4,010",62.9%,13.1%,42.9%,23.2%,13.7%,5.8%,"31,541","23,317","25,743","35,922","43,457","44,174",61
Alabama,Clay,"1,087",33.6%,44.3%,17.4%,4.7%,"9,828",9.7%,18.9%,38.8%,16.0%,7.1%,6.4%,3.1%,71.4%,9.5%,"1,548",76.4%,10.5%,"2,058",76.5%,12.1%,"3,708",74.6%,9.7%,"2,514",59.5%,6.6%,34.9%,10.6%,7.7%,9.6%,"29,449","22,398","26,153","30,489","34,025","47,634",65
Alabama,Cleburne,"1,138",37.3%,34.8%,22.9%,4.9%,"10,130",10.2%,19.5%,39.5%,17.4%,5.0%,4.7%,3.7%,70.3%,8.4%,"1,681",81.7%,11.0%,"2,063",73.1%,8.0%,"4,054",72.4%,9.3%,"2,332",56.0%,5.2%,23.0%,13.5%,11.5%,1.1%,"26,734","17,595","23,250","30,243","46,176","50,750",67
Alabama,Coffee,"4,240",20.4%,32.3%,33.9%,13.4%,"32,426",8.7%,12.0%,28.2%,20.8%,8.2%,13.6%,8.5%,79.3%,22.1%,"6,260",83.1%,25.9%,"6,745",80.3%,23.0%,"12,389",83.4%,23.2%,"7,032",67.7%,15.8%,31.0%,15.0%,9.5%,3.6%,"31,113","17,355","23,253","32,068","43,710","61,578",70
Alabama,Colbert,"4,321",24.3%,29.8%,40.5%,5.3%,"37,986",6.9%,13.0%,34.3%,22.2%,7.2%,10.5%,5.9%,80.1%,16.4%,"6,080",82.0%,16.9%,"7,335",86.2%,22.8%,"15,289",84.1%,14.6%,"9,282",67.4%,14.0%,21.7%,13.9%,7.2%,4.8%,"30,340","20,255","27,341","28,557","44,657","48,885",73
Alabama,Conecuh,"1,263",37.4%,37.9%,24.0%,0.7%,"8,917",9.6%,19.1%,37.0%,14.2%,10.4%,5.4%,4.3%,71.3%,9.7%,"1,256",75.6%,8.0%,"1,403",84.5%,14.5%,"3,937",74.0%,10.5%,"2,321",56.4%,6.4%,35.2%,27.0%,16.5%,0.8%,"26,610","17,636","22,056","26,543","39,849","49,876",80
Alabama,Coosa,865,25.1%,34.5%,39.8%,0.7%,"8,169",8.3%,18.6%,42.5%,16.0%,4.1%,5.7%,4.8%,73.1%,10.6%,"1,079",74.9%,7.1%,"1,605",75.1%,9.0%,"3,576",75.8%,9.9%,"1,909",65.3%,15.0%,23.7%,15.2%,10.0%,1.3%,"25,725","15,317","25,449","25,938","45,239","54,583",82
Alabama,Covington,"3,047",28.1%,37.4%,31.2%,3.3%,"26,024",8.9%,14.6%,37.3%,18.5%,7.6%,8.3%,4.8%,76.5%,13.1%,"4,095",82.1%,12.3%,"4,773",79.0%,15.6%,"10,360",81.4%,14.8%,"6,796",63.7%,9.2%,25.4%,14.6%,11.6%,7.2%,"24,116","17,495","21,383","27,243","36,866","52,431",88
Alabama,Crenshaw,"1,059",17.1%,40.3%,36.4%,6.1%,"9,548",10.7%,15.7%,38.2%,20.0%,5.3%,6.2%,3.9%,73.7%,10.1%,"1,589",78.2%,14.7%,"1,864",79.5%,9.0%,"3,833",77.5%,11.2%,"2,262",59.2%,6.0%,24.2%,15.4%,9.1%,0.6%,"25,530","19,454","25,357","25,996","39,663","36,094",90
Alabama,Cullman,"6,936",20.2%,36.6%,41.2%,2.0%,"54,240",8.2%,14.9%,33.6%,20.5%,9.0%,8.4%,5.4%,76.9%,13.8%,"9,706",78.6%,13.2%,"10,591",81.7%,13.5%,"21,544",83.0%,16.4%,"12,399",60.7%,10.0%,28.7%,12.2%,10.1%,2.4%,"27,931","19,267","25,714","28,917","40,967","48,659",98
Alabama,Dale,"4,753",21.4%,37.0%,33.9%,7.7%,"32,541",6.2%,11.6%,29.7%,25.8%,9.3%,11.9%,5.6%,82.2%,17.5%,"7,145",87.2%,20.1%,"6,281",87.2%,18.9%,"12,508",84.8%,18.7%,"6,607",67.2%,11.3%,27.5%,13.7%,8.8%,2.3%,"30,568","18,171","24,522","31,234","45,672","47,220",101
Alabama,Dallas,"4,135",27.9%,33.3%,33.8%,5.1%,"28,045",7.1%,16.1%,36.6%,18.0%,7.9%,8.2%,6.0%,76.8%,14.3%,"4,913",78.1%,12.0%,"5,283",85.4%,15.2%,"11,808",79.8%,15.3%,"6,041",62.6%,13.3%,42.3%,28.3%,16.0%,4.7%,"25,466","15,443","20,662","26,602","37,830","50,293",110
Alabama,DeKalb,"5,502",34.4%,33.0%,30.3%,2.2%,"46,314",14.2%,17.7%,33.8%,16.9%,6.5%,6.2%,4.7%,68.1%,10.9%,"9,416",67.7%,11.5%,"9,115",78.1%,11.6%,"18,216",71.1%,11.7%,"9,567",53.2%,8.3%,31.9%,13.6%,6.1%,4.7%,"25,403","18,101","25,104","28,916","36,314","47,247",112
Alabama,Elmore,"7,127",30.8%,37.0%,28.3%,3.9%,"51,758",5.0%,11.2%,35.2%,21.9%,6.5%,13.3%,6.9%,83.8%,20.2%,"10,386",85.4%,19.2%,"11,716",88.4%,20.6%,"20,770",84.9%,21.6%,"8,886",73.4%,17.6%,25.9%,10.4%,7.0%,1.2%,"32,082","21,191","25,844","32,976","47,768","52,759",118
Alabama,Escambia,"3,174",34.0%,34.2%,30.7%,1.0%,"25,907",8.4%,18.6%,35.3%,18.4%,8.4%,7.4%,3.6%,73.0%,10.9%,"5,066",67.5%,9.6%,"5,110",77.4%,9.1%,"10,176",77.1%,14.3%,"5,555",66.2%,7.7%,34.6%,17.4%,14.1%,4.4%,"26,349","14,951","22,404","30,851","42,038","48,352",122
Alabama,Etowah,"8,840",28.1%,32.7%,34.1%,5.0%,"71,016",6.3%,12.5%,33.2%,24.4%,7.8%,9.9%,5.9%,81.2%,15.8%,"12,305",84.8%,19.2%,"14,087",82.8%,17.4%,"28,409",85.6%,16.9%,"16,215",69.3%,10.0%,27.6%,14.5%,9.5%,3.4%,"28,698","17,746","22,059","30,410","41,753","50,577",131
Alabama,Fayette,"1,442",11.1%,46.7%,37.2%,5.0%,"12,082",11.2%,14.1%,37.6%,20.4%,7.2%,5.7%,3.7%,74.7%,9.5%,"1,765",73.9%,3.3%,"2,077",85.3%,10.0%,"5,101",81.1%,14.3%,"3,139",57.8%,4.7%,30.8%,14.8%,12.9%,3.7%,"27,964","16,934","26,981","28,145","58,214","40,242",134
Alabama,Franklin,"2,776",32.1%,30.7%,35.0%,2.2%,"20,876",12.5%,17.9%,32.2%,18.7%,7.0%,7.6%,4.2%,69.6%,11.8%,"3,654",64.6%,8.8%,"4,633",75.0%,12.6%,"7,934",76.9%,14.6%,"4,655",55.6%,8.3%,29.6%,17.0%,9.6%,4.4%,"24,283","17,434","21,495","27,230","40,279","52,778",138
Alabama,Geneva,"2,258",34.4%,35.3%,26.7%,3.5%,"18,274",10.3%,17.4%,37.5%,19.5%,7.3%,5.1%,2.9%,72.3%,8.0%,"2,721",81.4%,8.6%,"3,456",80.2%,13.2%,"7,525",74.4%,6.9%,"4,572",57.5%,5.5%,21.4%,15.2%,7.7%,5.1%,"23,616","16,828","23,380","25,208","38,722","50,603",140
Alabama,Greene,821,22.2%,49.8%,26.6%,1.5%,"6,088",11.6%,15.9%,36.9%,20.7%,5.0%,5.3%,4.7%,72.6%,9.9%,912,75.1%,4.3%,"1,013",88.9%,7.0%,"2,734",76.6%,12.1%,"1,429",51.7%,11.5%,33.9%,26.9%,22.3%,1.7%,"21,534","19,526","18,750","27,073","62,212","38,750",148
Alabama,Hale,"1,424",36.5%,33.1%,28.5%,1.9%,"10,552",7.8%,22.2%,34.2%,20.2%,5.6%,5.9%,4.1%,69.9%,10.0%,"1,818",61.9%,7.5%,"1,961",84.0%,11.0%,"4,480",77.5%,11.4%,"2,293",49.5%,8.2%,31.5%,21.7%,11.8%,5.6%,"23,401","17,615","20,152","30,200","33,333","46,250",150
Alabama,Henry,"1,340",24.5%,28.8%,43.0%,3.7%,"11,969",8.3%,15.6%,37.9%,17.2%,6.0%,8.8%,6.2%,76.1%,15.0%,"1,807",77.3%,17.8%,"2,208",88.2%,17.4%,"4,974",76.7%,16.5%,"2,980",65.4%,9.0%,27.4%,11.6%,11.8%,1.7%,"28,395","21,086","26,837","25,945","50,586","41,546",158
Alabama,Houston,"8,280",23.4%,42.2%,29.6%,4.8%,"66,161",6.0%,12.1%,33.2%,21.6%,8.1%,12.1%,6.8%,81.9%,19.0%,"12,584",83.9%,18.3%,"13,392",87.4%,22.6%,"26,412",84.5%,20.8%,"13,773",69.9%,12.5%,30.1%,13.4%,8.2%,2.7%,"29,296","16,713","24,588","29,522","44,456","52,371",160
Alabama,Jackson,"4,134",27.5%,34.3%,34.4%,3.8%,"36,997",10.1%,15.9%,36.4%,19.6%,6.0%,7.4%,4.6%,74.0%,12.0%,"6,150",83.0%,14.7%,"7,109",79.9%,11.7%,"15,400",75.8%,12.6%,"8,338",59.0%,9.0%,25.3%,15.7%,10.8%,3.3%,"26,398","20,908","23,178","29,073","41,376","50,765",164
Alabama,Jefferson,"64,488",18.8%,29.5%,40.8%,10.9%,"436,589",4.0%,9.5%,28.1%,22.7%,7.0%,18.1%,10.7%,86.6%,28.8%,"92,404",87.9%,34.4%,"86,295",90.3%,32.6%,"172,395",89.9%,28.8%,"85,495",74.6%,18.8%,28.9%,13.8%,10.7%,3.6%,"33,518","17,266","26,031","31,259","44,822","56,594",171
Alabama,Lamar,"1,096",40.9%,34.5%,21.4%,3.3%,"10,283",8.6%,16.1%,41.5%,19.2%,5.2%,6.0%,3.3%,75.3%,9.2%,"1,557",80.2%,14.5%,"1,857",76.7%,8.6%,"4,212",81.8%,9.2%,"2,657",61.0%,6.8%,27.2%,13.4%,13.0%,2.3%,"25,334","14,648","24,750","26,701","41,701","42,361",174
Alabama,Lauderdale,"9,823",15.8%,29.5%,49.2%,5.5%,"61,976",5.5%,11.6%,34.0%,21.0%,6.5%,13.6%,7.9%,82.9%,21.5%,"10,439",86.5%,22.5%,"11,800",86.6%,23.2%,"24,682",86.8%,23.2%,"15,055",71.2%,16.5%,28.0%,12.7%,13.2%,5.0%,"30,031","17,197","24,855","29,120","39,053","51,315",176
Alabama,Lawrence,"2,999",24.0%,37.2%,36.7%,2.0%,"23,169",8.5%,16.3%,39.2%,18.1%,7.3%,7.4%,3.3%,75.2%,10.7%,"3,827",83.7%,16.5%,"5,094",78.6%,12.3%,"9,553",76.5%,10.3%,"4,695",61.8%,4.9%,26.0%,8.4%,7.7%,1.7%,"30,581","20,998","27,178","29,474","39,027","42,900",181
Alabama,Lee,"28,838",7.1%,19.8%,63.2%,10.0%,"75,568",4.8%,10.0%,26.6%,20.6%,7.0%,17.5%,13.4%,85.2%,30.9%,"18,017",89.7%,35.2%,"17,022",89.1%,31.7%,"28,624",86.1%,31.0%,"11,905",70.4%,23.3%,27.5%,12.5%,8.9%,4.7%,"31,848","17,652","25,666","31,291","40,895","51,676",187
Alabama,Limestone,"6,237",25.0%,31.2%,37.0%,6.9%,"53,419",7.4%,12.1%,32.7%,19.7%,7.3%,14.5%,6.3%,80.4%,20.8%,"10,178",80.0%,22.5%,"12,334",85.1%,23.4%,"21,402",83.3%,20.7%,"9,505",68.5%,15.6%,28.6%,9.8%,7.2%,2.7%,"31,825","18,916","26,675","30,796","54,973","59,042",197
Alabama,Lowndes,"1,112",24.8%,48.4%,24.2%,2.6%,"7,626",9.6%,17.0%,39.2%,16.6%,4.8%,9.0%,3.7%,73.4%,12.7%,"1,131",68.6%,10.9%,"1,532",80.5%,15.5%,"3,336",81.8%,11.5%,"1,627",52.6%,13.9%,36.6%,20.2%,17.5%,5.1%,"25,393","13,232","23,722","27,056","35,603","46,563",205
Alabama,Macon,"3,823",8.8%,19.2%,69.4%,2.6%,"13,185",8.2%,13.1%,29.2%,20.7%,7.9%,10.7%,10.2%,78.8%,20.9%,"2,112",79.2%,23.0%,"2,434",88.9%,14.5%,"5,635",83.5%,21.2%,"3,004",61.3%,24.1%,36.4%,25.2%,20.9%,12.0%,"24,795","14,650","21,168","25,029","40,336","48,208",210
Alabama,Madison,"33,111",17.6%,28.8%,45.2%,8.4%,"212,171",3.9%,8.3%,22.2%,21.5%,6.7%,23.9%,13.5%,87.8%,37.4%,"41,391",87.1%,36.0%,"45,874",89.8%,40.2%,"86,110",90.2%,40.4%,"38,796",80.8%,28.8%,26.1%,10.9%,8.1%,2.2%,"36,426","17,064","25,292","31,499","55,342","71,803",217
Alabama,Marengo,"1,821",23.8%,38.6%,36.2%,1.4%,"13,985",6.7%,13.6%,37.6%,18.7%,5.5%,12.3%,5.6%,79.7%,17.9%,"2,096",86.5%,23.7%,"2,698",86.5%,21.3%,"5,819",82.4%,17.4%,"3,372",65.4%,12.2%,35.9%,22.4%,14.5%,1.5%,"27,150","18,875","20,200","31,286","38,839","50,482",220
Alabama,Marion,"2,282",16.3%,30.8%,51.8%,1.0%,"21,843",10.5%,18.6%,35.2%,18.8%,8.2%,5.0%,3.8%,71.0%,8.8%,"3,341",77.6%,10.5%,"4,233",82.1%,12.1%,"8,709",72.9%,8.1%,"5,560",55.5%,6.3%,22.2%,12.9%,10.8%,4.9%,"25,014","18,813","22,407","28,715","43,077","47,397",224
Alabama,Marshall,"7,661",27.8%,37.2%,30.5%,4.5%,"60,272",11.3%,14.9%,32.2%,19.6%,7.4%,9.1%,5.4%,73.7%,14.5%,"11,330",66.5%,10.5%,"12,246",77.7%,18.0%,"23,492",82.7%,16.4%,"13,204",60.2%,11.4%,30.9%,13.8%,9.5%,5.3%,"26,742","16,335","24,661","31,106","44,193","53,018",231
Alabama,Mobile,"40,668",21.2%,34.4%,37.3%,7.0%,"263,796",4.9%,12.8%,34.3%,20.9%,7.3%,13.1%,6.7%,82.3%,19.8%,"52,975",84.6%,21.1%,"52,446",85.7%,21.4%,"106,888",85.2%,20.7%,"51,487",70.3%,14.8%,29.7%,16.5%,11.0%,4.9%,"30,256","17,856","25,878","29,528","41,120","50,782",240
Alabama,Monroe,"1,896",24.5%,37.7%,37.3%,0.5%,"15,390",6.6%,18.0%,39.9%,17.5%,6.8%,8.1%,3.1%,75.4%,11.2%,"2,450",80.9%,5.1%,"3,015",81.1%,15.5%,"6,446",79.8%,13.4%,"3,479",58.5%,7.7%,32.5%,18.3%,17.5%,1.3%,"26,511","15,686","23,883","28,677","43,534","46,212",250
Alabama,Montgomery,"25,911",20.9%,27.3%,44.8%,6.9%,"145,359",4.8%,10.5%,27.5%,21.1%,5.5%,18.2%,12.3%,84.7%,30.5%,"32,403",84.1%,27.6%,"30,224",90.0%,34.5%,"55,878",87.8%,33.4%,"26,854",73.1%,23.7%,35.0%,17.0%,9.5%,3.5%,"31,395","14,627","23,285","29,606","43,366","56,371",256
Alabama,Morgan,"9,841",25.3%,34.4%,36.5%,3.9%,"79,297",7.5%,11.7%,31.6%,23.5%,6.7%,13.1%,6.0%,80.8%,19.1%,"14,706",77.7%,18.6%,"16,726",82.9%,20.9%,"31,722",85.2%,21.1%,"16,143",72.8%,13.6%,26.3%,11.7%,7.9%,4.7%,"29,066","18,382","24,204","30,903","46,444","54,898",262
Alabama,Perry,"1,339",14.9%,42.8%,39.8%,2.5%,"6,633",12.8%,15.7%,37.9%,15.3%,5.0%,8.5%,4.9%,71.5%,13.3%,"1,269",78.7%,18.1%,"1,069",81.5%,9.4%,"2,576",71.2%,13.6%,"1,719",60.5%,11.9%,35.1%,19.5%,14.9%,10.5%,"21,647","12,850","19,332","22,457","29,539","48,750",264
Alabama,Pickens,"1,717",23.7%,29.2%,46.0%,1.1%,"13,351",7.7%,13.6%,41.9%,20.3%,5.0%,8.1%,3.4%,78.7%,11.5%,"2,033",88.4%,10.1%,"2,447",84.6%,11.7%,"5,563",84.0%,15.8%,"3,308",59.5%,5.1%,41.1%,21.3%,13.4%,15.3%,"26,401","18,969","24,564","31,079","35,462","48,047",273
Alabama,Pike,"6,717",10.3%,18.6%,62.9%,8.2%,"18,646",7.2%,13.4%,35.5%,17.3%,3.0%,14.4%,9.3%,79.4%,23.7%,"3,677",81.3%,33.7%,"3,571",84.2%,26.4%,"7,382",81.1%,21.1%,"4,016",70.3%,16.9%,32.7%,16.2%,13.9%,6.7%,"27,766","17,044","25,760","25,872","39,076","52,719",279
Alabama,Randolph,"2,092",26.4%,38.9%,33.0%,1.7%,"15,319",11.6%,16.8%,36.3%,17.5%,5.6%,7.4%,4.8%,71.6%,12.2%,"2,269",78.6%,8.5%,"3,045",76.5%,14.6%,"6,192",74.6%,13.5%,"3,813",58.6%,10.4%,32.8%,14.9%,9.6%,1.9%,"25,683","13,713","22,262","29,756","45,809","49,250",284
Alabama,Russell,"4,876",26.5%,37.3%,33.8%,2.4%,"33,442",8.0%,15.1%,35.3%,22.7%,7.0%,8.4%,3.4%,76.9%,11.9%,"6,889",84.2%,15.5%,"6,646",79.7%,12.8%,"13,287",80.1%,11.0%,"6,620",59.9%,8.9%,32.0%,16.8%,10.9%,6.2%,"25,594","15,158","22,343","27,287","41,892","51,545",288
Alabama,St. Clair,"6,590",24.7%,35.8%,36.5%,2.9%,"54,763",6.1%,14.6%,36.4%,21.7%,6.6%,9.8%,4.7%,79.3%,14.5%,"10,856",82.7%,17.3%,"11,753",81.4%,16.4%,"21,908",82.8%,14.7%,"10,246",65.7%,8.7%,17.3%,9.9%,5.7%,3.9%,"34,358","20,830","31,895","35,425","45,565","49,612",292
Alabama,Shelby,"14,572",14.7%,31.4%,41.7%,12.2%,"124,951",2.9%,5.6%,22.3%,22.6%,7.0%,27.4%,12.2%,91.5%,39.6%,"26,858",91.4%,42.3%,"29,557",94.2%,45.1%,"49,633",93.7%,40.8%,"18,903",81.4%,24.2%,18.6%,8.0%,4.3%,2.0%,"42,911","20,839","30,200","38,746","53,869","62,554",298
Alabama,Sumter,"1,914",17.1%,44.7%,34.5%,3.6%,"8,634",10.8%,13.8%,40.2%,16.8%,5.6%,7.4%,5.3%,75.4%,12.8%,"1,399",90.6%,18.4%,"1,559",83.2%,10.0%,"3,638",81.7%,15.2%,"2,038",47.8%,6.8%,38.7%,25.0%,29.8%,1.4%,"22,920","20,952","17,280","20,773","36,750","56,352",303
Alabama,Talladega,"7,136",22.3%,34.6%,40.4%,2.7%,"55,620",7.7%,16.6%,37.1%,20.4%,6.3%,7.4%,4.5%,75.7%,11.9%,"10,025",76.8%,11.4%,"11,593",81.2%,13.7%,"22,706",79.0%,12.3%,"11,296",62.6%,9.7%,30.7%,11.7%,11.5%,3.4%,"27,204","20,008","25,309","26,913","42,719","51,085",306
Alabama,Tallapoosa,"3,354",31.8%,34.9%,26.4%,6.9%,"28,734",7.8%,16.1%,34.1%,19.2%,7.1%,10.1%,5.6%,76.1%,15.7%,"4,501",74.3%,17.6%,"5,376",78.2%,15.1%,"11,854",81.3%,16.4%,"7,003",67.0%,13.9%,20.9%,15.1%,9.3%,0.7%,"27,039","20,059","22,975","29,003","43,716","51,523",308
Alabama,Tuscaloosa,"36,483",14.0%,20.0%,56.4%,9.6%,"110,719",4.8%,10.6%,31.3%,21.3%,6.0%,15.7%,10.5%,84.7%,26.2%,"25,148",88.8%,31.2%,"22,487",88.5%,29.6%,"42,942",86.3%,25.1%,"20,142",71.8%,18.5%,29.0%,12.8%,10.9%,5.0%,"32,837","19,515","27,534","31,696","41,059","51,568",313
Alabama,Walker,"5,242",21.2%,37.4%,37.3%,4.1%,"46,946",8.3%,16.2%,35.7%,22.4%,7.8%,5.5%,4.2%,75.5%,9.7%,"8,001",83.7%,10.1%,"9,206",78.4%,10.0%,"19,049",79.3%,11.0%,"10,690",60.2%,6.7%,27.0%,14.0%,10.9%,3.3%,"28,400","19,347","25,348","30,239","42,386","57,543",317
Alabama,Washington,"1,476",26.5%,32.9%,38.9%,1.7%,"11,540",9.1%,12.9%,45.5%,18.7%,4.6%,6.5%,2.8%,78.0%,9.3%,"1,694",81.9%,7.0%,"2,479",89.8%,8.5%,"4,835",81.2%,11.0%,"2,532",57.8%,8.5%,26.5%,17.9%,7.6%,0.6%,"32,458","26,017","28,261","33,895","39,489","57,500",319
Alabama,Wilcox,947,18.0%,56.7%,25.3%,0.0%,"7,676",13.6%,17.8%,35.7%,14.2%,5.5%,10.7%,2.4%,68.5%,13.2%,"1,327",74.9%,11.1%,"1,546",72.3%,11.3%,"3,129",70.4%,15.6%,"1,674",56.5%,11.9%,39.2%,41.8%,20.5%,1.5%,"21,910","7,279","22,105","20,227","40,417","27,006",326
