State,Old_County_Name,New_County_Name,FID
North Carolina,Davidson (County),Davidson,1489
North Carolina,Anson (County),Anson,1972
North Carolina,Durham (County),Durham,1494
North Carolina,Edgecombe (County),Edgecombe,1495
North Carolina,Granville (County),Granville,1503
North Carolina,Guilford (County),Guilford,1506
North Carolina,Halifax (County),Halifax,1508
North Carolina,Harnett (County),Harnett,1509
North Carolina,Hoke (County),Hoke,1517
North Carolina,Franklin (County),Franklin,1498
North Carolina,Johnston (County),Johnston,1530
North Carolina,Lee (County),Lee,1540
North Carolina,Mecklenburg (County),Mecklenburg,1565
North Carolina,Montgomery (County),Montgomery,1573
North Carolina,Nash (County),Nash,1588
North Carolina,Moore (County),Moore,1584
North Carolina,Northampton (County),Northampton,1606
North Carolina,Orange (County),Orange,1630
North Carolina,Person (County),Person,1729
North Carolina,Randolph (County),Randolph,1741
North Carolina,Richmond (County),Richmond,1744
North Carolina,Union (County),Union,1798
North Carolina,Vance (County),Vance,1801
North Carolina,Scotland (County),Scotland,1772
North Carolina,Stanly (County),Stanly,1775
North Carolina,Rockingham (County),Rockingham,1751
North Carolina,Wake (County),Wake,1805
North Carolina,Warren (County),Warren,1809
North Carolina,Wilson (County),Wilson,1819
South Carolina,Edgefield (County),Edgefield,2735
South Carolina,Abbeville (County),Abbeville,2489
South Carolina,Allendale (County),Allendale,2527
South Carolina,Bamberg (County),Bamberg,2592
South Carolina,Barnwell (County),Barnwell,2605
South Carolina,Berkeley (County),Berkeley,2631
South Carolina,Calhoun (County),Calhoun,2635
South Carolina,Charleston (County),Charleston,2691
South Carolina,Aiken (County),Aiken,2503
South Carolina,Cherokee (County),Cherokee,2700
South Carolina,Chester (County),Chester,2704
South Carolina,Chesterfield (County),Chesterfield,2708
South Carolina,Clarendon (County),Clarendon,2715
South Carolina,Colleton (County),Colleton,2718
South Carolina,Darlington (County),Darlington,2721
South Carolina,Dillon (County),Dillon,2725
South Carolina,Dorchester (County),Dorchester,2730
South Carolina,Florence (County),Florence,2742
South Carolina,Georgetown (County),Georgetown,2752
South Carolina,Greenwood (County),Greenwood,2764
South Carolina,Fairfield (County),Fairfield,2738
South Carolina,Lancaster (County),Lancaster,2790
South Carolina,Laurens (County),Laurens,2794
South Carolina,Lee (County),Lee,2800
South Carolina,Kershaw (County),Kershaw,2787
South Carolina,McCormick (County),McCormick,2807
South Carolina,Marion (County),Marion,2811
South Carolina,Lexington (County),Lexington,2803
South Carolina,Newberry (County),Newberry,2818
South Carolina,Orangeburg (County),Orangeburg,2829
South Carolina,Richland (County),Richland,2843
South Carolina,Saluda (County),Saluda,2846
South Carolina,Spartanburg (County),Spartanburg,2851
South Carolina,Sumter (County),Sumter,2855
South Carolina,Marlboro (County),Marlboro,2813
South Carolina,Williamsburg (County),Williamsburg,2864
South Carolina,York (County),York,2867
Louisiana,Bienville (Parish),Bienville,1069
Louisiana,Claiborne (Parish),Claiborne,1095
Louisiana,Lincoln (Parish),Lincoln,1291
Louisiana,Ouachita (Parish),Ouachita,1306
South Carolina,Union (County),Union,2860
Louisiana,Richland (Parish),Richland,1439
Louisiana,Union (Parish),Union,1507
Louisiana,Webster (Parish),Webster,1518
Georgia,Decatur (County),Decatur,714
Georgia,Turner (County),Turner,108
Georgia,Colquitt (County),Colquitt,689
Georgia,Grady (County),Grady,797
Georgia,Mitchell (County),Mitchell,883
Louisiana,West Carroll (Parish),West Carroll,1522
Georgia,Tift (County),Tift,87
Alaska,Aleutians East (Borough),Aleutians East,346
Alaska,Anchorage (Borough),Anchorage,400
Alaska,Bethel (Census Area),Bethel,411
Alaska,Bristol Bay (Borough),Bristol Bay,423
Alaska,Denali (Borough),Denali,426
Alaska,Dillingham (Census Area),Dillingham,445
Alaska,Fairbanks North Star (Borough),Fairbanks North Star,454
Alaska,Kenai Peninsula (Borough),Kenai Peninsula,494
Alaska,Kodiak Island (Borough),Kodiak Island,533
Alaska,Lake and Peninsula (Borough),Lake and Peninsula,544
Alaska,Matanuska-Susitna (Borough),Matanuska-Susitna,556
Alaska,Southeast Fairbanks (Census Area),Southeast Fairbanks,690
Alaska,Valdez-Cordova (Census Area),Valdez-Cordova,710
Alabama,Cherokee (County),Cherokee,51
Alabama,DeKalb (County),DeKalb,112
Alabama,Jackson (County),Jackson,164
Alaska,Wade Hampton (Census Area),Wade Hampton,725
Virginia,Lynchburg,Lynchburg,2762
Virginia,Norton,Norton,2780
Virginia,Accomack (County),Accomack,2719
Virginia,Albemarle (County),Albemarle,2728
Virginia,Amelia (County),Amelia,2741
Virginia,Amherst (County),Amherst,2746
Virginia,Appomattox (County),Appomattox,2749
Virginia,Alleghany (County),Alleghany,2733
Virginia,Arlington (County),Arlington,2753
Virginia,Augusta (County),Augusta,2758
Virginia,Bath (County),Bath,2763
Virginia,Bedford (County),Bedford County,2769
Virginia,Bland (County),Bland,2772
Virginia,Brunswick (County),Brunswick,2777
Virginia,Buchanan (County),Buchanan,2784
Virginia,Buckingham (County),Buckingham,2785
Virginia,Campbell (County),Campbell,2788
Virginia,Caroline (County),Caroline,2793
Virginia,Carroll (County),Carroll,2797
Virginia,Charles City (County),Charles City,2806
Virginia,Botetourt (County),Botetourt,2776
Virginia,Charlotte (County),Charlotte,2810
Virginia,Chesterfield (County),Chesterfield,2816
Virginia,Clarke (County),Clarke,2819
Virginia,Craig (County),Craig,2820
Virginia,Culpeper (County),Culpeper,2824
Virginia,Cumberland (County),Cumberland,2827
Virginia,Dickenson (County),Dickenson,2832
Virginia,Dinwiddie (County),Dinwiddie,2838
Virginia,Essex (County),Essex,2842
Virginia,Fairfax (County),Fairfax County,2849
Virginia,Fauquier (County),Fauquier,2853
Virginia,Floyd (County),Floyd,2856
Virginia,Fluvanna (County),Fluvanna,2858
Virginia,Franklin (County),Franklin County,2862
Virginia,Frederick (County),Frederick,2868
Virginia,Giles (County),Giles,2873
Virginia,Goochland (County),Goochland,2892
Virginia,Grayson (County),Grayson,2896
Virginia,Greene (County),Greene,2899
Virginia,Greensville (County),Greensville,2902
Virginia,Halifax (County),Halifax,2904
Virginia,Hanover (County),Hanover,2909
Virginia,Henrico (County),Henrico,2915
Virginia,Henry (County),Henry,2918
Virginia,Isle of Wight (County),Isle of Wight,2925
Virginia,James City (County),James City,2930
Virginia,King and Queen (County),King and Queen,2936
Virginia,Highland (County),Highland,2920
Virginia,King George (County),King George,2938
Virginia,Lancaster (County),Lancaster,2948
Virginia,King William (County),King William,2943
Virginia,Lee (County),Lee,2950
Virginia,Loudoun (County),Loudoun,2952
Virginia,Louisa (County),Louisa,2953
Virginia,Lunenburg (County),Lunenburg,2954
Virginia,Madison (County),Madison,2955
Virginia,Mecklenburg (County),Mecklenburg,2964
Virginia,Middlesex (County),Middlesex,2965
Virginia,Montgomery (County),Montgomery,2966
Virginia,New Kent (County),New Kent,2971
Virginia,Nelson (County),Nelson,2968
Virginia,Northampton (County),Northampton,2982
Virginia,Nottoway (County),Nottoway,2984
Virginia,Orange (County),Orange,2985
Virginia,Page (County),Page,2986
Virginia,Patrick (County),Patrick,2987
Virginia,Pittsylvania (County),Pittsylvania,2988
Virginia,Powhatan (County),Powhatan,2989
Virginia,Prince Edward (County),Prince Edward,2990
Virginia,Prince George (County),Prince George,2991
Virginia,Northumberland (County),Northumberland,2983
Virginia,Prince William (County),Prince William,2992
Virginia,Rappahannock (County),Rappahannock,2994
Virginia,Pulaski (County),Pulaski,2993
Virginia,Richmond (County),Richmond County,2995
Virginia,Roanoke (County),Roanoke County,2996
Virginia,Rockbridge (County),Rockbridge,2997
Virginia,Scott (County),Scott,2585
Virginia,Russell (County),Russell,2999
Virginia,Shenandoah (County),Shenandoah,2594
Virginia,Rockingham (County),Rockingham,2998
Virginia,Smyth (County),Smyth,2600
Virginia,Southampton (County),Southampton,2608
Virginia,Spotsylvania (County),Spotsylvania,2619
Virginia,Stafford (County),Stafford,2629
Virginia,Sussex (County),Sussex,2647
Virginia,Warren (County),Warren,2662
Virginia,Surry (County),Surry,2636
Virginia,Washington (County),Washington,2667
Virginia,Westmoreland (County),Westmoreland,2684
Virginia,Wythe (County),Wythe,2699
Virginia,Wise (County),Wise,2695
Virginia,York (County),York,2709
Virginia,Tazewell (County),Tazewell,2656
Virginia,Alexandria,Alexandria,2712
Virginia,Colonial Heights,Colonial Heights,2727
Virginia,Danville,Danville,2732
Virginia,Emporia,Emporia,2736
Virginia,Fairfax,Fairfax City,2737
Virginia,Manassas,Manassas,2765
Virginia,Newport News,Newport News,2775
Virginia,Petersburg,Petersburg,2782
Virginia,Fredericksburg,Fredericksburg,2745
Virginia,Hopewell,Hopewell,2756
Virginia,Franklin,Franklin City,2744
Virginia,Richmond,Richmond City,2802
Virginia,Suffolk,Suffolk,2815
West Virginia,Barbour (County),Barbour,2975
West Virginia,Braxton (County),Braxton,2978
West Virginia,Cabell (County),Cabell,2980
West Virginia,Pocahontas (County),Pocahontas,3066
Virginia,Williamsburg,Williamsburg,2835
West Virginia,Calhoun (County),Calhoun,2981
West Virginia,Doddridge (County),Doddridge,3002
West Virginia,Gilmer (County),Gilmer,3008
West Virginia,Jackson (County),Jackson,3023
West Virginia,Harrison (County),Harrison,3021
West Virginia,Kanawha (County),Kanawha,3027
West Virginia,Lincoln (County),Lincoln,3031
West Virginia,Marion (County),Marion,3039
West Virginia,Monongalia (County),Monongalia,3050
West Virginia,Mason (County),Mason,3042
West Virginia,Preston (County),Preston,3068
West Virginia,Putnam (County),Putnam,3070
West Virginia,Randolph (County),Randolph,3075
West Virginia,Ritchie (County),Ritchie,3077
West Virginia,Lewis (County),Lewis,3029
West Virginia,Roane (County),Roane,3079
West Virginia,Taylor (County),Taylor,3082
West Virginia,Tyler (County),Tyler,3085
West Virginia,Wirt (County),Wirt,3095
Kentucky,Bourbon (County),Bourbon,1005
Kentucky,Harrison (County),Harrison,1119
West Virginia,Upshur (County),Upshur,3087
West Virginia,Tucker (County),Tucker,3084
West Virginia,Wetzel (County),Wetzel,3093
Kentucky,Johnson (County),Johnson,1148
Kentucky,Lawrence (County),Lawrence,1167
Kentucky,Oldham (County),Oldham,1252
Kentucky,Bath (County),Bath,934
Kentucky,Mason (County),Mason,1217
Kentucky,Pendleton (County),Pendleton,1260
Kentucky,Boyd (County),Boyd,1008
Kentucky,Carter (County),Carter,1044
Kentucky,Robertson (County),Robertson,1273
Kentucky,Fleming (County),Fleming,1083
Kentucky,Greenup (County),Greenup,1105
Kentucky,Lewis (County),Lewis,1180
Kentucky,Nicholas (County),Nicholas,1246
Kentucky,Rowan (County),Rowan,1279
Ohio,Adams (County),Adams,2248
Ohio,Gallia (County),Gallia,2383
Ohio,Jackson (County),Jackson,2472
Ohio,Lawrence (County),Lawrence,2499
Ohio,Meigs (County),Meigs,2549
Ohio,Scioto (County),Scioto,2048
Ohio,Pike (County),Pike,2034
Alabama,Jefferson (County),Jefferson,171
Alabama,Tuscaloosa (County),Tuscaloosa,313
Texas,Tarrant (County),Tarrant,2500
Maryland,Anne Arundel (County),Anne Arundel,1925
Maryland,Baltimore (County),Baltimore County,1939
Maryland,Calvert (County),Calvert,1946
Maryland,Caroline (County),Caroline,1949
Maryland,Charles (County),Charles,1294
Maryland,Howard (County),Howard,1379
Maryland,Kent (County),Kent,1394
Maryland,Montgomery (County),Montgomery,1398
Maryland,Dorchester (County),Dorchester,1346
Maryland,Frederick (County),Frederick,1357
Maryland,St. Mary's (County),St. Mary's,1421
Maryland,Talbot (County),Talbot,1438
Maryland,Baltimore,Baltimore City,1460
District of Columbia,District of Columbia (County-equivalent),District of Columbia,630
Maryland,Prince George's (County),Prince George's,1403
Maryland,Queen Anne's (County),Queen Anne's,1413
Maine,Aroostook (County),Aroostook,1535
Maine,Franklin (County),Franklin,1619
Maine,Kennebec (County),Kennebec,1755
Maine,Oxford (County),Oxford,1842
Maine,Piscataquis (County),Piscataquis,1851
Maine,Androscoggin (County),Androscoggin,1532
Maine,Somerset (County),Somerset,1860
Maine,Washington (County),Washington,1884
Kansas,Crawford (County),Crawford,756
Kansas,Labette (County),Labette,831
Kansas,Neosho (County),Neosho,862
Missouri,St. Charles (County),St. Charles,1205
Missouri,Ste. Genevieve (County),Ste. Genevieve,1209
Missouri,St. Francois (County),St. Francois,1212
Missouri,Crawford (County),Crawford,1028
Missouri,St. Louis (County),St. Louis County,1216
Missouri,Warren (County),Warren,1251
Missouri,Washington (County),Washington,1253
Missouri,Franklin (County),Franklin,1047
Missouri,Gasconade (County),Gasconade,1049
Missouri,Jefferson (County),Jefferson,1082
New Mexico,Chaves (County),Chaves,1578
New Mexico,DeBaca (County),De Baca,1589
New Mexico,Dona Ana (County),Doña Ana,1590
New Mexico,Eddy (County),Eddy,1592
New Mexico,Guadalupe (County),Guadalupe,1595
New Mexico,Lincoln (County),Lincoln,1613
New Mexico,Sierra (County),Sierra,1657
New Mexico,Bernalillo (County),Bernalillo,1574
New Mexico,Cibola (County),Cibola,1580
New Mexico,McKinley (County),McKinley,1626
New Mexico,Mora (County),Mora,1629
New Mexico,Rio Arriba (County),Rio Arriba,1639
New Mexico,Sandoval (County),Sandoval,1646
New Mexico,Socorro (County),Socorro,1659
New Mexico,San Juan (County),San Juan,1650
New Mexico,San Miguel (County),San Miguel,1652
New Mexico,Santa Fe (County),Santa Fe,1654
New Mexico,Taos (County),Taos,1662
New Mexico,Torrance (County),Torrance,1664
New Mexico,Otero (County),Otero,1633
South Dakota,Custer (County),Custer,2908
South Dakota,Fall River (County),Fall River,2919
South Dakota,Jackson (County),Jackson,2939
South Dakota,Pennington (County),Pennington,2497
South Dakota,Oglala Lakota (County),Shannon,2519
Tennessee,Anderson (County),Anderson,2584
New Mexico,Los Alamos (County),Los Alamos,1618
Tennessee,Benton (County),Benton,2598
Tennessee,Davidson (County),Davidson,2698
Tennessee,Cheatham (County),Cheatham,2660
Tennessee,Henry (County),Henry,2789
Tennessee,Hickman (County),Hickman,2792
Tennessee,Jackson (County),Jackson,2801
Tennessee,Lake (County),Lake,2817
Tennessee,Knox (County),Knox,2814
Tennessee,Obion (County),Obion,2872
Tennessee,Perry (County),Perry,2878
Tennessee,Pickett (County),Pickett,2881
Tennessee,Stewart (County),Stewart,2041
Tennessee,Houston (County),Houston,2796
Tennessee,Weakley (County),Weakley,2096
Wisconsin,Barron (County),Barron,3106
Wisconsin,Burnett (County),Burnett,3115
Wisconsin,Forest (County),Forest,3141
Wisconsin,Oneida (County),Oneida,3183
Wisconsin,Iron (County),Iron,3151
Wisconsin,Polk (County),Polk,3191
Wisconsin,Rusk (County),Rusk,3199
Wisconsin,Sawyer (County),Sawyer,3203
Wisconsin,Washburn (County),Washburn,3004
Wisconsin,Adams (County),Adams,3101
Wisconsin,Green (County),Green,3145
Wisconsin,Ashland (County),Ashland,3104
Wisconsin,Jackson (County),Jackson,3153
Wisconsin,Monroe (County),Monroe,3179
Wisconsin,Dodge (County),Dodge,3126
Wisconsin,Racine (County),Racine,3195
Wisconsin,Waukesha (County),Waukesha,3007
Wisconsin,Columbia (County),Columbia,3120
Wisconsin,Dane (County),Dane,3124
Wisconsin,Crawford (County),Crawford,3122
Wisconsin,Grant (County),Grant,3143
Wisconsin,Iowa (County),Iowa,3148
Wisconsin,Juneau (County),Juneau,3156
Wisconsin,Kenosha (County),Kenosha,3158
Wisconsin,Lafayette (County),Lafayette,3163
Wisconsin,Milwaukee (County),Milwaukee,3177
Wisconsin,Walworth (County),Walworth,3003
Minnesota,Clearwater (County),Clearwater,1899
Minnesota,Roseau (County),Roseau,1976
Minnesota,Dodge (County),Dodge,1906
Wisconsin,Richland (County),Richland,3196
Wisconsin,Vernon (County),Vernon,3213
Wisconsin,Sauk (County),Sauk,3202
Minnesota,Freeborn (County),Freeborn,1910
Minnesota,Ramsey (County),Ramsey,1964
Minnesota,Faribault (County),Faribault,1908
Minnesota,Becker (County),Becker,1878
Minnesota,Clay (County),Clay,1898
Minnesota,Dakota (County),Dakota,1904
Minnesota,Chippewa (County),Chippewa,1896
Minnesota,Winona (County),Winona,1998
Minnesota,Yellow Medicine (County),Yellow Medicine,1531
Minnesota,Houston (County),Houston,1914
Minnesota,Mahnomen (County),Mahnomen,1936
Minnesota,Mower (County),Mower,1945
Minnesota,Norman (County),Norman,1951
** North Dakota,Statewide,Statewide,Statewide **
Minnesota,Fillmore (County),Fillmore,1909
North Dakota,Dickey (County),Dickey,2004
North Dakota,Emmons (County),Emmons,2021
North Dakota,Barnes (County),Barnes,1828
North Dakota,Cavalier (County),Cavalier,1849
North Dakota,LaMoure (County),LaMoure,2074
North Dakota,McIntosh (County),McIntosh,2090
North Dakota,Morton (County),Morton,2114
North Dakota,Steele (County),Steele,2186
North Dakota,Stutsman (County),Stutsman,2199
North Dakota,Mountrail (County),Mountrail,2119
North Dakota,Towner (County),Towner,2205
North Dakota,Ward (County),Ward,2233
North Dakota,Benson (County),Benson,1831
North Dakota,Bottineau (County),Bottineau,1836
North Dakota,Burke (County),Burke,1841
North Dakota,Burleigh (County),Burleigh,1844
North Dakota,Cass (County),Cass,1848
North Dakota,Eddy (County),Eddy,2017
North Dakota,Foster (County),Foster,2026
North Dakota,Grand Forks (County),Grand Forks,2043
North Dakota,Griggs (County),Griggs,2056
North Dakota,Kidder (County),Kidder,2068
North Dakota,McHenry (County),McHenry,2082
North Dakota,McLean (County),McLean,2103
North Dakota,Nelson (County),Nelson,2122
North Dakota,Pembina (County),Pembina,2131
North Dakota,Pierce (County),Pierce,2136
North Dakota,Ramsey (County),Ramsey,2141
North Dakota,Renville (County),Renville,2150
North Dakota,Richland (County),Richland,2156
North Dakota,Rolette (County),Rolette,2161
North Dakota,Ransom (County),Ransom,2147
North Dakota,Sheridan (County),Sheridan,2169
North Dakota,Traill (County),Traill,2217
North Dakota,Walsh (County),Walsh,2225
North Dakota,Wells (County),Wells,2237
North Dakota,Logan (County),Logan,2078
North Dakota,Oliver (County),Oliver,2127
North Dakota,Sargent (County),Sargent,2164
New York,Cattaraugus (County),Cattaraugus,1687
New York,Erie (County),Erie,1723
New York,Essex (County),Essex,1728
New York,Greene (County),Greene,1739
New York,Orleans (County),Orleans,1862
New York,Rensselaer (County),Rensselaer,1874
New York,Allegany (County),Allegany,1674
New York,Schoharie (County),Schoharie,1888
New York,Steuben (County),Steuben,1891
New York,Albany (County),Albany,1673
New York,Chenango (County),Chenango,1699
New York,Schenectady (County),Schenectady,1887
New York,Dutchess (County),Dutchess,1711
New York,Herkimer (County),Herkimer,1745
New York,Lewis (County),Lewis,1790
New York,Columbia (County),Columbia,1704
New York,Livingston (County),Livingston,1791
New York,Madison (County),Madison,1796
New York,Montgomery (County),Montgomery,1807
New York,Oneida (County),Oneida,1852
New York,Onondaga (County),Onondaga,1853
New York,Otsego (County),Otsego,1868
New York,Sullivan (County),Sullivan,1928
New York,Tioga (County),Tioga,1930
New York,Niagara (County),Niagara,1850
New York,Ulster (County),Ulster,1935
New York,Yates (County),Yates,1965
New York,Tompkins (County),Tompkins,1933
Vermont,Addison (County),Addison,2590
Vermont,Bennington (County),Bennington,2591
Vermont,Orange (County),Orange,2612
Vermont,Rutland (County),Rutland,2615
Vermont,Windham (County),Windham,2620
New Jersey,Morris (County),Morris,1511
New Jersey,Sussex (County),Sussex,1561
Ohio,Lucas (County),Lucas,2520
Vermont,Windsor (County),Windsor,2625
Montana,Blaine (County),Blaine,1124
Montana,Broadwater (County),Broadwater,1132
Montana,Carbon (County),Carbon,1137
Montana,Carter (County),Carter,1141
Montana,Cascade (County),Cascade,1144
Montana,Chouteau (County),Chouteau,1150
Montana,Big Horn (County),Big Horn,1274
Montana,Custer (County),Custer,1153
Montana,Deer Lodge (County),Deer Lodge,1163
Montana,Fallon (County),Fallon,1165
Montana,Fergus (County),Fergus,1169
Montana,Flathead (County),Flathead,1173
Montana,Gallatin (County),Gallatin,1177
Montana,Garfield (County),Garfield,1182
Montana,Golden Valley (County),Golden Valley,1189
Montana,Granite (County),Granite,1192
Montana,Hill (County),Hill,1195
Montana,Jefferson (County),Jefferson,1199
Montana,Judith Basin (County),Judith Basin,1202
Montana,Glacier (County),Glacier,1186
Montana,Lake (County),Lake,1207
Montana,Lewis and Clark (County),Lewis and Clark,1211
Montana,Liberty (County),Liberty,1214
Montana,Lincoln (County),Lincoln,1219
Montana,Meagher (County),Meagher,1231
Montana,Madison (County),Madison,1226
Montana,Missoula (County),Missoula,1239
Montana,Musselshell (County),Musselshell,1241
Montana,Park (County),Park,1244
Montana,Petroleum (County),Petroleum,1247
Montana,Mineral (County),Mineral,1234
Montana,Phillips (County),Phillips,1250
Montana,Pondera (County),Pondera,1254
Montana,Powder River (County),Powder River,1259
Montana,Prairie (County),Prairie,1264
Montana,Ravalli (County),Ravalli,1268
Montana,Rosebud (County),Rosebud,1277
Montana,Sanders (County),Sanders,1278
Montana,Powell (County),Powell,1262
Montana,Silver Bow (County),Silver Bow,1284
Montana,Stillwater (County),Stillwater,1286
Montana,Sweet Grass (County),Sweet Grass,1288
Montana,Teton (County),Teton,1290
Montana,Toole (County),Toole,1292
Montana,Treasure (County),Treasure,1293
Montana,Yellowstone (County),Yellowstone,1302
Montana,Beaverhead (County),Beaverhead,1269
Idaho,Ada (County),Ada,336
Montana,Wheatland (County),Wheatland,1298
Idaho,Bingham (County),Bingham,362
Idaho,Blaine (County),Blaine,371
Idaho,Boise (County),Boise,380
Idaho,Clearwater (County),Clearwater,474
Idaho,Custer (County),Custer,484
Idaho,Elmore (County),Elmore,490
Idaho,Jerome (County),Jerome,547
Idaho,Lemhi (County),Lemhi,566
Idaho,Lewis (County),Lewis,574
Idaho,Lincoln (County),Lincoln,578
Idaho,Power (County),Power,613
Idaho,Valley (County),Valley,643
Idaho,Bannock (County),Bannock,343
Idaho,Idaho (County),Idaho,528
California,Napa (County),Napa,236
Ohio,Greene (County),Greene,2393
Florida,Bay (County),Bay,658
Florida,Gulf (County),Gulf,941
Florida,Jefferson (County),Jefferson,951
Florida,Leon (County),Leon,955
Florida,Escambia (County),Escambia,931
Florida,Franklin (County),Franklin,937
Florida,Calhoun (County),Calhoun,699
Florida,Okaloosa (County),Okaloosa,965
Florida,Wakulla (County),Wakulla,984
Florida,Collier (County),Collier,894
Florida,Broward (County),Broward,695
Florida,Dade (County),Maimi-Dade,962
Michigan,Oakland (County),Oakland,1824
Florida,Monroe (County),Monroe,963
Michigan,Wayne (County),Wayne,1871
** Arizona,Statewide,Statewide,Statewide **
Arizona,Cochise (County),Cochise,763
Arizona,Santa Cruz (County),Santa Cruz,32
Arizona,Yavapai (County),Yavapai,35
Arizona,La Paz (County),La Paz,3
Arizona,Maricopa (County),Maricopa,9
Arizona,Pinal (County),Pinal,26
Hawaii,Maui (County),Maui,323
Hawaii,Hawaii (County),Hawaii,198
Oklahoma,Cotton (County),Cotton,2146
Oklahoma,Jackson (County),Jackson,2202
Oklahoma,Kiowa (County),Kiowa,2222
Oklahoma,McClain (County),McClain,2245
Oklahoma,Oklahoma (County),Oklahoma,2303
Oklahoma,Carter (County),Carter,2126
Oklahoma,Comanche (County),Comanche,2145
Oklahoma,Grady (County),Grady,2184
Oklahoma,Jefferson (County),Jefferson,2206
Oklahoma,Tillman (County),Tillman,2005
Oklahoma,Caddo (County),Caddo,2118
Montana,McCone (County),McCone,1223
Montana,Roosevelt (County),Roosevelt,1275
Montana,Sheridan (County),Sheridan,1281
Montana,Wibaux (County),Wibaux,1300
Wyoming,Crook (County),Crook,3025
Montana,Richland (County),Richland,1271
Wyoming,Weston (County),Weston,3058
Alabama,Etowah (County),Etowah,131
Alabama,Geneva (County),Geneva,140
Wyoming,Platte (County),Platte,3045
Wyoming,Goshen (County),Goshen,3030
Alabama,Henry (County),Henry,158
Alabama,Houston (County),Houston,160
Alabama,Limestone (County),Limestone,197
Alabama,Macon (County),Macon,210
Alabama,St. Clair (County),St. Clair,292
Alabama,Dale (County),Dale,101
North Dakota,Bowman (County),Bowman,1838
North Dakota,Divide (County),Divide,2007
North Dakota,Golden Valley (County),Golden Valley,2036
North Dakota,McKenzie (County),McKenzie,2097
North Dakota,Williams (County),Williams,2244
Arkansas,Boone (County),Boone,62
Arkansas,Sharp (County),Sharp,394
Arkansas,Greene (County),Greene,162
Arkansas,Independence (County),Independence,200
Arkansas,Baxter (County),Baxter,54
Arkansas,Benton (County),Benton,59
Arkansas,Bradley (County),Bradley,68
Arkansas,Calhoun (County),Calhoun,72
Arkansas,Clark (County),Clark,86
Arkansas,Cleburne (County),Cleburne,97
Arkansas,Cleveland (County),Cleveland,103
Arkansas,Columbia (County),Columbia,107
Arkansas,Conway (County),Conway,109
Arkansas,Crawford (County),Crawford,115
Arkansas,Crittenden (County),Crittenden,119
Arkansas,Cross (County),Cross,124
Arkansas,Dallas (County),Dallas,128
Arkansas,Drew (County),Drew,136
Arkansas,Faulkner (County),Faulkner,141
Arkansas,Franklin (County),Franklin,144
Arkansas,Fulton (County),Fulton,146
Arkansas,Garland (County),Garland,151
Arkansas,Desha (County),Desha,130
Arkansas,Hempstead (County),Hempstead,172
Arkansas,Hot Spring (County),Hot Spring,184
Arkansas,Howard (County),Howard,191
Arkansas,Izard (County),Izard,203
