County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Alabama,Hale,33.7%,37.0%,61.3%,7.2%,31.5%,150
Alabama,Henry,31.3%,44.4%,76.7%,4.2%,19.1%,158
Alabama,Houston,33.7%,33.3%,72.5%,13.3%,14.2%,160
Alabama,Jackson,31.4%,39.8%,71.4%,5.8%,22.8%,164
Alabama,Jefferson,32.6%,32.0%,74.8%,21.8%,3.4%,171
Alabama,Lamar,30.4%,39.0%,73.1%,9.7%,17.2%,174
Alabama,Lauderdale,30.4%,37.5%,77.0%,13.8%,9.2%,176
Alabama,Lawrence,35.2%,33.9%,71.1%,5.1%,23.9%,181
Alabama,Lee,31.3%,22.4%,55.4%,22.2%,22.4%,187
Alabama,Limestone,34.9%,32.2%,75.7%,9.1%,15.2%,197
Alabama,Lowndes,36.9%,39.4%,58.4%,6.5%,35.0%,205
Alabama,Macon,33.3%,38.1%,66.0%,14.1%,20.0%,210
Alabama,Madison,33.0%,29.9%,76.0%,18.6%,5.4%,217
Alabama,Marengo,33.1%,40.3%,65.7%,8.8%,25.5%,220
Alabama,Marion,30.6%,40.6%,69.5%,10.0%,20.5%,224
Alabama,Marshall,34.7%,36.1%,75.0%,9.0%,16.0%,231
Alabama,Mobile,35.5%,33.2%,75.7%,15.5%,8.8%,240
Alabama,Monroe,33.3%,37.6%,70.0%,6.6%,23.4%,250
Alabama,Montgomery,34.8%,30.5%,76.3%,20.2%,3.5%,256
Alabama,Morgan,33.6%,34.4%,75.3%,13.4%,11.3%,262
Alabama,Perry,39.3%,38.7%,64.2%,12.8%,23.0%,264
Alabama,Pickens,32.5%,38.9%,65.2%,11.2%,23.5%,273
Alabama,Pike,31.4%,32.0%,56.7%,19.0%,24.3%,279
Alabama,Randolph,33.2%,38.6%,71.7%,5.5%,22.7%,284
Alabama,Russell,33.3%,33.2%,65.1%,17.4%,17.5%,288
Alabama,St. Clair,36.0%,34.9%,66.1%,5.4%,28.5%,292
Alabama,Shelby,38.1%,26.2%,79.5%,10.6%,9.9%,298
Alabama,Sumter,28.7%,35.3%,56.8%,14.3%,28.9%,303
Alabama,Talladega,34.9%,35.4%,65.5%,9.5%,25.0%,306
Alabama,Tallapoosa,31.7%,40.4%,71.6%,9.6%,18.9%,308
Alabama,Tuscaloosa,29.1%,28.3%,65.5%,22.3%,12.2%,313
Alabama,Walker,31.8%,41.2%,67.9%,6.1%,26.0%,317
Alabama,Washington,37.7%,38.6%,76.3%,3.0%,20.6%,319
Alabama,Wilcox,36.4%,42.0%,63.0%,8.2%,28.8%,326
Alabama,Winston,31.0%,41.9%,68.8%,7.8%,23.5%,332
Alaska,Aleutians East,37.5%,31.8%,82.0%,14.6%,3.4%,346
Alaska,Aleutians West,32.8%,23.8%,57.8%,38.0%,4.2%,381
Alaska,Anchorage,37.9%,21.9%,61.7%,33.9%,4.5%,400
Alaska,Bethel,56.7%,24.4%,82.9%,15.2%,1.9%,411
Alaska,Bristol Bay,34.4%,31.5%,78.5%,18.5%,2.9%,423
Alaska,Denali,25.7%,13.1%,86.2%,10.5%,3.3%,426
Alaska,Dillingham,44.7%,26.1%,82.0%,15.1%,3.0%,445
Alaska,Fairbanks North Star,37.2%,20.1%,70.4%,25.0%,4.6%,454
Alaska,Haines,20.4%,41.0%,77.3%,15.5%,7.3%,462
Alaska,Hoonah-Angoon,30.7%,31.7%,81.0%,11.1%,8.0%,476
Alaska,Juneau,35.5%,25.4%,60.4%,30.9%,8.8%,482
Alaska,Kenai Peninsula,30.9%,27.6%,79.7%,13.6%,6.7%,494
Alaska,Ketchikan Gateway,33.9%,26.2%,58.2%,37.1%,4.7%,514
Alaska,Kodiak Island,42.2%,20.2%,62.1%,28.4%,9.6%,533
Alaska,Lake and Peninsula,42.9%,30.5%,95.3%,4.7%,0.0%,544
Alaska,Matanuska-Susitna,41.3%,23.9%,84.1%,11.7%,4.1%,556
Alaska,Nome,48.2%,23.2%,78.7%,18.5%,2.8%,571
Alaska,North Slope,54.4%,32.6%,79.7%,19.4%,0.9%,614
Alaska,Northwest Arctic,58.7%,28.7%,72.6%,25.4%,2.1%,638
Alaska,Petersburg,28.1%,28.9%,75.7%,10.2%,14.1%,645
Alaska,Prince of Wales-Hyder,35.0%,28.2%,71.7%,9.4%,18.9%,669
Alaska,Sitka,38.8%,25.4%,61.8%,22.8%,15.5%,679
Alaska,Skagway,38.9%,21.8%,71.8%,20.2%,8.0%,683
Alaska,Southeast Fairbanks,31.2%,26.5%,78.6%,17.4%,4.0%,690
Alaska,Valdez-Cordova,37.9%,22.0%,61.2%,20.7%,18.1%,710
Alaska,Wade Hampton,68.8%,23.7%,93.6%,4.9%,1.6%,725
Alaska,Wrangell,30.6%,34.5%,73.2%,11.5%,15.3%,733
Alaska,Yakutat,36.6%,46.7%,74.7%,10.9%,14.4%,744
Alaska,Yukon-Koyukuk,35.5%,29.5%,95.5%,2.8%,1.7%,753
Arizona,Apache,36.2%,41.6%,72.3%,6.2%,21.5%,761
Arizona,Cochise,32.6%,41.4%,66.4%,11.4%,22.2%,763
Arizona,Coconino,33.6%,26.2%,63.4%,21.3%,15.3%,771
Arizona,Gila,23.5%,52.3%,68.8%,5.9%,25.4%,787
Arizona,Graham,42.3%,35.5%,64.3%,6.7%,29.0%,0
Arizona,Greenlee,39.2%,30.4%,76.1%,3.2%,20.7%,1
Arizona,La Paz,25.0%,56.7%,51.2%,3.5%,45.3%,3
Arizona,Maricopa,35.1%,29.9%,71.9%,23.1%,5.0%,9
Arizona,Mohave,24.9%,48.7%,63.9%,9.0%,27.1%,15
Arizona,Navajo,39.5%,38.3%,69.7%,8.0%,22.3%,17
Arizona,Pima,29.7%,35.7%,67.9%,21.8%,10.3%,21
Arizona,Pinal,36.0%,36.4%,74.0%,5.5%,20.4%,26
Arizona,Santa Cruz,41.7%,40.0%,77.9%,16.4%,5.7%,32
Arizona,Yavapai,22.5%,48.8%,68.3%,11.2%,20.4%,35
Arizona,Yuma,43.0%,38.7%,58.9%,12.9%,28.1%,42
Arkansas,Arkansas,26.9%,34.1%,74.5%,11.4%,14.1%,46
Arkansas,Ashley,35.9%,38.3%,72.8%,8.8%,18.4%,50
Arkansas,Baxter,22.9%,50.6%,76.5%,10.7%,12.8%,54
Arkansas,Benton,37.5%,30.1%,79.8%,14.1%,6.1%,59
Arkansas,Boone,32.5%,39.2%,76.1%,12.1%,11.8%,62
Arkansas,Bradley,34.0%,40.0%,77.0%,7.8%,15.3%,68
Arkansas,Calhoun,36.7%,42.0%,69.3%,3.0%,27.7%,72
Arkansas,Carroll,30.2%,41.0%,71.7%,12.2%,16.1%,74
Arkansas,Chicot,31.5%,45.9%,68.7%,9.3%,22.0%,77
Arkansas,Clark,29.1%,35.8%,68.2%,13.4%,18.4%,86
Arkansas,Clay,28.2%,44.3%,82.5%,8.5%,9.1%,93
Arkansas,Cleburne,27.1%,49.5%,73.4%,6.2%,20.4%,97
Arkansas,Cleveland,31.2%,37.0%,70.8%,2.6%,26.6%,103
Arkansas,Columbia,31.2%,37.2%,70.1%,10.9%,18.9%,107
Arkansas,Conway,30.7%,40.4%,73.1%,6.8%,20.2%,109
Arkansas,Craighead,36.1%,29.8%,73.3%,19.1%,7.6%,114
Arkansas,Crawford,38.3%,32.6%,77.1%,10.5%,12.4%,115
Arkansas,Crittenden,43.1%,29.6%,71.3%,20.6%,8.2%,119
Arkansas,Cross,39.5%,38.4%,72.5%,10.2%,17.3%,124
Arkansas,Dallas,31.1%,43.9%,78.5%,9.2%,12.3%,128
Arkansas,Desha,34.8%,38.0%,71.4%,18.2%,10.4%,130
Arkansas,Drew,33.3%,34.0%,66.2%,7.2%,26.6%,136
Arkansas,Faulkner,35.4%,25.2%,69.0%,15.9%,15.1%,141
Arkansas,Franklin,34.4%,41.5%,82.0%,5.1%,12.9%,144
Arkansas,Fulton,23.6%,46.7%,78.9%,4.4%,16.8%,146
Arkansas,Garland,26.3%,44.1%,71.8%,13.8%,14.4%,151
Arkansas,Grant,37.0%,34.0%,72.1%,2.2%,25.7%,155
Arkansas,Greene,36.0%,34.0%,73.3%,13.6%,13.0%,162
Arkansas,Hempstead,40.1%,30.9%,70.3%,10.2%,19.5%,172
Arkansas,Hot Spring,30.6%,40.0%,75.1%,4.4%,20.5%,184
Arkansas,Howard,40.0%,38.3%,75.8%,8.0%,16.2%,191
Arkansas,Independence,33.0%,35.0%,75.0%,6.4%,18.6%,200
Arkansas,Izard,24.3%,49.1%,78.3%,5.3%,16.4%,203
Arkansas,Jackson,31.0%,43.3%,79.0%,12.7%,8.3%,209
Arkansas,Jefferson,33.5%,35.6%,73.7%,14.3%,12.0%,213
Arkansas,Johnson,32.7%,35.9%,76.0%,11.6%,12.4%,218
Arkansas,Lafayette,22.8%,46.8%,74.2%,7.2%,18.6%,222
Arkansas,Lawrence,31.0%,40.3%,83.9%,6.9%,9.2%,230
Arkansas,Lee,30.9%,45.6%,72.8%,11.9%,15.3%,237
Arkansas,Lincoln,39.4%,36.2%,63.2%,9.1%,27.6%,244
Arkansas,Little River,31.9%,37.7%,72.1%,9.8%,18.0%,251
Arkansas,Logan,31.3%,42.5%,82.3%,4.5%,13.2%,258
Arkansas,Lonoke,39.8%,28.2%,75.0%,8.8%,16.3%,268
Arkansas,Madison,34.1%,35.8%,82.2%,3.0%,14.7%,277
Arkansas,Marion,21.0%,49.5%,77.3%,4.2%,18.5%,282
Arkansas,Miller,35.3%,34.2%,71.2%,16.4%,12.4%,287
Arkansas,Mississippi,38.9%,32.6%,74.8%,15.5%,9.7%,294
Arkansas,Monroe,30.7%,41.5%,69.7%,16.3%,14.0%,300
Arkansas,Montgomery,28.9%,48.7%,73.1%,3.5%,23.4%,304
Arkansas,Nevada,34.0%,35.0%,77.0%,6.1%,17.0%,307
Arkansas,Newton,26.7%,45.2%,78.9%,4.1%,17.0%,311
Arkansas,Ouachita,31.5%,37.1%,75.0%,11.1%,13.9%,316
Arkansas,Perry,31.8%,40.2%,70.4%,2.9%,26.7%,318
Arkansas,Phillips,36.1%,40.1%,71.6%,15.3%,13.1%,322
Arkansas,Pike,35.8%,41.6%,73.5%,6.6%,20.0%,327
Arkansas,Poinsett,32.7%,37.2%,76.1%,10.9%,13.0%,333
Arkansas,Polk,32.9%,44.5%,76.5%,3.7%,19.8%,337
Arkansas,Pope,34.5%,31.8%,73.5%,13.7%,12.8%,340
Arkansas,Prairie,29.0%,41.0%,75.5%,6.6%,17.9%,345
Arkansas,Pulaski,31.9%,29.0%,71.0%,23.7%,5.3%,350
Arkansas,Randolph,29.6%,42.8%,81.1%,7.5%,11.4%,353
Arkansas,St. Francis,35.4%,35.0%,69.6%,16.0%,14.4%,357
Arkansas,Saline,34.4%,35.4%,73.7%,7.3%,19.0%,360
Arkansas,Scott,35.6%,43.0%,76.6%,5.6%,17.8%,364
Arkansas,Searcy,27.6%,44.0%,74.1%,6.0%,20.0%,372
Arkansas,Sebastian,33.0%,32.2%,74.2%,21.2%,4.6%,378
Arkansas,Sevier,39.5%,34.8%,75.5%,5.0%,19.5%,390
Arkansas,Sharp,26.5%,49.1%,81.3%,4.0%,14.6%,394
Arkansas,Stone,30.7%,48.0%,71.3%,1.9%,26.8%,399
Arkansas,Union,33.4%,37.5%,69.9%,9.4%,20.7%,403
Arkansas,Van Buren,25.7%,49.6%,71.2%,4.4%,24.4%,407
Arkansas,Washington,35.0%,24.3%,66.7%,27.6%,5.7%,417
Arkansas,White,35.1%,33.3%,67.8%,13.6%,18.6%,428
Arkansas,Woodruff,30.0%,40.4%,75.1%,13.5%,11.4%,435
Arkansas,Yell,36.5%,36.5%,77.7%,7.4%,14.9%,438
California,Alameda,34.6%,29.9%,62.3%,36.4%,1.4%,457
California,Alpine,27.3%,29.5%,90.7%,4.1%,5.1%,461
California,Amador,24.9%,46.1%,86.6%,7.4%,6.0%,472
California,Butte,28.8%,37.5%,67.0%,18.8%,14.2%,486
California,Calaveras,24.7%,47.7%,86.2%,4.4%,9.4%,489
California,Colusa,39.3%,34.1%,76.0%,15.3%,8.7%,497
California,Contra Costa,37.4%,33.3%,75.7%,22.5%,1.8%,503
California,Del Norte,29.6%,40.7%,63.0%,14.8%,22.2%,511
California,El Dorado,33.0%,35.3%,83.6%,11.4%,5.0%,522
California,Fresno,44.2%,30.5%,70.3%,25.4%,4.4%,527
California,Glenn,39.4%,35.2%,76.8%,11.6%,11.6%,537
California,Humboldt,27.9%,32.3%,71.6%,19.4%,8.9%,551
California,Imperial,50.5%,33.4%,67.4%,21.9%,10.7%,557
California,Inyo,27.9%,42.5%,60.4%,12.2%,27.3%,562
California,Kern,46.2%,29.0%,74.9%,17.8%,7.4%,84
California,Kings,50.1%,26.5%,78.3%,17.4%,4.3%,94
California,Lake,29.2%,43.3%,70.3%,8.9%,20.8%,100
California,Lassen,35.0%,32.1%,76.1%,11.1%,12.8%,104
California,Los Angeles,38.2%,30.6%,57.3%,41.0%,1.7%,139
California,Madera,44.7%,34.7%,80.9%,12.6%,6.5%,153
California,Marin,29.0%,39.0%,71.2%,27.0%,1.8%,168
California,Mariposa,23.0%,44.2%,68.0%,8.9%,23.1%,178
California,Mendocino,30.3%,38.7%,73.4%,13.5%,13.1%,190
California,Merced,49.1%,28.8%,77.0%,16.6%,6.4%,204
California,Modoc,24.5%,46.6%,78.2%,5.7%,16.1%,207
California,Mono,33.7%,26.5%,45.6%,39.7%,14.7%,214
California,Monterey,41.3%,33.0%,69.3%,26.6%,4.1%,228
California,Napa,33.2%,39.4%,73.9%,19.3%,6.8%,236
California,Nevada,26.9%,42.2%,84.1%,9.4%,6.5%,243
California,Orange,38.1%,32.2%,64.1%,32.7%,3.2%,257
California,Placer,35.2%,35.6%,81.2%,15.8%,3.0%,266
California,Plumas,25.2%,39.3%,75.3%,8.0%,16.7%,275
California,Riverside,42.7%,34.2%,75.2%,15.4%,9.4%,281
California,Sacramento,36.6%,29.9%,71.7%,25.6%,2.7%,289
California,San Benito,49.0%,29.7%,81.2%,14.3%,4.5%,295
California,San Bernardino,46.6%,28.9%,74.8%,19.1%,6.1%,302
California,San Diego,35.1%,30.2%,62.2%,34.1%,3.8%,315
California,San Francisco,18.7%,30.8%,34.4%,65.4%,0.2%,331
California,San Joaquin,45.9%,30.6%,78.6%,17.8%,3.7%,339
California,San Luis Obispo,27.7%,36.1%,73.6%,17.9%,8.5%,351
California,San Mateo,34.0%,34.9%,67.2%,31.6%,1.2%,368
California,Santa Barbara,34.0%,34.5%,65.8%,29.1%,5.1%,391
California,Santa Clara,38.4%,29.6%,65.1%,31.9%,3.0%,406
California,Santa Cruz,32.4%,31.6%,72.6%,20.7%,6.7%,415
California,Shasta,31.3%,40.3%,73.0%,15.8%,11.2%,431
California,Sierra,19.5%,49.1%,88.2%,7.1%,4.7%,439
California,Siskiyou,26.6%,44.4%,71.5%,14.5%,14.1%,446
California,Solano,38.7%,32.5%,77.2%,19.8%,3.0%,453
California,Sonoma,31.6%,35.3%,75.6%,18.9%,5.5%,463
California,Stanislaus,43.5%,31.0%,79.6%,15.6%,4.8%,473
California,Sutter,42.2%,34.3%,76.4%,19.2%,4.4%,483
California,Tehama,34.1%,40.4%,66.4%,12.4%,21.2%,492
California,Trinity,23.4%,46.2%,72.3%,10.0%,17.7%,500
California,Tulare,49.7%,29.9%,78.5%,14.5%,7.0%,501
California,Tuolumne,23.6%,46.9%,75.7%,11.0%,13.2%,513
California,Ventura,40.5%,33.3%,76.3%,19.7%,3.9%,521
California,Yolo,34.2%,27.0%,65.9%,29.4%,4.6%,525
California,Yuba,43.1%,32.1%,72.2%,17.5%,10.4%,541
Colorado,Adams,41.4%,23.7%,70.5%,22.4%,7.1%,545
Colorado,Alamosa,34.1%,26.4%,67.3%,18.6%,14.2%,549
Colorado,Arapahoe,35.4%,25.5%,66.7%,32.1%,1.2%,558
Colorado,Archuleta,17.7%,51.8%,83.4%,5.1%,11.5%,560
Colorado,Baca,25.9%,47.7%,85.6%,4.3%,10.1%,563
Colorado,Bent,36.6%,35.6%,77.7%,8.9%,13.4%,564
Colorado,Boulder,29.8%,23.9%,69.7%,27.3%,3.1%,570
Colorado,Broomfield,36.0%,23.3%,74.7%,20.5%,4.8%,577
Colorado,Chaffee,22.0%,44.2%,78.7%,7.4%,14.0%,582
Colorado,Cheyenne,29.7%,34.7%,81.4%,5.1%,13.5%,587
Colorado,Clear Creek,22.9%,25.7%,81.8%,12.1%,6.1%,591
Colorado,Conejos,42.3%,36.9%,79.2%,4.6%,16.1%,596
Colorado,Costilla,24.8%,52.2%,66.4%,10.7%,23.0%,599
Colorado,Crowley,34.3%,43.0%,80.3%,6.8%,12.9%,605
Colorado,Custer,20.4%,46.5%,83.2%,7.2%,9.6%,610
Colorado,Delta,28.5%,45.6%,76.4%,5.4%,18.2%,617
Colorado,Denver,25.2%,25.2%,56.3%,43.2%,0.5%,628
Colorado,Dolores,25.5%,32.7%,81.4%,2.3%,16.4%,636
Colorado,Douglas,45.3%,19.8%,85.8%,13.9%,0.3%,644
Colorado,Eagle,36.6%,16.4%,59.3%,31.5%,9.3%,648
Colorado,Elbert,35.6%,27.3%,94.6%,1.1%,4.3%,655
Colorado,El Paso,36.2%,26.2%,75.8%,20.6%,3.6%,661
Colorado,Fremont,26.9%,45.5%,76.4%,10.5%,13.1%,664
Colorado,Garfield,37.8%,23.8%,68.5%,18.1%,13.4%,667
Colorado,Gilpin,24.9%,23.6%,86.0%,13.1%,0.9%,672
Colorado,Grand,21.6%,32.1%,77.0%,15.5%,7.5%,677
Colorado,Gunnison,23.4%,19.7%,63.4%,27.7%,8.8%,682
Colorado,Hinsdale,5.1%,43.1%,100.0%,0.0%,0.0%,688
Colorado,Huerfano,20.6%,50.5%,82.7%,9.6%,7.7%,693
Colorado,Jackson,30.7%,37.7%,75.1%,6.1%,18.8%,701
Colorado,Jefferson,31.9%,29.4%,75.5%,23.5%,1.1%,706
Colorado,Kiowa,29.5%,41.6%,89.0%,3.3%,7.8%,711
Colorado,Kit Carson,33.4%,35.0%,77.4%,9.4%,13.3%,716
Colorado,Lake,30.6%,19.2%,65.8%,16.4%,17.8%,721
Colorado,La Plata,28.3%,29.1%,71.6%,14.9%,13.5%,727
Colorado,Larimer,29.7%,27.0%,74.5%,20.9%,4.6%,734
Colorado,Las Animas,28.0%,42.1%,76.6%,12.8%,10.5%,741
Colorado,Lincoln,28.1%,39.9%,70.0%,11.8%,18.1%,747
Colorado,Logan,33.2%,33.6%,76.6%,14.5%,9.0%,749
Colorado,Mesa,31.8%,35.1%,76.5%,14.4%,9.2%,751
Colorado,Mineral,5.9%,67.5%,88.6%,0.7%,10.7%,757
Colorado,Moffat,30.1%,27.4%,67.9%,12.0%,20.0%,758
Colorado,Montezuma,34.4%,36.9%,71.3%,9.1%,19.6%,766
Colorado,Montrose,31.6%,39.5%,73.3%,8.4%,18.2%,769
Colorado,Morgan,35.4%,33.1%,75.5%,12.8%,11.7%,775
Colorado,Otero,34.2%,39.3%,80.5%,13.3%,6.2%,777
Colorado,Ouray,28.3%,41.1%,83.5%,6.5%,9.9%,780
Colorado,Park,24.2%,29.6%,92.8%,2.2%,5.0%,782
Colorado,Phillips,32.6%,38.1%,87.2%,7.2%,5.6%,785
Colorado,Pitkin,25.1%,28.7%,53.3%,40.3%,6.4%,789
Colorado,Prowers,34.9%,35.5%,76.4%,12.0%,11.6%,792
Colorado,Pueblo,32.0%,36.0%,79.8%,14.7%,5.5%,795
Colorado,Rio Blanco,32.6%,33.7%,80.5%,11.9%,7.6%,799
Colorado,Rio Grande,23.3%,48.1%,77.0%,8.5%,14.5%,802
Colorado,Routt,29.7%,21.3%,70.6%,20.8%,8.6%,809
Colorado,Saguache,32.8%,35.9%,71.4%,9.2%,19.4%,811
Colorado,San Juan,6.1%,29.2%,66.2%,27.5%,6.3%,347
Colorado,San Miguel,23.9%,20.6%,64.5%,32.7%,2.9%,359
Colorado,Sedgwick,24.7%,47.0%,81.4%,10.5%,8.0%,366
Colorado,Summit,24.7%,21.2%,59.8%,37.3%,3.0%,373
Colorado,Teller,28.7%,33.4%,86.7%,5.0%,8.4%,375
Colorado,Washington,32.9%,35.5%,84.5%,5.0%,10.5%,377
Colorado,Weld,39.1%,26.3%,77.5%,15.3%,7.2%,382
Colorado,Yuma,33.1%,36.4%,82.8%,6.0%,11.2%,385
Connecticut,Fairfield,37.1%,34.2%,65.8%,33.8%,0.3%,410
Connecticut,Hartford,32.9%,34.6%,63.2%,36.2%,0.6%,432
Connecticut,Litchfield,31.8%,36.9%,78.3%,21.1%,0.6%,443
Connecticut,Middlesex,31.2%,35.6%,75.5%,23.4%,1.1%,450
Connecticut,New Haven,33.0%,34.4%,61.9%,37.5%,0.6%,466
Connecticut,New London,31.8%,33.9%,70.3%,27.2%,2.5%,517
Connecticut,Tolland,33.8%,31.0%,75.4%,23.3%,1.3%,524
Connecticut,Windham,33.5%,32.4%,68.9%,26.7%,4.5%,529
Delaware,Kent,36.2%,34.0%,74.2%,12.4%,13.4%,532
Delaware,New Castle,34.7%,30.9%,76.7%,20.7%,2.7%,536
Delaware,Sussex,26.6%,45.3%,73.3%,7.7%,19.0%,609
District of Columbia,District of Columbia,21.1%,27.8%,39.6%,60.3%,0.1%,630
Florida,Alachua,25.0%,25.7%,55.5%,36.4%,8.1%,639
Florida,Baker,41.2%,30.0%,56.1%,4.6%,39.3%,641
Florida,Bay,30.0%,33.6%,65.8%,19.5%,14.7%,658
Florida,Bradford,33.9%,40.2%,65.6%,6.4%,28.0%,665
Florida,Brevard,27.1%,42.7%,73.8%,18.0%,8.2%,686
Florida,Broward,32.3%,35.3%,54.3%,43.1%,2.6%,695
Florida,Calhoun,31.1%,43.3%,62.0%,5.9%,32.1%,699
Florida,Charlotte,19.1%,59.1%,76.5%,13.2%,10.3%,743
Florida,Citrus,18.9%,59.2%,71.3%,4.5%,24.2%,843
Florida,Clay,40.1%,30.4%,76.9%,9.9%,13.1%,852
Florida,Collier,24.0%,52.4%,57.5%,36.6%,5.9%,894
Florida,Columbia,31.6%,38.5%,54.6%,7.7%,37.7%,903
Florida,DeSoto,33.7%,48.5%,58.5%,9.1%,32.4%,906
Florida,Dixie,23.5%,49.4%,47.9%,1.3%,50.7%,918
Florida,Duval,32.4%,28.3%,69.3%,25.3%,5.3%,924
Florida,Escambia,30.3%,35.6%,73.7%,18.7%,7.5%,931
Florida,Flagler,25.4%,51.7%,88.9%,6.1%,4.9%,935
Florida,Franklin,27.7%,38.8%,58.9%,16.1%,25.0%,937
Florida,Gadsden,31.2%,37.2%,67.2%,6.2%,26.6%,938
Florida,Gilchrist,32.2%,37.7%,44.0%,1.8%,54.2%,939
Florida,Glades,19.5%,55.1%,42.8%,5.8%,51.4%,940
Florida,Gulf,28.3%,43.5%,69.6%,9.7%,20.7%,941
Florida,Hamilton,34.3%,42.3%,49.8%,8.5%,41.8%,942
Florida,Hardee,46.5%,37.0%,66.7%,8.4%,24.9%,943
Florida,Hendry,42.3%,34.3%,55.6%,9.8%,34.6%,944
Florida,Hernando,26.3%,51.6%,79.1%,4.1%,16.8%,945
Florida,Highlands,22.4%,60.5%,66.4%,9.6%,24.0%,946
Florida,Hillsborough,33.4%,29.1%,65.3%,27.2%,7.5%,947
Florida,Holmes,25.4%,44.6%,66.2%,4.9%,28.9%,948
Florida,Indian River,24.8%,51.8%,73.8%,18.7%,7.5%,949
Florida,Jackson,31.8%,38.3%,65.0%,7.6%,27.4%,950
Florida,Jefferson,28.3%,43.1%,60.8%,3.8%,35.4%,951
Florida,Lafayette,42.1%,33.7%,64.1%,2.1%,33.8%,952
Florida,Lake,27.2%,49.1%,69.2%,10.6%,20.2%,953
Florida,Lee,25.4%,46.7%,67.2%,22.8%,10.0%,954
Florida,Leon,27.3%,23.5%,62.3%,29.0%,8.7%,955
Florida,Levy,28.9%,45.8%,48.8%,5.4%,45.7%,956
Florida,Liberty,36.8%,34.9%,59.0%,2.5%,38.5%,957
Florida,Madison,30.2%,40.1%,57.4%,9.3%,33.4%,958
Florida,Manatee,25.2%,47.2%,63.6%,21.7%,14.7%,959
Florida,Marion,25.2%,51.7%,70.0%,9.1%,20.9%,960
Florida,Martin,22.7%,53.2%,66.9%,23.5%,9.5%,961
Florida,Miami-Dade,35.7%,36.5%,56.4%,42.0%,1.6%,962
Florida,Monroe,21.1%,39.2%,65.4%,20.2%,14.4%,963
Florida,Nassau,31.3%,38.7%,68.2%,7.6%,24.2%,964
Florida,Okaloosa,32.0%,31.8%,76.4%,17.0%,6.6%,965
Florida,Okeechobee,33.7%,45.7%,58.5%,4.5%,37.0%,966
Florida,Orange,34.3%,25.5%,66.0%,29.5%,4.4%,967
Florida,Osceola,43.2%,30.6%,68.3%,20.3%,11.4%,968
Florida,Palm Beach,27.2%,44.7%,61.9%,35.1%,3.0%,969
Florida,Pasco,28.2%,44.4%,71.6%,9.7%,18.7%,970
Florida,Pinellas,22.8%,43.3%,60.7%,30.8%,8.4%,971
Florida,Polk,32.0%,41.2%,63.6%,13.7%,22.8%,972
Florida,Putnam,28.9%,42.8%,53.6%,7.1%,39.3%,973
Florida,St. Johns,32.1%,36.0%,76.3%,13.7%,10.0%,974
