County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Macon County,Alabama,22.4%,47.8%,61.8%,15.9%,22.4%
Madison County,Alabama,29.0%,35.8%,74.6%,21.4%,4.0%
Marengo County,Alabama,22.2%,46.0%,58.3%,13.1%,28.6%
Marion County,Alabama,28.6%,46.3%,67.4%,10.6%,22.0%
Marshall County,Alabama,33.7%,41.5%,78.9%,9.0%,12.1%
Mobile County,Alabama,30.5%,41.2%,76.4%,16.8%,6.8%
Monroe County,Alabama,20.9%,47.5%,72.2%,8.0%,19.8%
Montgomery County,Alabama,30.5%,37.7%,74.4%,21.7%,3.9%
Morgan County,Alabama,29.3%,43.4%,75.1%,14.3%,10.6%
Perry County,Alabama,16.8%,49.6%,61.2%,7.8%,31.0%
Pickens County,Alabama,29.1%,47.3%,64.1%,11.2%,24.8%
Pike County,Alabama,22.2%,40.4%,61.9%,18.5%,19.6%
Randolph County,Alabama,28.1%,49.2%,74.0%,4.0%,22.0%
Russell County,Alabama,29.0%,35.2%,69.1%,18.2%,12.7%
St. Clair County,Alabama,32.9%,42.0%,73.7%,6.1%,20.2%
Shelby County,Alabama,32.8%,38.0%,81.6%,11.5%,6.9%
Sumter County,Alabama,24.7%,43.4%,47.8%,18.1%,34.1%
Talladega County,Alabama,30.6%,44.4%,65.0%,11.1%,24.0%
Tallapoosa County,Alabama,27.6%,48.9%,71.3%,8.5%,20.1%
Tuscaloosa County,Alabama,30.5%,35.5%,67.2%,23.2%,9.6%
Walker County,Alabama,30.3%,46.5%,65.4%,7.9%,26.7%
Washington County,Alabama,27.0%,53.0%,74.9%,1.2%,23.9%
Wilcox County,Alabama,24.1%,49.8%,55.1%,7.0%,37.9%
Winston County,Alabama,26.1%,44.9%,64.4%,6.2%,29.3%
Aleutians East Borough,Alaska,29.0%,39.9%,78.3%,16.3%,5.4%
Aleutians West Census Area,Alaska,34.9%,27.2%,29.9%,68.8%,1.3%
Anchorage Municipality,Alaska,34.1%,31.9%,64.1%,31.5%,4.4%
Bethel Census Area,Alaska,51.5%,33.8%,83.0%,13.6%,3.3%
Bristol Bay Borough,Alaska,26.4%,40.1%,81.7%,14.8%,3.5%
Chugach Census Area,Alaska,30.8%,42.2%,53.4%,24.0%,22.6%
Copper River Census Area,Alaska,36.2%,34.7%,86.8%,8.8%,4.3%
Denali Borough,Alaska,18.2%,40.9%,89.3%,5.2%,5.5%
Dillingham Census Area,Alaska,54.1%,34.3%,81.2%,17.3%,1.5%
Fairbanks North Star Borough,Alaska,33.8%,30.2%,70.6%,26.6%,2.8%
Haines Borough,Alaska,31.0%,54.2%,83.3%,10.3%,6.4%
Hoonah-Angoon Census Area,Alaska,16.8%,56.2%,84.2%,10.3%,5.4%
Juneau City and Borough,Alaska,29.6%,35.6%,60.1%,32.5%,7.4%
Kenai Peninsula Borough,Alaska,26.6%,45.5%,82.0%,13.7%,4.3%
Ketchikan Gateway Borough,Alaska,31.4%,41.4%,60.1%,35.9%,4.0%
Kodiak Island Borough,Alaska,37.0%,31.2%,65.9%,28.8%,5.3%
Kusilvak Census Area,Alaska,67.7%,32.6%,97.6%,1.0%,1.4%
Lake and Peninsula Borough,Alaska,40.2%,39.1%,88.5%,11.2%,0.3%
Matanuska-Susitna Borough,Alaska,35.1%,38.5%,84.3%,12.9%,2.9%
Nome Census Area,Alaska,54.1%,32.2%,82.2%,17.0%,0.8%
North Slope Borough,Alaska,52.8%,34.2%,77.9%,21.8%,0.3%
Northwest Arctic Borough,Alaska,56.2%,34.6%,72.8%,25.5%,1.7%
Petersburg Borough,Alaska,23.2%,51.2%,73.6%,16.7%,9.7%
Prince of Wales-Hyder Census Area,Alaska,31.9%,46.3%,70.8%,10.4%,18.8%
Sitka City and Borough,Alaska,29.4%,39.3%,56.5%,35.4%,8.1%
Skagway Municipality,Alaska,21.2%,41.4%,74.7%,19.7%,5.6%
Southeast Fairbanks Census Area,Alaska,30.3%,43.5%,88.1%,7.6%,4.3%
Wrangell City and Borough,Alaska,23.6%,53.1%,68.7%,17.5%,13.9%
Yakutat City and Borough,Alaska,37.1%,40.7%,76.0%,17.6%,6.3%
Yukon-Koyukuk Census Area,Alaska,33.7%,42.8%,97.0%,2.5%,0.5%
Apache County,Arizona,32.3%,49.4%,69.2%,7.3%,23.6%
Cochise County,Arizona,27.3%,52.6%,70.3%,10.8%,18.9%
Coconino County,Arizona,27.5%,37.3%,64.4%,22.2%,13.3%
Gila County,Arizona,23.5%,59.3%,70.9%,6.0%,23.1%
Graham County,Arizona,40.0%,42.6%,71.3%,6.8%,21.9%
Greenlee County,Arizona,34.9%,34.3%,66.1%,4.9%,29.0%
La Paz County,Arizona,20.1%,67.4%,35.3%,9.7%,55.0%
Maricopa County,Arizona,32.3%,38.0%,71.4%,24.0%,4.6%
Mohave County,Arizona,20.5%,61.4%,65.3%,10.7%,24.0%
Navajo County,Arizona,35.1%,50.2%,71.3%,7.9%,20.8%
Pima County,Arizona,27.2%,44.7%,68.9%,21.0%,10.1%
Pinal County,Arizona,31.7%,49.9%,78.6%,5.6%,15.8%
Santa Cruz County,Arizona,37.1%,50.4%,80.2%,15.1%,4.7%
Yavapai County,Arizona,18.4%,62.1%,70.1%,11.1%,18.8%
Yuma County,Arizona,36.6%,46.4%,63.8%,12.1%,24.1%
Arkansas County,Arkansas,26.8%,44.7%,76.1%,13.3%,10.6%
Ashley County,Arkansas,26.4%,45.0%,75.2%,4.8%,20.0%
Baxter County,Arkansas,20.4%,59.6%,81.0%,8.0%,10.9%
Benton County,Arkansas,39.8%,32.7%,80.9%,15.0%,4.1%
Boone County,Arkansas,27.4%,44.5%,80.6%,11.2%,8.2%
Bradley County,Arkansas,27.0%,42.6%,69.6%,15.9%,14.5%
Calhoun County,Arkansas,29.5%,53.8%,73.7%,1.9%,24.4%
Carroll County,Arkansas,25.5%,52.7%,79.3%,8.2%,12.4%
Chicot County,Arkansas,30.6%,51.9%,75.0%,10.2%,14.8%
Clark County,Arkansas,27.5%,40.8%,63.3%,21.1%,15.6%
Clay County,Arkansas,30.4%,44.8%,83.2%,7.7%,9.1%
Cleburne County,Arkansas,25.4%,54.1%,76.4%,4.8%,18.8%
Cleveland County,Arkansas,30.5%,48.2%,69.6%,3.1%,27.3%
Columbia County,Arkansas,30.9%,43.8%,73.1%,11.4%,15.4%
Conway County,Arkansas,28.1%,46.2%,74.7%,8.8%,16.4%
Craighead County,Arkansas,35.0%,33.2%,70.9%,24.0%,5.1%
Crawford County,Arkansas,32.1%,40.2%,76.8%,12.2%,10.9%
Crittenden County,Arkansas,33.9%,36.9%,73.9%,20.0%,6.1%
Cross County,Arkansas,37.0%,41.1%,76.7%,8.7%,14.6%
Dallas County,Arkansas,25.4%,51.7%,71.2%,9.8%,19.0%
Desha County,Arkansas,30.2%,46.2%,79.2%,10.6%,10.2%
Drew County,Arkansas,26.8%,44.7%,61.9%,14.5%,23.6%
Faulkner County,Arkansas,32.7%,32.3%,68.7%,20.3%,11.1%
Franklin County,Arkansas,28.1%,49.9%,77.9%,8.4%,13.7%
Fulton County,Arkansas,28.3%,60.3%,74.0%,3.7%,22.3%
Garland County,Arkansas,26.8%,50.3%,70.7%,16.7%,12.6%
Grant County,Arkansas,31.7%,42.9%,66.9%,6.0%,27.1%
Greene County,Arkansas,36.4%,38.7%,75.2%,13.4%,11.5%
Hempstead County,Arkansas,34.3%,44.5%,76.3%,7.7%,16.0%
Hot Spring County,Arkansas,29.0%,44.4%,72.4%,5.5%,22.1%
Howard County,Arkansas,32.1%,41.7%,73.8%,8.5%,17.8%
Independence County,Arkansas,34.7%,42.6%,74.0%,7.7%,18.4%
Izard County,Arkansas,20.2%,56.1%,83.8%,4.2%,12.0%
Jackson County,Arkansas,28.0%,44.9%,77.1%,11.0%,11.9%
Jefferson County,Arkansas,26.4%,43.0%,71.6%,17.0%,11.4%
Johnson County,Arkansas,31.3%,44.9%,74.0%,11.4%,14.6%
Lafayette County,Arkansas,21.3%,49.5%,70.7%,7.8%,21.5%
Lawrence County,Arkansas,32.7%,43.9%,80.6%,9.1%,10.3%
Lee County,Arkansas,22.6%,45.3%,76.0%,14.6%,9.5%
Lincoln County,Arkansas,33.9%,47.6%,65.5%,3.1%,31.3%
Little River County,Arkansas,26.2%,43.1%,77.8%,4.6%,17.7%
Logan County,Arkansas,32.7%,46.7%,81.7%,8.5%,9.8%
Lonoke County,Arkansas,37.7%,35.4%,76.9%,9.1%,13.9%
Madison County,Arkansas,28.6%,46.1%,77.5%,3.2%,19.4%
Marion County,Arkansas,20.6%,58.0%,76.8%,5.7%,17.5%
Miller County,Arkansas,32.7%,40.0%,70.2%,18.8%,11.1%
Mississippi County,Arkansas,35.2%,36.6%,72.6%,21.1%,6.3%
Monroe County,Arkansas,20.4%,50.0%,69.9%,18.5%,11.6%
Montgomery County,Arkansas,23.8%,56.2%,70.0%,1.9%,28.1%
Nevada County,Arkansas,30.6%,43.7%,71.2%,5.6%,23.1%
Newton County,Arkansas,20.9%,58.4%,84.2%,7.5%,8.3%
Ouachita County,Arkansas,27.0%,47.1%,74.9%,11.9%,13.2%
Perry County,Arkansas,29.1%,50.7%,76.7%,2.9%,20.4%
Phillips County,Arkansas,31.2%,43.6%,72.5%,20.9%,6.7%
Pike County,Arkansas,31.1%,47.6%,73.1%,7.5%,19.3%
Poinsett County,Arkansas,33.3%,39.9%,77.1%,11.0%,11.9%
Polk County,Arkansas,27.4%,49.8%,76.2%,5.0%,18.9%
Pope County,Arkansas,33.2%,40.4%,75.4%,12.8%,11.8%
Prairie County,Arkansas,27.5%,50.2%,70.1%,6.3%,23.6%
Pulaski County,Arkansas,28.6%,37.1%,69.3%,26.2%,4.4%
Randolph County,Arkansas,35.3%,45.5%,81.4%,6.6%,12.0%
St. Francis County,Arkansas,34.5%,39.6%,63.6%,22.2%,14.2%
Saline County,Arkansas,33.8%,40.6%,76.5%,8.7%,14.7%
Scott County,Arkansas,27.2%,45.5%,71.5%,7.1%,21.3%
Searcy County,Arkansas,23.5%,54.5%,75.2%,4.3%,20.5%
Sebastian County,Arkansas,31.8%,38.1%,74.1%,22.8%,3.1%
Sevier County,Arkansas,38.9%,41.3%,70.7%,7.5%,21.8%
Sharp County,Arkansas,27.5%,53.9%,78.3%,5.9%,15.9%
Stone County,Arkansas,27.4%,56.7%,64.8%,3.0%,32.2%
Union County,Arkansas,29.2%,43.7%,73.1%,8.5%,18.4%
Van Buren County,Arkansas,28.1%,52.3%,69.5%,8.0%,22.5%
Washington County,Arkansas,33.3%,29.3%,66.7%,28.3%,4.9%
White County,Arkansas,34.1%,40.4%,69.2%,12.9%,17.9%
Woodruff County,Arkansas,30.5%,42.3%,74.6%,13.9%,11.5%
Yell County,Arkansas,35.4%,44.2%,77.0%,12.0%,11.0%
Alameda County,California,33.2%,37.2%,61.9%,36.8%,1.3%
Alpine County,California,23.7%,64.0%,89.9%,6.8%,3.3%
Amador County,California,23.5%,60.4%,82.6%,9.7%,7.7%
Butte County,California,26.9%,44.2%,66.9%,21.7%,11.4%
Calaveras County,California,21.1%,59.9%,85.4%,6.4%,8.3%
Colusa County,California,39.2%,43.0%,81.5%,11.8%,6.7%
Contra Costa County,California,35.7%,42.5%,75.8%,22.5%,1.7%
Del Norte County,California,29.0%,50.1%,67.3%,12.5%,20.2%
El Dorado County,California,27.4%,50.6%,82.0%,12.1%,5.9%
Fresno County,California,40.7%,36.9%,71.0%,25.3%,3.6%
Glenn County,California,34.5%,43.2%,71.3%,15.6%,13.0%
Humboldt County,California,25.1%,42.6%,73.9%,17.7%,8.4%
Imperial County,California,40.1%,44.4%,69.4%,22.9%,7.7%
Inyo County,California,18.4%,52.3%,60.3%,12.5%,27.2%
Kern County,California,42.6%,35.4%,75.9%,17.3%,6.7%
Kings County,California,46.7%,33.8%,77.9%,18.4%,3.7%
Lake County,California,25.6%,56.2%,68.9%,8.7%,22.4%
Lassen County,California,25.0%,46.4%,77.8%,8.9%,13.3%
Los Angeles County,California,32.4%,38.7%,55.6%,42.8%,1.7%
Madera County,California,43.2%,43.1%,82.8%,11.6%,5.6%
Marin County,California,28.6%,49.7%,71.0%,27.5%,1.5%
Mariposa County,California,26.3%,53.5%,74.4%,7.2%,18.3%
Mendocino County,California,28.5%,51.7%,75.5%,14.7%,9.8%
Merced County,California,43.1%,36.2%,77.5%,16.3%,6.2%
Modoc County,California,22.6%,56.7%,85.0%,5.6%,9.4%
Mono County,California,18.1%,41.7%,61.3%,25.5%,13.2%
Monterey County,California,38.3%,41.1%,69.3%,26.3%,4.4%
Napa County,California,30.5%,48.2%,74.8%,18.5%,6.7%
Nevada County,California,22.6%,56.9%,84.0%,9.1%,6.9%
Orange County,California,34.1%,40.9%,63.8%,33.5%,2.7%
Placer County,California,31.5%,45.9%,82.4%,14.7%,2.8%
Plumas County,California,21.2%,58.2%,77.9%,7.1%,15.0%
Riverside County,California,37.4%,42.5%,75.9%,16.3%,7.8%
Sacramento County,California,34.3%,38.1%,72.3%,25.4%,2.4%
San Benito County,California,42.6%,38.9%,83.3%,12.4%,4.3%
San Bernardino County,California,41.5%,38.1%,74.2%,20.4%,5.4%
San Diego County,California,32.5%,38.0%,61.8%,34.7%,3.5%
San Francisco County,California,18.5%,35.3%,32.7%,67.0%,0.2%
San Joaquin County,California,41.4%,39.4%,79.7%,17.0%,3.3%
San Luis Obispo County,California,24.6%,47.4%,74.0%,18.9%,7.1%
San Mateo County,California,32.1%,41.8%,65.7%,33.2%,1.1%
Santa Barbara County,California,32.7%,41.8%,64.8%,31.1%,4.1%
Santa Clara County,California,35.8%,36.6%,63.7%,33.3%,3.0%
Santa Cruz County,California,28.3%,44.3%,71.8%,21.7%,6.6%
Shasta County,California,28.4%,47.6%,72.7%,15.8%,11.5%
Sierra County,California,20.4%,53.8%,90.9%,2.8%,6.3%
Siskiyou County,California,22.9%,52.5%,74.6%,13.9%,11.6%
Solano County,California,34.7%,43.4%,76.0%,21.2%,2.8%
Sonoma County,California,28.1%,47.8%,74.7%,20.4%,4.9%
Stanislaus County,California,40.9%,39.3%,80.2%,15.4%,4.4%
Sutter County,California,38.5%,43.0%,77.1%,17.9%,5.0%
Tehama County,California,30.9%,47.6%,69.0%,11.0%,20.0%
Trinity County,California,20.1%,56.1%,72.7%,9.2%,18.0%
Tulare County,California,46.0%,36.1%,78.1%,16.1%,5.8%
Tuolumne County,California,21.6%,56.0%,78.7%,9.6%,11.6%
Ventura County,California,34.1%,44.5%,75.9%,20.2%,3.9%
Yolo County,California,33.3%,35.2%,66.4%,29.6%,4.0%
Yuba County,California,39.2%,37.5%,75.7%,16.1%,8.2%
Adams County,Colorado,38.7%,30.8%,71.6%,22.4%,6.1%
Alamosa County,Colorado,29.3%,35.0%,58.8%,28.2%,12.9%
Arapahoe County,Colorado,32.7%,34.5%,68.2%,30.9%,0.9%
Archuleta County,Colorado,20.4%,56.9%,78.9%,10.5%,10.6%
Baca County,Colorado,23.4%,47.1%,82.4%,11.0%,6.6%
Bent County,Colorado,32.1%,48.9%,77.4%,10.1%,12.5%
Boulder County,Colorado,26.7%,35.9%,68.1%,29.6%,2.4%
Broomfield County,Colorado,30.9%,32.2%,67.9%,29.7%,2.5%
Chaffee County,Colorado,19.8%,54.9%,79.8%,9.0%,11.1%
Cheyenne County,Colorado,30.3%,44.8%,87.4%,5.5%,7.1%
Clear Creek County,Colorado,20.6%,49.1%,82.0%,12.8%,5.2%
Conejos County,Colorado,24.6%,50.8%,73.1%,5.3%,21.6%
Costilla County,Colorado,23.5%,61.5%,72.7%,8.5%,18.8%
Crowley County,Colorado,31.2%,47.9%,72.0%,7.8%,20.2%
Custer County,Colorado,8.8%,69.0%,87.7%,4.0%,8.3%
Delta County,Colorado,25.2%,57.7%,77.1%,7.0%,15.9%
Denver County,Colorado,24.3%,28.3%,53.9%,45.6%,0.5%
Dolores County,Colorado,13.4%,58.8%,71.9%,0.6%,27.4%
Douglas County,Colorado,40.2%,31.5%,82.4%,17.4%,0.2%
Eagle County,Colorado,31.4%,34.8%,58.9%,32.0%,9.0%
Elbert County,Colorado,30.1%,46.0%,95.3%,1.3%,3.4%
El Paso County,Colorado,33.3%,33.5%,75.9%,21.2%,2.9%
Fremont County,Colorado,22.9%,50.7%,77.2%,10.3%,12.6%
Garfield County,Colorado,35.2%,36.8%,73.6%,16.5%,9.9%
Gilpin County,Colorado,20.0%,49.2%,90.6%,7.9%,1.6%
Grand County,Colorado,15.8%,43.9%,75.1%,16.5%,8.5%
Gunnison County,Colorado,21.8%,35.8%,66.5%,27.0%,6.5%
Hinsdale County,Colorado,19.1%,55.3%,85.9%,10.6%,3.5%
Huerfano County,Colorado,17.8%,60.9%,81.1%,7.7%,11.2%
Jackson County,Colorado,18.4%,56.1%,82.5%,0.8%,16.7%
Jefferson County,Colorado,27.7%,39.4%,75.6%,23.4%,1.0%
Kiowa County,Colorado,26.7%,45.4%,80.8%,8.9%,10.2%
Kit Carson County,Colorado,31.6%,42.8%,76.8%,9.8%,13.4%
Lake County,Colorado,20.7%,34.7%,70.9%,11.9%,17.2%
La Plata County,Colorado,26.1%,42.6%,71.2%,13.6%,15.2%
Larimer County,Colorado,26.8%,38.0%,73.9%,22.2%,3.9%
Las Animas County,Colorado,24.6%,51.3%,78.2%,12.5%,9.3%
Lincoln County,Colorado,16.7%,57.4%,79.0%,8.1%,12.9%
Logan County,Colorado,25.8%,42.3%,76.2%,14.6%,9.2%
Mesa County,Colorado,27.6%,45.1%,74.8%,15.9%,9.3%
Mineral County,Colorado,15.5%,40.1%,79.7%,6.1%,14.2%
Moffat County,Colorado,32.1%,37.8%,66.4%,14.1%,19.5%
Montezuma County,Colorado,24.2%,51.2%,70.3%,11.9%,17.8%
Montrose County,Colorado,26.4%,50.8%,72.4%,8.9%,18.6%
Morgan County,Colorado,40.6%,40.1%,76.0%,13.4%,10.6%
Otero County,Colorado,29.4%,45.3%,78.3%,13.3%,8.4%
Ouray County,Colorado,17.3%,53.8%,79.6%,11.9%,8.5%
Park County,Colorado,16.7%,52.1%,95.2%,1.6%,3.2%
Phillips County,Colorado,36.6%,38.6%,88.9%,3.4%,7.7%
Pitkin County,Colorado,24.1%,42.4%,46.8%,47.7%,5.6%
Prowers County,Colorado,36.7%,43.1%,73.7%,16.2%,10.1%
Pueblo County,Colorado,29.0%,44.2%,79.3%,15.7%,4.9%
Rio Blanco County,Colorado,32.6%,40.7%,83.3%,12.1%,4.6%
Rio Grande County,Colorado,25.8%,45.5%,76.8%,12.7%,10.5%
Routt County,Colorado,25.4%,38.7%,71.3%,20.3%,8.5%
Saguache County,Colorado,28.0%,53.4%,76.3%,5.4%,18.2%
San Juan County,Colorado,14.5%,46.5%,69.4%,20.9%,9.8%
San Miguel County,Colorado,23.7%,33.6%,61.8%,34.3%,3.9%
Sedgwick County,Colorado,30.2%,42.8%,78.7%,14.6%,6.7%
Summit County,Colorado,23.1%,34.8%,66.3%,32.3%,1.4%
Teller County,Colorado,17.4%,53.6%,85.5%,7.0%,7.5%
Washington County,Colorado,26.6%,44.7%,87.3%,4.5%,8.2%
Weld County,Colorado,38.2%,35.3%,78.5%,14.2%,7.3%
Yuma County,Colorado,32.8%,43.9%,83.6%,6.8%,9.6%
Fairfield County,Connecticut,33.6%,41.4%,65.5%,34.1%,0.4%
Hartford County,Connecticut,29.3%,41.3%,63.7%,35.8%,0.5%
Litchfield County,Connecticut,25.0%,50.1%,78.1%,21.5%,0.4%
Middlesex County,Connecticut,25.2%,45.0%,75.1%,23.8%,1.1%
New Haven County,Connecticut,27.8%,41.8%,61.4%,38.1%,0.5%
New London County,Connecticut,29.1%,42.6%,69.5%,27.8%,2.7%
Tolland County,Connecticut,26.9%,42.0%,74.0%,24.7%,1.2%
Windham County,Connecticut,29.0%,41.2%,70.9%,26.7%,2.3%
Kent County,Delaware,32.3%,41.8%,74.5%,13.9%,11.6%
New Castle County,Delaware,28.4%,39.8%,75.6%,22.6%,1.8%
Sussex County,Delaware,24.1%,56.5%,77.6%,8.3%,14.0%
District of Columbia,District of Columbia,20.3%,29.8%,36.8%,63.1%,0.1%
Alachua County,Florida,21.7%,35.1%,58.2%,34.3%,7.5%
Baker County,Florida,37.3%,40.9%,60.1%,6.1%,33.8%
Bay County,Florida,28.7%,41.6%,66.8%,20.2%,13.1%
Bradford County,Florida,28.2%,49.6%,61.0%,7.1%,31.9%
Brevard County,Florida,23.0%,51.8%,73.7%,19.5%,6.7%
Broward County,Florida,29.1%,42.7%,54.3%,43.1%,2.5%
Calhoun County,Florida,24.5%,50.4%,58.8%,3.9%,37.3%
Charlotte County,Florida,14.9%,69.8%,75.5%,15.6%,8.9%
Citrus County,Florida,15.2%,66.8%,74.5%,5.4%,20.1%
Clay County,Florida,36.6%,41.3%,77.4%,10.1%,12.5%
Collier County,Florida,20.9%,61.7%,56.9%,37.9%,5.2%
Columbia County,Florida,26.7%,46.4%,52.0%,9.1%,38.8%
DeSoto County,Florida,32.6%,48.9%,58.5%,12.3%,29.2%
Dixie County,Florida,25.1%,57.1%,48.0%,0.9%,51.1%
Duval County,Florida,28.6%,35.6%,67.1%,28.8%,4.1%
Escambia County,Florida,24.7%,41.6%,74.1%,19.6%,6.4%
Flagler County,Florida,21.6%,61.0%,87.8%,7.8%,4.3%
Franklin County,Florida,21.3%,56.3%,70.4%,9.6%,20.0%
Gadsden County,Florida,27.4%,47.9%,64.4%,7.6%,28.0%
Gilchrist County,Florida,26.7%,51.5%,46.5%,2.1%,51.4%
Glades County,Florida,27.5%,57.6%,40.2%,6.1%,53.7%
Gulf County,Florida,27.3%,54.0%,72.1%,7.1%,20.8%
Hamilton County,Florida,31.8%,52.6%,55.1%,6.0%,38.8%
Hardee County,Florida,37.4%,43.2%,61.9%,15.2%,22.9%
Hendry County,Florida,39.3%,38.0%,54.9%,6.4%,38.6%
Hernando County,Florida,24.3%,55.9%,78.1%,6.9%,14.9%
Highlands County,Florida,18.1%,64.7%,69.8%,10.2%,20.0%
Hillsborough County,Florida,30.3%,36.2%,65.4%,28.1%,6.5%
Holmes County,Florida,34.2%,50.2%,59.4%,4.4%,36.2%
Indian River County,Florida,15.7%,66.3%,74.0%,19.6%,6.4%
Jackson County,Florida,30.0%,47.0%,63.8%,5.1%,31.1%
Jefferson County,Florida,23.0%,52.2%,54.7%,4.9%,40.3%
Lafayette County,Florida,24.5%,43.7%,42.8%,2.8%,54.4%
Lake County,Florida,24.8%,55.3%,72.2%,11.6%,16.2%
Lee County,Florida,21.6%,56.7%,67.7%,23.9%,8.3%
Leon County,Florida,24.6%,32.3%,60.4%,32.1%,7.5%
Levy County,Florida,24.6%,53.1%,52.1%,3.9%,44.0%
Liberty County,Florida,28.9%,45.1%,55.7%,1.4%,42.9%
Madison County,Florida,24.4%,49.8%,58.0%,4.9%,37.1%
Manatee County,Florida,22.5%,56.7%,66.6%,20.8%,12.6%
Marion County,Florida,22.8%,57.7%,71.4%,10.9%,17.8%
Martin County,Florida,19.0%,61.6%,67.4%,24.2%,8.4%
Miami-Dade County,Florida,31.9%,42.4%,53.3%,45.3%,1.4%
Monroe County,Florida,20.4%,47.7%,62.0%,27.1%,10.9%
Nassau County,Florida,29.7%,50.1%,72.4%,8.1%,19.5%
Okaloosa County,Florida,29.9%,38.9%,75.7%,19.6%,4.7%
Okeechobee County,Florida,30.3%,46.8%,59.1%,9.0%,31.9%
Orange County,Florida,33.2%,32.5%,65.8%,30.6%,3.6%
Osceola County,Florida,36.5%,38.4%,70.7%,20.8%,8.5%
Palm Beach County,Florida,25.0%,52.0%,61.8%,35.6%,2.6%
Pasco County,Florida,28.3%,49.3%,72.6%,11.5%,16.0%
Pinellas County,Florida,20.2%,51.5%,59.6%,33.0%,7.4%
Polk County,Florida,29.9%,48.4%,66.8%,14.0%,19.2%
Putnam County,Florida,24.3%,52.2%,52.0%,7.3%,40.7%
St. Johns County,Florida,33.1%,46.5%,81.6%,11.7%,6.7%
St. Lucie County,Florida,27.1%,53.7%,78.3%,15.7%,6.0%
Santa Rosa County,Florida,34.3%,40.7%,83.4%,7.4%,9.1%
Sarasota County,Florida,16.9%,64.7%,72.1%,20.4%,7.5%
Seminole County,Florida,30.5%,38.4%,72.6%,25.2%,2.2%
Sumter County,Florida,6.9%,85.0%,83.6%,3.5%,12.9%
Suwannee County,Florida,26.6%,51.6%,45.0%,4.7%,50.3%
Taylor County,Florida,26.5%,53.8%,62.9%,3.8%,33.3%
Union County,Florida,39.1%,37.1%,50.0%,6.3%,43.6%
