State,County,LACCESS_POP10,FID
Georgia,Grady,2633.977074,797
Georgia,Greene,603.9839136,800
Georgia,Gwinnett,260733.2014,804
Georgia,Habersham,9084.295771,806
Georgia,Hall,51370.45591,808
Georgia,Hancock,2302.766532,810
Georgia,Haralson,1098.936334,813
Georgia,Harris,209.1247264,814
Georgia,Hart,832.0920095,816
Georgia,Heard,420.8592547,817
Georgia,Henry,70655.57932,820
Georgia,Houston,50674.09806,823
Georgia,Irwin,677.9278068,825
Georgia,Jackson,584.4461149,828
Georgia,Jasper,916.4318922,830
Georgia,Jeff Davis,1909.842637,832
Georgia,Jefferson,336.1349477,834
Georgia,Jenkins,1033.717882,835
Georgia,Johnson,2189.200496,837
Georgia,Jones,1942.311283,839
Georgia,Lamar,1016.100615,841
Georgia,Lanier,498.6930314,845
Georgia,Laurens,4790.953479,847
Georgia,Lee,5407.256965,849
Georgia,Liberty,24802.39757,855
Georgia,Lincoln,446.8071073,857
Georgia,Long,1517.578891,860
Georgia,Lowndes,22947.08173,863
Georgia,Lumpkin,369.6511925,865
Georgia,McDuffie,2063.005576,868
Georgia,McIntosh,1258.69006,871
Georgia,Macon,2569.963102,874
Georgia,Madison,799.8844848,875
Georgia,Marion,8092.881601,877
Georgia,Meriwether,321.3537148,879
Georgia,Miller,224.0023482,881
Georgia,Mitchell,4795.013106,883
Georgia,Monroe,2826.472637,885
Georgia,Montgomery,1075.37008,887
Georgia,Morgan,3568.733586,890
Georgia,Murray,5667.228506,892
Georgia,Muscogee,62464.41575,896
Georgia,Newton,25556.61962,899
Georgia,Oconee,9711.539832,901
Georgia,Oglethorpe,673.5751297,905
Georgia,Paulding,34015.4726,908
Georgia,Peach,5877.053632,910
Georgia,Pickens,1813.087641,912
Georgia,Pierce,2277.373365,915
Georgia,Pike,0,7
Georgia,Polk,4735.214146,8
Georgia,Pulaski,1212.12968,11
Georgia,Putnam,740.8340815,13
Georgia,Quitman,872.00654,16
Georgia,Rabun,115.8387782,18
Georgia,Randolph,470.8532596,23
Georgia,Richmond,67308.09141,24
Georgia,Rockdale,39853.84691,28
Georgia,Schley,44.3608584,31
Georgia,Screven,3130.901526,34
Georgia,Seminole,640.6201517,38
Georgia,Spalding,10916.09036,41
Georgia,Stephens,2689.766167,45
Georgia,Stewart,1034.38226,48
Georgia,Sumter,7427.064606,52
Georgia,Talbot,305.8334636,57
Georgia,Taliaferro,1183.686554,60
Georgia,Tattnall,954.4100286,63
Georgia,Taylor,652.8033406,69
Georgia,Telfair,1369.729366,75
Georgia,Terrell,116.1841347,78
Georgia,Thomas,12043.04359,83
Georgia,Tift,3927.000192,87
Georgia,Toombs,4539.608461,91
Georgia,Towns,1.107801422,95
Georgia,Treutlen,1012.358315,102
Georgia,Troup,9861.770716,105
Georgia,Turner,723.6169588,108
Georgia,Twiggs,97.52953657,116
Georgia,Union,7.359057069,120
Georgia,Upson,4929.530922,123
Georgia,Walker,17466.90887,126
Georgia,Walton,15470.3864,127
Georgia,Ware,13610.32349,132
Georgia,Warren,86.46048015,135
Georgia,Washington,5635.440627,143
Georgia,Wayne,8513.120304,147
Georgia,Webster,55.97534727,149
Georgia,Wheeler,11.99815482,154
Georgia,White,0,157
Georgia,Whitfield,27692.97624,159
Georgia,Wilcox,68.68102985,163
Georgia,Wilkes,3240.501699,167
Georgia,Wilkinson,2020.300741,169
Georgia,Worth,2450.174229,173
Hawaii,Hawaii,68848.71146,198
Hawaii,Honolulu,189030.4397,234
Hawaii,Kalawao,0,247
Hawaii,Kauai,28205.32913,261
Hawaii,Maui,55754.68131,323
Idaho,Ada,71883.65821,336
Idaho,Adams,424.2091018,338
Idaho,Bannock,25193.64702,343
Idaho,Bear Lake,1549.173696,349
Idaho,Benewah,2583.14724,354
Idaho,Bingham,9351.751607,362
Idaho,Blaine,6105.065189,371
Idaho,Boise,6327.122256,380
Idaho,Bonner,7650.769677,387
Idaho,Bonneville,24726.61707,395
Idaho,Boundary,2011.173722,405
Idaho,Butte,605.1645327,414
Idaho,Camas,1116.999994,429
Idaho,Canyon,39744.25545,441
Idaho,Caribou,2190.203869,449
Idaho,Cassia,5398.681334,456
Idaho,Clark,982.0000058,464
Idaho,Clearwater,1928.636673,474
Idaho,Custer,959.7153483,484
Idaho,Elmore,9310.399989,490
Idaho,Franklin,919.1117878,498
Idaho,Fremont,1653.859089,502
Idaho,Gem,6154.38112,510
Idaho,Gooding,2016.109063,519
Idaho,Idaho,5583.991627,528
Idaho,Jefferson,3048.075323,540
Idaho,Jerome,4915.865613,547
Idaho,Kootenai,34524.22543,552
Idaho,Latah,5785.716217,559
Idaho,Lemhi,3310.348176,566
Idaho,Lewis,1852.740893,574
Idaho,Lincoln,5074.030993,578
Idaho,Madison,6606.62403,581
Idaho,Minidoka,2536.023008,585
Idaho,Nez Perce,6992.621205,589
Idaho,Oneida,491.0323482,593
Idaho,Owyhee,2056.337099,601
Idaho,Payette,5406.801263,606
Idaho,Power,1085.1314,613
Idaho,Shoshone,551.9504364,621
Idaho,Teton,906.2085976,627
Idaho,Twin Falls,7225.798587,634
Idaho,Valley,1780.027155,643
Idaho,Washington,2132.75114,649
Illinois,Adams,10505.23266,650
Illinois,Alexander,3858.85561,651
Illinois,Bond,2080.987933,652
Illinois,Boone,9063.970399,653
Illinois,Brown,1910.444209,654
Illinois,Bureau,12482.81542,2
Illinois,Calhoun,792.1971568,4
Illinois,Carroll,1841.384177,6
Illinois,Cass,1467.967045,10
Illinois,Champaign,29429.51285,12
Illinois,Christian,3502.285529,14
Illinois,Clark,1416.865398,19
Illinois,Clay,2133.496037,22
Illinois,Clinton,4186.533891,27
Illinois,Coles,7996.130084,30
Illinois,Cook,415199.8393,36
Illinois,Crawford,2926.971039,40
Illinois,Cumberland,91.84574619,44
Illinois,DeKalb,26414.61017,49
Illinois,De Witt,716.2115627,53
Illinois,Douglas,1971.220001,55
Illinois,DuPage,250484.9532,64
Illinois,Edgar,6745.106506,66
Illinois,Edwards,1243.358107,71
Illinois,Effingham,5859.604815,76
Illinois,Fayette,7108.086061,79
Illinois,Ford,2583.177029,81
Illinois,Franklin,4415.063247,85
Illinois,Fulton,4613.997059,89
Illinois,Gallatin,4856.048815,92
Illinois,Greene,259.9066576,96
Illinois,Grundy,9126.122755,99
Illinois,Hamilton,1547.107855,106
Illinois,Hancock,10204.79468,111
Illinois,Hardin,1025.035678,113
Illinois,Henderson,101.9657869,117
Illinois,Henry,9452.025152,121
Illinois,Iroquois,4187.485494,125
Illinois,Jackson,14240.43433,129
Illinois,Jasper,1504.003493,133
Illinois,Jefferson,8696.955664,137
Illinois,Jersey,3493.467666,142
Illinois,Jo Daviess,4523.192176,145
Illinois,Johnson,2221.280305,152
Illinois,Kane,101402.5341,156
Illinois,Kankakee,16980.02674,161
Illinois,Kendall,27649.09975,165
Illinois,Knox,7394.475105,166
Illinois,Lake,254429.6777,170
Illinois,LaSalle,26677.23223,175
Illinois,Lawrence,2108.957971,177
Illinois,Lee,3793.332427,180
Illinois,Livingston,3338.152072,182
Illinois,Logan,9651.77792,186
Illinois,McDonough,9394.390719,189
Illinois,McHenry,133010.8852,192
Illinois,McLean,46402.83411,193
Illinois,Macon,33166.94912,194
Illinois,Macoupin,4407.256796,196
Illinois,Madison,85508.78647,199
Illinois,Marion,10002.69918,201
Illinois,Marshall,1718.462525,202
Illinois,Mason,1035.316087,206
Illinois,Massac,1942.607968,208
Illinois,Menard,350.8690643,212
Illinois,Mercer,3782.957667,216
Illinois,Monroe,6575.672536,219
Illinois,Montgomery,4562.275362,223
Illinois,Morgan,8929.539707,225
Illinois,Moultrie,439.0774519,227
Illinois,Ogle,6654.203387,229
Illinois,Peoria,55264.6543,233
Illinois,Perry,4608.847481,235
Illinois,Piatt,511.2756643,238
Illinois,Pike,3952.583099,241
Illinois,Pope,1327.660699,245
Illinois,Pulaski,3550.761234,248
Illinois,Putnam,0.002969865,253
Illinois,Randolph,4448.414919,255
Illinois,Richland,803.0791175,259
Illinois,Rock Island,30119.61826,265
Illinois,St. Clair,112882.8529,269
Illinois,Saline,8689.189195,271
Illinois,Sangamon,62373.15405,274
Illinois,Schuyler,1055.323431,278
Illinois,Scott,223.341011,280
Illinois,Shelby,3526.946297,283
Illinois,Stark,1799.414547,285
Illinois,Stephenson,4193.938822,290
Illinois,Tazewell,54675.35873,291
Illinois,Union,1402.490291,293
Illinois,Vermilion,14336.8185,296
Illinois,Wabash,1006.757797,299
Illinois,Warren,127.7784694,301
Illinois,Washington,1628.931493,305
Illinois,Wayne,3415.894828,310
Illinois,White,4384.115611,312
Illinois,Whiteside,9949.308567,314
Illinois,Will,242455.2525,320
Illinois,Williamson,11942.92402,324
Illinois,Winnebago,72887.04431,325
Illinois,Woodford,2900.696181,328
Indiana,Adams,2454.520542,330
Indiana,Allen,117581.1807,335
Indiana,Bartholomew,18060.87478,342
Indiana,Benton,106.0409604,179
Indiana,Blackford,257.627561,183
Indiana,Boone,7605.863936,185
Indiana,Brown,450.1479386,188
Indiana,Carroll,923.1637027,195
Indiana,Cass,1591.826168,211
Indiana,Clark,23781.43203,215
Indiana,Clay,1038.265061,221
Indiana,Clinton,1330.857496,226
Indiana,Crawford,1211.297347,232
Indiana,Daviess,1437.98425,239
Indiana,Dearborn,13205.37194,242
Indiana,Decatur,3541.347757,246
Indiana,DeKalb,11734.32979,249
Indiana,Delaware,28538.57252,252
Indiana,Dubois,2370.357369,254
Indiana,Elkhart,38971.22027,260
Indiana,Fayette,5202.240002,263
Indiana,Floyd,17846.0161,267
Indiana,Fountain,643.0785983,270
Indiana,Franklin,2094.70128,272
Indiana,Fulton,3231.785896,276
Indiana,Gibson,3461.208464,286
Indiana,Grant,14392.46364,297
Indiana,Greene,2712.317887,309
Indiana,Hamilton,95377.40381,321
Indiana,Hancock,22870.76461,329
Indiana,Harrison,2153.461586,334
Indiana,Hendricks,53660.3399,341
Indiana,Henry,2249.172197,344
Indiana,Howard,25625.4861,348
Indiana,Huntington,7638.158415,352
Indiana,Jackson,6493.914143,355
Indiana,Jasper,2420.945576,356
Indiana,Jay,4108.01129,358
Indiana,Jefferson,4772.601941,363
Indiana,Jennings,5226.186123,367
Indiana,Johnson,42603.49169,370
Indiana,Knox,4871.937736,376
Indiana,Kosciusko,17485.98838,384
Indiana,LaGrange,522.0837554,386
Indiana,Lake,138588.4696,389
Indiana,LaPorte,20849.28856,392
Indiana,Lawrence,4145.530246,396
Indiana,Madison,32821.38438,401
Indiana,Marion,226699.9413,409
Indiana,Marshall,7428.192199,412
Indiana,Martin,267.9232417,418
Indiana,Miami,6700.647448,420
Indiana,Monroe,27358.37011,422
Indiana,Montgomery,4577.475279,425
Indiana,Morgan,12319.72008,430
Indiana,Newton,193.6185927,433
Indiana,Noble,3232.642074,436
Indiana,Ohio,0,440
Indiana,Orange,1188.976976,444
Indiana,Owen,151.7556886,448
Indiana,Parke,1605.425198,452
Indiana,Perry,5305.314089,459
Indiana,Pike,647.3996912,465
Indiana,Porter,63748.19795,468
Indiana,Posey,5972.422361,471
Indiana,Pulaski,354.7334968,477
Indiana,Putnam,1058.341785,480
Indiana,Randolph,5240.257297,485
Indiana,Ripley,732.2580329,488
Indiana,Rush,593.434102,493
Indiana,St. Joseph,90149.81923,496
Indiana,Scott,1250.325854,504
Indiana,Shelby,4515.562789,506
Indiana,Spencer,1.788068976,509
Indiana,Starke,1374.642131,512
Indiana,Steuben,7252.009047,515
Indiana,Sullivan,1054.879979,518
Indiana,Switzerland,487.6244552,526
Indiana,Tippecanoe,48237.52034,530
Indiana,Tipton,5142.443558,534
Indiana,Union,0,538
