State,County,PCT_WIC17,FID,FID
Alaska,Yakutat,2.458541447,744,744
Alaska,Yukon-Koyukuk,2.458541447,753,753
Arizona,Apache,2.18791585,761,761
Arizona,Cochise,2.18791585,763,763
Arizona,Coconino,2.18791585,771,771
Arizona,Gila,2.18791585,787,787
Arizona,Graham,2.18791585,0,0
Arizona,Greenlee,2.18791585,1,1
Arizona,La Paz,2.18791585,3,3
Arizona,Maricopa,2.18791585,9,9
Arizona,Mohave,2.18791585,15,15
Arizona,Navajo,2.18791585,17,17
Arizona,Pima,2.18791585,21,21
Arizona,Pinal,2.18791585,26,26
Arizona,Santa Cruz,2.18791585,32,32
Arizona,Yavapai,2.18791585,35,35
Arizona,Yuma,2.18791585,42,42
Arkansas,Arkansas,2.546983819,46,46
Arkansas,Ashley,2.546983819,50,50
Arkansas,Baxter,2.546983819,54,54
Arkansas,Benton,2.546983819,59,59
Arkansas,Boone,2.546983819,62,62
Arkansas,Bradley,2.546983819,68,68
Arkansas,Calhoun,2.546983819,72,72
Arkansas,Carroll,2.546983819,74,74
Arkansas,Chicot,2.546983819,77,77
Arkansas,Clark,2.546983819,86,86
Arkansas,Clay,2.546983819,93,93
Arkansas,Cleburne,2.546983819,97,97
Arkansas,Cleveland,2.546983819,103,103
Arkansas,Columbia,2.546983819,107,107
Arkansas,Conway,2.546983819,109,109
Arkansas,Craighead,2.546983819,114,114
Arkansas,Crawford,2.546983819,115,115
Arkansas,Crittenden,2.546983819,119,119
Arkansas,Cross,2.546983819,124,124
Arkansas,Dallas,2.546983819,128,128
Arkansas,Desha,2.546983819,130,130
Arkansas,Drew,2.546983819,136,136
Arkansas,Faulkner,2.546983819,141,141
Arkansas,Franklin,2.546983819,144,144
Arkansas,Fulton,2.546983819,146,146
Arkansas,Garland,2.546983819,151,151
Arkansas,Grant,2.546983819,155,155
Arkansas,Greene,2.546983819,162,162
Arkansas,Hempstead,2.546983819,172,172
Arkansas,Hot Spring,2.546983819,184,184
Arkansas,Howard,2.546983819,191,191
Arkansas,Independence,2.546983819,200,200
Arkansas,Izard,2.546983819,203,203
Arkansas,Jackson,2.546983819,209,209
Arkansas,Jefferson,2.546983819,213,213
Arkansas,Johnson,2.546983819,218,218
Arkansas,Lafayette,2.546983819,222,222
Arkansas,Lawrence,2.546983819,230,230
Arkansas,Lee,2.546983819,237,237
Arkansas,Lincoln,2.546983819,244,244
Arkansas,Little River,2.546983819,251,251
Arkansas,Logan,2.546983819,258,258
Arkansas,Lonoke,2.546983819,268,268
Arkansas,Madison,2.546983819,277,277
Arkansas,Marion,2.546983819,282,282
Arkansas,Miller,2.546983819,287,287
Arkansas,Mississippi,2.546983819,294,294
Arkansas,Monroe,2.546983819,300,300
Arkansas,Montgomery,2.546983819,304,304
Arkansas,Nevada,2.546983819,307,307
Arkansas,Newton,2.546983819,311,311
Arkansas,Ouachita,2.546983819,316,316
Arkansas,Perry,2.546983819,318,318
Arkansas,Phillips,2.546983819,322,322
Arkansas,Pike,2.546983819,327,327
Arkansas,Poinsett,2.546983819,333,333
Arkansas,Polk,2.546983819,337,337
Arkansas,Pope,2.546983819,340,340
Arkansas,Prairie,2.546983819,345,345
Arkansas,Pulaski,2.546983819,350,350
Arkansas,Randolph,2.546983819,353,353
Arkansas,St. Francis,2.546983819,357,357
Arkansas,Saline,2.546983819,360,360
Arkansas,Scott,2.546983819,364,364
Arkansas,Searcy,2.546983819,372,372
Arkansas,Sebastian,2.546983819,378,378
Arkansas,Sevier,2.546983819,390,390
Arkansas,Sharp,2.546983819,394,394
Arkansas,Stone,2.546983819,399,399
Arkansas,Union,2.546983819,403,403
Arkansas,Van Buren,2.546983819,407,407
Arkansas,Washington,2.546983819,417,417
Arkansas,White,2.546983819,428,428
Arkansas,Woodruff,2.546983819,435,435
Arkansas,Yell,2.546983819,438,438
California,Alameda,2.73225223,457,457
California,Alpine,2.73225223,461,461
California,Amador,2.73225223,472,472
California,Butte,2.73225223,486,486
California,Calaveras,2.73225223,489,489
California,Colusa,2.73225223,497,497
California,Contra Costa,2.73225223,503,503
California,Del Norte,2.73225223,511,511
California,El Dorado,2.73225223,522,522
California,Fresno,2.73225223,527,527
California,Glenn,2.73225223,537,537
California,Humboldt,2.73225223,551,551
California,Imperial,2.73225223,557,557
California,Inyo,2.73225223,562,562
California,Kern,2.73225223,84,84
California,Kings,2.73225223,94,94
California,Lake,2.73225223,100,100
California,Lassen,2.73225223,104,104
California,Los Angeles,2.73225223,139,139
California,Madera,2.73225223,153,153
California,Marin,2.73225223,168,168
California,Mariposa,2.73225223,178,178
California,Mendocino,2.73225223,190,190
California,Merced,2.73225223,204,204
California,Modoc,2.73225223,207,207
California,Mono,2.73225223,214,214
California,Monterey,2.73225223,228,228
California,Napa,2.73225223,236,236
California,Nevada,2.73225223,243,243
California,Orange,2.73225223,257,257
California,Placer,2.73225223,266,266
California,Plumas,2.73225223,275,275
California,Riverside,2.73225223,281,281
California,Sacramento,2.73225223,289,289
California,San Benito,2.73225223,295,295
California,San Bernardino,2.73225223,302,302
California,San Diego,2.73225223,315,315
California,San Francisco,2.73225223,331,331
California,San Joaquin,2.73225223,339,339
California,San Luis Obispo,2.73225223,351,351
California,San Mateo,2.73225223,368,368
California,Santa Barbara,2.73225223,391,391
California,Santa Clara,2.73225223,406,406
California,Santa Cruz,2.73225223,415,415
California,Shasta,2.73225223,431,431
California,Sierra,2.73225223,439,439
California,Siskiyou,2.73225223,446,446
California,Solano,2.73225223,453,453
California,Sonoma,2.73225223,463,463
California,Stanislaus,2.73225223,473,473
California,Sutter,2.73225223,483,483
California,Tehama,2.73225223,492,492
California,Trinity,2.73225223,500,500
California,Tulare,2.73225223,501,501
California,Tuolumne,2.73225223,513,513
California,Ventura,2.73225223,521,521
California,Yolo,2.73225223,525,525
California,Yuba,2.73225223,541,541
Colorado,Adams,1.508473222,545,545
Colorado,Alamosa,1.508473222,549,549
Colorado,Arapahoe,1.508473222,558,558
Colorado,Archuleta,1.508473222,560,560
Colorado,Baca,1.508473222,563,563
Colorado,Bent,1.508473222,564,564
Colorado,Boulder,1.508473222,570,570
Colorado,Broomfield,1.508473222,577,577
Colorado,Chaffee,1.508473222,582,582
Colorado,Cheyenne,1.508473222,587,587
Colorado,Clear Creek,1.508473222,591,591
Colorado,Conejos,1.508473222,596,596
Colorado,Costilla,1.508473222,599,599
Colorado,Crowley,1.508473222,605,605
Colorado,Custer,1.508473222,610,610
Colorado,Delta,1.508473222,617,617
Colorado,Denver,1.508473222,628,628
Colorado,Dolores,1.508473222,636,636
Colorado,Douglas,1.508473222,644,644
Colorado,Eagle,1.508473222,648,648
Colorado,Elbert,1.508473222,655,655
Colorado,El Paso,1.508473222,661,661
Colorado,Fremont,1.508473222,664,664
Colorado,Garfield,1.508473222,667,667
Colorado,Gilpin,1.508473222,672,672
Colorado,Grand,1.508473222,677,677
Colorado,Gunnison,1.508473222,682,682
Colorado,Hinsdale,1.508473222,688,688
Colorado,Huerfano,1.508473222,693,693
Colorado,Jackson,1.508473222,701,701
Colorado,Jefferson,1.508473222,706,706
Colorado,Kiowa,1.508473222,711,711
Colorado,Kit Carson,1.508473222,716,716
Colorado,Lake,1.508473222,721,721
Colorado,La Plata,1.508473222,727,727
Colorado,Larimer,1.508473222,734,734
Colorado,Las Animas,1.508473222,741,741
Colorado,Lincoln,1.508473222,747,747
Colorado,Logan,1.508473222,749,749
Colorado,Mesa,1.508473222,751,751
Colorado,Mineral,1.508473222,757,757
Colorado,Moffat,1.508473222,758,758
Colorado,Montezuma,1.508473222,766,766
Colorado,Montrose,1.508473222,769,769
Colorado,Morgan,1.508473222,775,775
Colorado,Otero,1.508473222,777,777
Colorado,Ouray,1.508473222,780,780
Colorado,Park,1.508473222,782,782
Colorado,Phillips,1.508473222,785,785
Colorado,Pitkin,1.508473222,789,789
Colorado,Prowers,1.508473222,792,792
Colorado,Pueblo,1.508473222,795,795
Colorado,Rio Blanco,1.508473222,799,799
Colorado,Rio Grande,1.508473222,802,802
Colorado,Routt,1.508473222,809,809
Colorado,Saguache,1.508473222,811,811
Colorado,San Juan,1.508473222,347,347
Colorado,San Miguel,1.508473222,359,359
Colorado,Sedgwick,1.508473222,366,366
Colorado,Summit,1.508473222,373,373
Colorado,Teller,1.508473222,375,375
Colorado,Washington,1.508473222,377,377
Colorado,Weld,1.508473222,382,382
Colorado,Yuma,1.508473222,385,385
Connecticut,Fairfield,1.332976979,410,410
Connecticut,Hartford,1.332976979,432,432
Connecticut,Litchfield,1.332976979,443,443
Connecticut,Middlesex,1.332976979,450,450
Connecticut,New Haven,1.332976979,466,466
Connecticut,New London,1.332976979,517,517
Connecticut,Tolland,1.332976979,524,524
Connecticut,Windham,1.332976979,529,529
Delaware,Kent,1.784052835,532,532
Delaware,New Castle,1.784052835,536,536
Delaware,Sussex,1.784052835,609,609
District of Columbia,District of Columbia,1.956827264,630,630
Florida,Alachua,2.234357824,639,639
Florida,Baker,2.234357824,641,641
Florida,Bay,2.234357824,658,658
Florida,Bradford,2.234357824,665,665
Florida,Brevard,2.234357824,686,686
Florida,Broward,2.234357824,695,695
Florida,Calhoun,2.234357824,699,699
Florida,Charlotte,2.234357824,743,743
Florida,Citrus,2.234357824,843,843
Florida,Clay,2.234357824,852,852
Florida,Collier,2.234357824,894,894
Florida,Columbia,2.234357824,903,903
Florida,DeSoto,2.234357824,906,906
Florida,Dixie,2.234357824,918,918
Florida,Duval,2.234357824,924,924
Florida,Escambia,2.234357824,931,931
Florida,Flagler,2.234357824,935,935
Florida,Franklin,2.234357824,937,937
Florida,Gadsden,2.234357824,938,938
Florida,Gilchrist,2.234357824,939,939
Florida,Glades,2.234357824,940,940
Florida,Gulf,2.234357824,941,941
Florida,Hamilton,2.234357824,942,942
Florida,Hardee,2.234357824,943,943
Florida,Hendry,2.234357824,944,944
Florida,Hernando,2.234357824,945,945
Florida,Highlands,2.234357824,946,946
Florida,Hillsborough,2.234357824,947,947
Florida,Holmes,2.234357824,948,948
Florida,Indian River,2.234357824,949,949
Florida,Jackson,2.234357824,950,950
Florida,Jefferson,2.234357824,951,951
Florida,Lafayette,2.234357824,952,952
Florida,Lake,2.234357824,953,953
Florida,Lee,2.234357824,954,954
Florida,Leon,2.234357824,955,955
Florida,Levy,2.234357824,956,956
Florida,Liberty,2.234357824,957,957
Florida,Madison,2.234357824,958,958
Florida,Manatee,2.234357824,959,959
Florida,Marion,2.234357824,960,960
Florida,Martin,2.234357824,961,961
Florida,Miami-Dade,2.234357824,962,962
Florida,Monroe,2.234357824,963,963
Florida,Nassau,2.234357824,964,964
Florida,Okaloosa,2.234357824,965,965
Florida,Okeechobee,2.234357824,966,966
Florida,Orange,2.234357824,967,967
Florida,Osceola,2.234357824,968,968
Florida,Palm Beach,2.234357824,969,969
Florida,Pasco,2.234357824,970,970
Florida,Pinellas,2.234357824,971,971
Florida,Polk,2.234357824,972,972
Florida,Putnam,2.234357824,973,973
Florida,St. Johns,2.234357824,974,974
Florida,St. Lucie,2.234357824,975,975
Florida,Santa Rosa,2.234357824,976,976
Florida,Sarasota,2.234357824,977,977
Florida,Seminole,2.234357824,978,978
Florida,Sumter,2.234357824,979,979
Florida,Suwannee,2.234357824,980,980
Florida,Taylor,2.234357824,981,981
Florida,Union,2.234357824,982,982
Florida,Volusia,2.234357824,983,983
Florida,Wakulla,2.234357824,984,984
Florida,Walton,2.234357824,985,985
Florida,Washington,2.234357824,986,986
Georgia,Appling,2.274578541,987,987
Georgia,Atkinson,2.274578541,988,988
Georgia,Bacon,2.274578541,989,989
Georgia,Baker,2.274578541,990,990
Georgia,Baldwin,2.274578541,991,991
Georgia,Banks,2.274578541,992,992
Georgia,Barrow,2.274578541,993,993
Georgia,Bartow,2.274578541,994,994
Georgia,Ben Hill,2.274578541,995,995
Georgia,Berrien,2.274578541,996,996
Georgia,Bibb,2.274578541,997,997
Georgia,Bleckley,2.274578541,998,998
Georgia,Brantley,2.274578541,999,999
Georgia,Brooks,2.274578541,565,565
Georgia,Bryan,2.274578541,573,573
Georgia,Bulloch,2.274578541,579,579
Georgia,Burke,2.274578541,583,583
Georgia,Butts,2.274578541,588,588
Georgia,Calhoun,2.274578541,592,592
Georgia,Camden,2.274578541,603,603
Georgia,Candler,2.274578541,616,616
Georgia,Carroll,2.274578541,620,620
Georgia,Catoosa,2.274578541,626,626
Georgia,Charlton,2.274578541,635,635
Georgia,Chatham,2.274578541,646,646
Georgia,Chattahoochee,2.274578541,656,656
Georgia,Chattooga,2.274578541,659,659
Georgia,Cherokee,2.274578541,662,662
Georgia,Clarke,2.274578541,666,666
Georgia,Clay,2.274578541,670,670
Georgia,Clayton,2.274578541,673,673
Georgia,Clinch,2.274578541,676,676
Georgia,Cobb,2.274578541,680,680
Georgia,Coffee,2.274578541,684,684
Georgia,Colquitt,2.274578541,689,689
Georgia,Columbia,2.274578541,692,692
Georgia,Cook,2.274578541,697,697
Georgia,Coweta,2.274578541,700,700
Georgia,Crawford,2.274578541,704,704
Georgia,Crisp,2.274578541,707,707
Georgia,Dade,2.274578541,708,708
Georgia,Dawson,2.274578541,713,713
Georgia,Decatur,2.274578541,714,714
Georgia,DeKalb,2.274578541,718,718
Georgia,Dodge,2.274578541,720,720
Georgia,Dooly,2.274578541,724,724
Georgia,Dougherty,2.274578541,728,728
Georgia,Douglas,2.274578541,731,731
Georgia,Early,2.274578541,735,735
Georgia,Echols,2.274578541,737,737
Georgia,Effingham,2.274578541,742,742
Georgia,Elbert,2.274578541,746,746
Georgia,Emanuel,2.274578541,750,750
Georgia,Evans,2.274578541,754,754
Georgia,Fannin,2.274578541,755,755
Georgia,Fayette,2.274578541,760,760
Georgia,Floyd,2.274578541,764,764
Georgia,Forsyth,2.274578541,768,768
Georgia,Franklin,2.274578541,772,772
Georgia,Fulton,2.274578541,779,779
Georgia,Gilmer,2.274578541,781,781
Georgia,Glascock,2.274578541,783,783
Georgia,Glynn,2.274578541,793,793
Georgia,Gordon,2.274578541,796,796
Georgia,Grady,2.274578541,797,797
Georgia,Greene,2.274578541,800,800
Georgia,Gwinnett,2.274578541,804,804
Georgia,Habersham,2.274578541,806,806
Georgia,Hall,2.274578541,808,808
Georgia,Hancock,2.274578541,810,810
Georgia,Haralson,2.274578541,813,813
Georgia,Harris,2.274578541,814,814
Georgia,Hart,2.274578541,816,816
Georgia,Heard,2.274578541,817,817
Georgia,Henry,2.274578541,820,820
Georgia,Houston,2.274578541,823,823
Georgia,Irwin,2.274578541,825,825
Georgia,Jackson,2.274578541,828,828
Georgia,Jasper,2.274578541,830,830
Georgia,Jeff Davis,2.274578541,832,832
Georgia,Jefferson,2.274578541,834,834
Georgia,Jenkins,2.274578541,835,835
Georgia,Johnson,2.274578541,837,837
Georgia,Jones,2.274578541,839,839
Georgia,Lamar,2.274578541,841,841
Georgia,Lanier,2.274578541,845,845
Georgia,Laurens,2.274578541,847,847
Georgia,Lee,2.274578541,849,849
Georgia,Liberty,2.274578541,855,855
Georgia,Lincoln,2.274578541,857,857
Georgia,Long,2.274578541,860,860
Georgia,Lowndes,2.274578541,863,863
Georgia,Lumpkin,2.274578541,865,865
Georgia,McDuffie,2.274578541,868,868
Georgia,McIntosh,2.274578541,871,871
Georgia,Macon,2.274578541,874,874
Georgia,Madison,2.274578541,875,875
Georgia,Marion,2.274578541,877,877
Georgia,Meriwether,2.274578541,879,879
Georgia,Miller,2.274578541,881,881
Georgia,Mitchell,2.274578541,883,883
Georgia,Monroe,2.274578541,885,885
Georgia,Montgomery,2.274578541,887,887
Georgia,Morgan,2.274578541,890,890
Georgia,Murray,2.274578541,892,892
Georgia,Muscogee,2.274578541,896,896
Georgia,Newton,2.274578541,899,899
Georgia,Oconee,2.274578541,901,901
Georgia,Oglethorpe,2.274578541,905,905
Georgia,Paulding,2.274578541,908,908
Georgia,Peach,2.274578541,910,910
Georgia,Pickens,2.274578541,912,912
Georgia,Pierce,2.274578541,915,915
Georgia,Pike,2.274578541,7,7
Georgia,Polk,2.274578541,8,8
Georgia,Pulaski,2.274578541,11,11
Georgia,Putnam,2.274578541,13,13
Georgia,Quitman,2.274578541,16,16
Georgia,Rabun,2.274578541,18,18
Georgia,Randolph,2.274578541,23,23
Georgia,Richmond,2.274578541,24,24
Georgia,Rockdale,2.274578541,28,28
Georgia,Schley,2.274578541,31,31
Georgia,Screven,2.274578541,34,34
Georgia,Seminole,2.274578541,38,38
Georgia,Spalding,2.274578541,41,41
Georgia,Stephens,2.274578541,45,45
Georgia,Stewart,2.274578541,48,48
Georgia,Sumter,2.274578541,52,52
Georgia,Talbot,2.274578541,57,57
Georgia,Taliaferro,2.274578541,60,60
Georgia,Tattnall,2.274578541,63,63
Georgia,Taylor,2.274578541,69,69
Georgia,Telfair,2.274578541,75,75
Georgia,Terrell,2.274578541,78,78
Georgia,Thomas,2.274578541,83,83
Georgia,Tift,2.274578541,87,87
Georgia,Toombs,2.274578541,91,91
Georgia,Towns,2.274578541,95,95
Georgia,Treutlen,2.274578541,102,102
Georgia,Troup,2.274578541,105,105
Georgia,Turner,2.274578541,108,108
Georgia,Twiggs,2.274578541,116,116
Georgia,Union,2.274578541,120,120
Georgia,Upson,2.274578541,123,123
Georgia,Walker,2.274578541,126,126
Georgia,Walton,2.274578541,127,127
Georgia,Ware,2.274578541,132,132
Georgia,Warren,2.274578541,135,135
Georgia,Washington,2.274578541,143,143
Georgia,Wayne,2.274578541,147,147
Georgia,Webster,2.274578541,149,149
Georgia,Wheeler,2.274578541,154,154
Georgia,White,2.274578541,157,157
Georgia,Whitfield,2.274578541,159,159
Georgia,Wilcox,2.274578541,163,163
Georgia,Wilkes,2.274578541,167,167
Georgia,Wilkinson,2.274578541,169,169
Georgia,Worth,2.274578541,173,173
Hawaii,Hawaii,1.881245893,198,198
Hawaii,Honolulu,1.881245893,234,234
Hawaii,Kalawao,1.881245893,247,247
Hawaii,Kauai,1.881245893,261,261
Hawaii,Maui,1.881245893,323,323
Idaho,Ada,2.12739056,336,336
Idaho,Adams,2.12739056,338,338
Idaho,Bannock,2.12739056,343,343
Idaho,Bear Lake,2.12739056,349,349
Idaho,Benewah,2.12739056,354,354
Idaho,Bingham,2.12739056,362,362
Idaho,Blaine,2.12739056,371,371
Idaho,Boise,2.12739056,380,380
Idaho,Bonner,2.12739056,387,387
Idaho,Bonneville,2.12739056,395,395
Idaho,Boundary,2.12739056,405,405
Idaho,Butte,2.12739056,414,414
Idaho,Camas,2.12739056,429,429
Idaho,Canyon,2.12739056,441,441
Idaho,Caribou,2.12739056,449,449
Idaho,Cassia,2.12739056,456,456
Idaho,Clark,2.12739056,464,464
Idaho,Clearwater,2.12739056,474,474
Idaho,Custer,2.12739056,484,484
Idaho,Elmore,2.12739056,490,490
Idaho,Franklin,2.12739056,498,498
Idaho,Fremont,2.12739056,502,502
Idaho,Gem,2.12739056,510,510
Idaho,Gooding,2.12739056,519,519
Idaho,Idaho,2.12739056,528,528
Idaho,Jefferson,2.12739056,540,540
Idaho,Jerome,2.12739056,547,547
Idaho,Kootenai,2.12739056,552,552
Idaho,Latah,2.12739056,559,559
Idaho,Lemhi,2.12739056,566,566
Idaho,Lewis,2.12739056,574,574
Idaho,Lincoln,2.12739056,578,578
Idaho,Madison,2.12739056,581,581
Idaho,Minidoka,2.12739056,585,585
Idaho,Nez Perce,2.12739056,589,589
Idaho,Oneida,2.12739056,593,593
Idaho,Owyhee,2.12739056,601,601
Idaho,Payette,2.12739056,606,606
Idaho,Power,2.12739056,613,613
Idaho,Shoshone,2.12739056,621,621
Idaho,Teton,2.12739056,627,627
Idaho,Twin Falls,2.12739056,634,634
Idaho,Valley,2.12739056,643,643
Idaho,Washington,2.12739056,649,649
Illinois,Adams,1.651044396,650,650
Illinois,Alexander,1.651044396,651,651
Illinois,Bond,1.651044396,652,652
Illinois,Boone,1.651044396,653,653
Illinois,Brown,1.651044396,654,654
Illinois,Bureau,1.651044396,2,2
Illinois,Calhoun,1.651044396,4,4
Illinois,Carroll,1.651044396,6,6
Illinois,Cass,1.651044396,10,10
Illinois,Champaign,1.651044396,12,12
Illinois,Christian,1.651044396,14,14
Illinois,Clark,1.651044396,19,19
Illinois,Clay,1.651044396,22,22
Illinois,Clinton,1.651044396,27,27
Illinois,Coles,1.651044396,30,30
Illinois,Cook,1.651044396,36,36
Illinois,Crawford,1.651044396,40,40
Illinois,Cumberland,1.651044396,44,44
Illinois,DeKalb,1.651044396,49,49
Illinois,De Witt,1.651044396,53,53
Illinois,Douglas,1.651044396,55,55
Illinois,DuPage,1.651044396,64,64
Illinois,Edgar,1.651044396,66,66
Illinois,Edwards,1.651044396,71,71
Illinois,Effingham,1.651044396,76,76
Illinois,Fayette,1.651044396,79,79
Illinois,Ford,1.651044396,81,81
Illinois,Franklin,1.651044396,85,85
Illinois,Fulton,1.651044396,89,89
Illinois,Gallatin,1.651044396,92,92
Illinois,Greene,1.651044396,96,96
Illinois,Grundy,1.651044396,99,99
Illinois,Hamilton,1.651044396,106,106
Illinois,Hancock,1.651044396,111,111
Illinois,Hardin,1.651044396,113,113
Illinois,Henderson,1.651044396,117,117
Illinois,Henry,1.651044396,121,121
Illinois,Iroquois,1.651044396,125,125
Illinois,Jackson,1.651044396,129,129
Illinois,Jasper,1.651044396,133,133
Illinois,Jefferson,1.651044396,137,137
Illinois,Jersey,1.651044396,142,142
Illinois,Jo Daviess,1.651044396,145,145
Illinois,Johnson,1.651044396,152,152
Illinois,Kane,1.651044396,156,156
Illinois,Kankakee,1.651044396,161,161
Illinois,Kendall,1.651044396,165,165
Illinois,Knox,1.651044396,166,166
Illinois,Lake,1.651044396,170,170
Illinois,LaSalle,1.651044396,175,175
Illinois,Lawrence,1.651044396,177,177
Illinois,Lee,1.651044396,180,180
Illinois,Livingston,1.651044396,182,182
Illinois,Logan,1.651044396,186,186
Illinois,McDonough,1.651044396,189,189
Illinois,McHenry,1.651044396,192,192
Illinois,McLean,1.651044396,193,193
Illinois,Macon,1.651044396,194,194
Illinois,Macoupin,1.651044396,196,196
Illinois,Madison,1.651044396,199,199
Illinois,Marion,1.651044396,201,201
Illinois,Marshall,1.651044396,202,202
Illinois,Mason,1.651044396,206,206
Illinois,Massac,1.651044396,208,208
Illinois,Menard,1.651044396,212,212
Illinois,Mercer,1.651044396,216,216
Illinois,Monroe,1.651044396,219,219
Illinois,Montgomery,1.651044396,223,223
Illinois,Morgan,1.651044396,225,225
Illinois,Moultrie,1.651044396,227,227
Illinois,Ogle,1.651044396,229,229
Illinois,Peoria,1.651044396,233,233
Illinois,Perry,1.651044396,235,235
Illinois,Piatt,1.651044396,238,238
Illinois,Pike,1.651044396,241,241
Illinois,Pope,1.651044396,245,245
Illinois,Pulaski,1.651044396,248,248
Illinois,Putnam,1.651044396,253,253
Illinois,Randolph,1.651044396,255,255
Illinois,Richland,1.651044396,259,259
Illinois,Rock Island,1.651044396,265,265
Illinois,St. Clair,1.651044396,269,269
Illinois,Saline,1.651044396,271,271
Illinois,Sangamon,1.651044396,274,274
Illinois,Schuyler,1.651044396,278,278
Illinois,Scott,1.651044396,280,280
Illinois,Shelby,1.651044396,283,283
Illinois,Stark,1.651044396,285,285
Illinois,Stephenson,1.651044396,290,290
Illinois,Tazewell,1.651044396,291,291
Illinois,Union,1.651044396,293,293
Illinois,Vermilion,1.651044396,296,296
Illinois,Wabash,1.651044396,299,299
Illinois,Warren,1.651044396,301,301
Illinois,Washington,1.651044396,305,305
Illinois,Wayne,1.651044396,310,310
Illinois,White,1.651044396,312,312
Illinois,Whiteside,1.651044396,314,314
Illinois,Will,1.651044396,320,320
Illinois,Williamson,1.651044396,324,324
Illinois,Winnebago,1.651044396,325,325
Illinois,Woodford,1.651044396,328,328
Indiana,Adams,2.159568478,330,330
Indiana,Allen,2.159568478,335,335
Indiana,Bartholomew,2.159568478,342,342
