State,County,LACCESS_SENIORS10,FID
Florida,Hillsborough,36102.8518,947
Florida,Holmes,607.7451018,948
Florida,Indian River,18383.22475,949
Florida,Jackson,539.0850006,950
Florida,Jefferson,393.5720458,951
Florida,Lafayette,124.1599275,952
Florida,Lake,23737.38432,953
Florida,Lee,40817.24832,954
Florida,Leon,8778.013479,955
Florida,Levy,859.9286162,956
Florida,Liberty,270.7103891,957
Florida,Madison,746.2557154,958
Florida,Manatee,21417.00148,959
Florida,Marion,22299.97749,960
Florida,Martin,15160.01464,961
Florida,Miami-Dade,19513.71495,962
Florida,Monroe,4507.479359,963
Florida,Nassau,3222.113412,964
Florida,Okaloosa,8743.96307,965
Florida,Okeechobee,2544.537148,966
Florida,Orange,23014.38664,967
Florida,Osceola,5729.031396,968
Florida,Palm Beach,56074.36316,969
Florida,Pasco,21409.69675,970
Florida,Pinellas,31535.03904,971
Florida,Polk,37363.02476,972
Florida,Putnam,3157.474961,973
Florida,St. Johns,8205.361484,974
Florida,St. Lucie,21929.59787,975
Florida,Santa Rosa,7644.810702,976
Florida,Sarasota,37225.14346,977
Florida,Seminole,15126.72994,978
Florida,Sumter,5782.974984,979
Florida,Suwannee,1930.480484,980
Florida,Taylor,1083.993589,981
Florida,Union,430.6550261,982
Florida,Volusia,31981.611,983
Florida,Wakulla,83.69360001,984
Florida,Walton,1501.996302,985
Florida,Washington,1529.173156,986
Georgia,Appling,552.4435452,987
Georgia,Atkinson,242.7913451,988
Georgia,Bacon,136.2020704,989
Georgia,Baker,423.9128833,990
Georgia,Baldwin,1138.105008,991
Georgia,Banks,204.2715733,992
Georgia,Barrow,806.5900957,993
Georgia,Bartow,3216.84576,994
Georgia,Ben Hill,564.6340925,995
Georgia,Berrien,395.618967,996
Georgia,Bibb,4937.110442,997
Georgia,Bleckley,145.8580151,998
Georgia,Brantley,314.9439202,999
Georgia,Brooks,191.0940764,565
Georgia,Bryan,400.0394415,573
Georgia,Bulloch,778.6385057,579
Georgia,Burke,301.5254064,583
Georgia,Butts,72.88700438,588
Georgia,Calhoun,135.6135154,592
Georgia,Camden,1507.494795,603
Georgia,Candler,89.80125569,616
Georgia,Carroll,2203.530013,620
Georgia,Catoosa,3439.510312,626
Georgia,Charlton,519.147432,635
Georgia,Chatham,7858.934455,646
Georgia,Chattahoochee,363.6792004,656
Georgia,Chattooga,294.4339788,659
Georgia,Cherokee,5255.144523,662
Georgia,Clarke,3145.289484,666
Georgia,Clay,12.52463082,670
Georgia,Clayton,7434.089363,673
Georgia,Clinch,79.90602584,676
Georgia,Cobb,24818.78518,680
Georgia,Coffee,770.6944816,684
Georgia,Colquitt,1337.58764,689
Georgia,Columbia,1949.5636,692
Georgia,Cook,267.33583,697
Georgia,Coweta,3651.964513,700
Georgia,Crawford,0.605527226,704
Georgia,Crisp,680.6902192,707
Georgia,Dade,100.5853416,708
Georgia,Dawson,0,713
Georgia,Decatur,555.4270313,714
Georgia,DeKalb,15456.71544,718
Georgia,Dodge,55.35068816,720
Georgia,Dooly,515.5967731,724
Georgia,Dougherty,4593.47908,728
Georgia,Douglas,3787.336699,731
Georgia,Early,161.0077211,735
Georgia,Echols,25.0963193,737
Georgia,Effingham,652.1758745,742
Georgia,Elbert,531.8700938,746
Georgia,Emanuel,1017.751733,750
Georgia,Evans,61.14104352,754
Georgia,Fannin,8.301068449,755
Georgia,Fayette,5457.259192,760
Georgia,Floyd,3295.144748,764
Georgia,Forsyth,4313.661968,768
Georgia,Franklin,55.01993563,772
Georgia,Fulton,19566.73574,779
Georgia,Gilmer,199.9135727,781
Georgia,Glascock,372.21749,783
Georgia,Glynn,3567.579988,793
Georgia,Gordon,851.9344977,796
Georgia,Grady,421.036274,797
Georgia,Greene,93.29641425,800
Georgia,Gwinnett,18702.75914,804
Georgia,Habersham,1114.770111,806
Georgia,Hall,5488.373833,808
Georgia,Hancock,225.2663164,810
Georgia,Haralson,131.0520815,813
Georgia,Harris,30.67056447,814
Georgia,Hart,146.770744,816
Georgia,Heard,62.47857067,817
Georgia,Henry,6548.801203,820
Georgia,Houston,4918.508066,823
Georgia,Irwin,96.17961635,825
Georgia,Jackson,56.36876836,828
Georgia,Jasper,105.78703,830
Georgia,Jeff Davis,247.9110803,832
Georgia,Jefferson,42.92947962,834
Georgia,Jenkins,149.2024423,835
Georgia,Johnson,393.8457201,837
Georgia,Jones,209.2154001,839
Georgia,Lamar,210.8682043,841
Georgia,Lanier,32.76731955,845
Georgia,Laurens,751.4588682,847
Georgia,Lee,404.1548223,849
Georgia,Liberty,893.5182354,855
Georgia,Lincoln,124.4117712,857
Georgia,Long,121.0207828,860
Georgia,Lowndes,2255.928989,863
Georgia,Lumpkin,48.95505934,865
Georgia,McDuffie,228.8050517,868
Georgia,McIntosh,239.8593605,871
Georgia,Macon,183.4975699,874
Georgia,Madison,125.7755753,875
Georgia,Marion,1099.278111,877
Georgia,Meriwether,56.85223085,879
Georgia,Miller,45.33742112,881
Georgia,Mitchell,386.6161724,883
Georgia,Monroe,322.5119619,885
Georgia,Montgomery,187.9217695,887
Georgia,Morgan,716.0723916,890
Georgia,Murray,619.4131211,892
Georgia,Muscogee,6753.057243,896
Georgia,Newton,2194.109967,899
Georgia,Oconee,1078.589645,901
Georgia,Oglethorpe,117.7525812,905
Georgia,Paulding,2151.652321,908
Georgia,Peach,644.4441564,910
Georgia,Pickens,245.6712205,912
Georgia,Pierce,324.9412066,915
Georgia,Pike,0,7
Georgia,Polk,690.5183802,8
Georgia,Pulaski,236.6727509,11
Georgia,Putnam,143.2823286,13
Georgia,Quitman,188.2011289,16
Georgia,Rabun,30.66556633,18
Georgia,Randolph,73.38679939,23
Georgia,Richmond,6810.228649,24
Georgia,Rockdale,3940.198506,28
Georgia,Schley,12.39627528,31
Georgia,Screven,454.6989038,34
Georgia,Seminole,106.9173216,38
Georgia,Spalding,1448.66552,41
Georgia,Stephens,409.8004151,45
Georgia,Stewart,206.9272357,48
Georgia,Sumter,1064.432408,52
Georgia,Talbot,57.47945403,57
Georgia,Taliaferro,247.8784743,60
Georgia,Tattnall,154.5680497,63
Georgia,Taylor,69.03446155,69
Georgia,Telfair,223.770157,75
Georgia,Terrell,20.79472574,78
Georgia,Thomas,1795.839547,83
Georgia,Tift,542.1315236,87
Georgia,Toombs,576.1251592,91
Georgia,Towns,0,95
Georgia,Treutlen,96.03208416,102
Georgia,Troup,1188.082621,105
Georgia,Turner,109.7800134,108
Georgia,Twiggs,20.77824978,116
Georgia,Union,1.675631052,120
Georgia,Upson,836.5847822,123
Georgia,Walker,2725.669423,126
Georgia,Walton,1520.749973,127
Georgia,Ware,2235.609311,132
Georgia,Warren,15.92580083,135
Georgia,Washington,757.4971365,143
Georgia,Wayne,1122.452241,147
Georgia,Webster,4.558356245,149
Georgia,Wheeler,4.361145863,154
Georgia,White,0,157
Georgia,Whitfield,2579.647585,159
Georgia,Wilcox,11.79664955,163
Georgia,Wilkes,612.4209225,167
Georgia,Wilkinson,380.8804098,169
Georgia,Worth,344.7809373,173
Hawaii,Hawaii,10263.86739,198
Hawaii,Honolulu,25629.89981,234
Hawaii,Kalawao,0,247
Hawaii,Kauai,4019.692266,261
Hawaii,Maui,6658.797616,323
Idaho,Ada,7722.474403,336
Idaho,Adams,107.6617271,338
Idaho,Bannock,3025.293134,343
Idaho,Bear Lake,323.9115053,349
Idaho,Benewah,521.2527346,354
Idaho,Bingham,1080.760731,362
Idaho,Blaine,507.1495921,371
Idaho,Boise,1043.362607,380
Idaho,Bonner,1322.774436,387
Idaho,Bonneville,1978.520544,395
Idaho,Boundary,339.1657236,405
Idaho,Butte,74.4831346,414
Idaho,Camas,177.9999988,429
Idaho,Canyon,4008.118812,441
Idaho,Caribou,329.3571017,449
Idaho,Cassia,678.9388142,456
Idaho,Clark,129.0000003,464
Idaho,Clearwater,415.7947823,474
Idaho,Custer,178.7487658,484
Idaho,Elmore,1016.357689,490
Idaho,Franklin,137.8540502,498
Idaho,Fremont,359.3899142,502
Idaho,Gem,1233.541961,510
Idaho,Gooding,431.9172218,519
Idaho,Idaho,1167.822891,528
Idaho,Jefferson,261.9802556,540
Idaho,Jerome,574.6472622,547
Idaho,Kootenai,5102.528865,552
Idaho,Latah,996.5340861,559
Idaho,Lemhi,725.3838491,566
Idaho,Lewis,362.886513,574
Idaho,Lincoln,558.7338576,578
Idaho,Madison,220.3520162,581
Idaho,Minidoka,288.0811747,585
Idaho,Nez Perce,1394.929471,589
Idaho,Oneida,77.54455537,593
Idaho,Owyhee,349.333286,601
Idaho,Payette,772.8110559,606
Idaho,Power,140.1691127,613
Idaho,Shoshone,145.3903193,621
Idaho,Teton,61.10462845,627
Idaho,Twin Falls,705.9691896,634
Idaho,Valley,282.4517547,643
Idaho,Washington,538.6037218,649
Illinois,Adams,1851.390906,650
Illinois,Alexander,626.492909,651
Illinois,Bond,334.7019571,652
Illinois,Boone,869.6144306,653
Illinois,Brown,36.28175688,654
Illinois,Bureau,2436.712033,2
Illinois,Calhoun,171.5211189,4
Illinois,Carroll,402.3794403,6
Illinois,Cass,239.1234324,10
Illinois,Champaign,3145.702746,12
Illinois,Christian,467.443596,14
Illinois,Clark,276.5893678,19
Illinois,Clay,324.6366447,22
Illinois,Clinton,340.5485445,27
Illinois,Coles,1402.371639,30
Illinois,Cook,56171.16391,36
Illinois,Crawford,246.4440601,40
Illinois,Cumberland,7.813761039,44
Illinois,DeKalb,1871.974462,49
Illinois,De Witt,96.16732005,53
Illinois,Douglas,384.3222359,55
Illinois,DuPage,28933.77855,64
Illinois,Edgar,1396.811948,66
Illinois,Edwards,200.7737812,71
Illinois,Effingham,961.7539063,76
Illinois,Fayette,1196.256038,79
Illinois,Ford,461.524535,81
Illinois,Franklin,854.6425296,85
Illinois,Fulton,833.9105027,89
Illinois,Gallatin,981.0121171,92
Illinois,Greene,42.92340069,96
Illinois,Grundy,977.4017533,99
Illinois,Hamilton,286.7754456,106
Illinois,Hancock,2008.732461,111
Illinois,Hardin,231.9612293,113
Illinois,Henderson,13.72020907,117
Illinois,Henry,1457.507838,121
Illinois,Iroquois,746.061016,125
Illinois,Jackson,2032.27183,129
Illinois,Jasper,273.1899255,133
Illinois,Jefferson,1367.085335,137
Illinois,Jersey,684.7502243,142
Illinois,Jo Daviess,903.9441541,145
Illinois,Johnson,179.917747,152
Illinois,Kane,10657.75116,156
Illinois,Kankakee,2144.477093,161
Illinois,Kendall,2400.384971,165
Illinois,Knox,1191.157604,166
Illinois,Lake,28453.50263,170
Illinois,LaSalle,4144.113094,175
Illinois,Lawrence,368.8682879,177
Illinois,Lee,544.749373,180
Illinois,Livingston,601.7089591,182
Illinois,Logan,1292.338792,186
Illinois,McDonough,977.293853,189
Illinois,McHenry,10391.16777,192
Illinois,McLean,3586.978349,193
Illinois,Macon,5589.085834,194
Illinois,Macoupin,682.2128408,196
Illinois,Madison,12123.86391,199
Illinois,Marion,1721.234064,201
Illinois,Marshall,319.8560327,202
Illinois,Mason,182.2296991,206
Illinois,Massac,464.9081804,208
Illinois,Menard,86.25252272,212
Illinois,Mercer,838.2102394,216
Illinois,Monroe,813.7402162,219
Illinois,Montgomery,1013.912329,223
Illinois,Morgan,1712.419385,225
Illinois,Moultrie,91.79392271,227
Illinois,Ogle,587.6620007,229
Illinois,Peoria,8382.389363,233
Illinois,Perry,722.4048237,235
Illinois,Piatt,77.20804668,238
Illinois,Pike,735.3178101,241
Illinois,Pope,311.4850624,245
Illinois,Pulaski,714.0562236,248
Illinois,Putnam,0.002969865,253
Illinois,Randolph,970.5387586,255
Illinois,Richland,180.2609907,259
Illinois,Rock Island,4418.740177,265
Illinois,St. Clair,13593.48734,269
Illinois,Saline,1563.592327,271
Illinois,Sangamon,8524.481148,274
Illinois,Schuyler,201.990412,278
Illinois,Scott,38.64049164,280
Illinois,Shelby,609.7752507,283
Illinois,Stark,310.1715404,285
Illinois,Stephenson,1257.485775,290
Illinois,Tazewell,8808.873558,291
Illinois,Union,259.195828,293
Illinois,Vermilion,2606.722703,296
Illinois,Wabash,193.6321862,299
Illinois,Warren,19.21836785,301
Illinois,Washington,285.6427644,305
Illinois,Wayne,624.3927343,310
Illinois,White,771.9074522,312
Illinois,Whiteside,2002.385948,314
Illinois,Will,20950.03191,320
Illinois,Williamson,1894.105466,324
Illinois,Winnebago,9336.973408,325
Illinois,Woodford,476.0263599,328
Indiana,Adams,668.0606549,330
Indiana,Allen,14165.84955,335
Indiana,Bartholomew,2382.490541,342
Indiana,Benton,21.00670837,179
Indiana,Blackford,51.90824874,183
Indiana,Boone,552.5240351,185
Indiana,Brown,61.61616293,188
Indiana,Carroll,179.880532,195
Indiana,Cass,283.042709,211
Indiana,Clark,3241.614296,215
Indiana,Clay,148.5379499,221
Indiana,Clinton,240.2960355,226
Indiana,Crawford,240.2843342,232
Indiana,Daviess,239.1299199,239
Indiana,Dearborn,1782.947404,242
Indiana,Decatur,582.2815216,246
Indiana,DeKalb,1688.062228,249
Indiana,Delaware,4305.06485,252
Indiana,Dubois,309.759386,254
Indiana,Elkhart,4215.764123,260
Indiana,Fayette,983.1323396,263
Indiana,Floyd,2313.353595,267
Indiana,Fountain,101.7289548,270
Indiana,Franklin,229.9585175,272
Indiana,Fulton,639.4542746,276
Indiana,Gibson,518.1824537,286
Indiana,Grant,2079.965948,297
Indiana,Greene,320.6135504,309
Indiana,Hamilton,8461.199662,321
Indiana,Hancock,2733.870092,329
Indiana,Harrison,332.2024331,334
Indiana,Hendricks,5598.228495,341
Indiana,Henry,536.0469525,344
Indiana,Howard,4078.916096,348
Indiana,Huntington,1263.68792,352
Indiana,Jackson,888.6079902,355
Indiana,Jasper,304.819416,356
Indiana,Jay,652.1216559,358
Indiana,Jefferson,850.2570112,363
Indiana,Jennings,618.0925538,367
Indiana,Johnson,5498.869634,370
Indiana,Knox,926.9551113,376
Indiana,Kosciusko,2262.796636,384
Indiana,LaGrange,105.2363905,386
Indiana,Lake,16686.03023,389
Indiana,LaPorte,2987.099584,392
Indiana,Lawrence,808.7554434,396
Indiana,Madison,5318.208631,401
Indiana,Marion,24303.04883,409
Indiana,Marshall,1123.035353,412
Indiana,Martin,32.57002276,418
Indiana,Miami,893.6523424,420
Indiana,Monroe,2496.798199,422
Indiana,Montgomery,812.0843534,425
Indiana,Morgan,1421.064248,430
Indiana,Newton,36.50842955,433
Indiana,Noble,289.6665794,436
Indiana,Ohio,0,440
Indiana,Orange,179.9974749,444
Indiana,Owen,17.25345785,448
Indiana,Parke,287.3175753,452
Indiana,Perry,546.4078977,459
Indiana,Pike,123.8720473,465
Indiana,Porter,7288.787276,468
Indiana,Posey,1052.380761,471
Indiana,Pulaski,57.66437873,477
Indiana,Putnam,163.2734519,480
Indiana,Randolph,867.1307734,485
Indiana,Ripley,99.90885195,488
Indiana,Rush,107.0498006,493
Indiana,St. Joseph,12755.67054,496
Indiana,Scott,199.9290706,504
Indiana,Shelby,651.03346,506
Indiana,Spencer,0,509
Indiana,Starke,161.8045898,512
Indiana,Steuben,1013.818154,515
Indiana,Sullivan,172.8889809,518
Indiana,Switzerland,70.06007476,526
Indiana,Tippecanoe,2863.805361,530
Indiana,Tipton,1021.220087,534
Indiana,Union,0,538
Indiana,Vanderburgh,5119.033235,543
Indiana,Vermillion,477.4902812,548
Indiana,Vigo,4543.930071,553
