State,County,SNAPS17,FID,FID
Georgia,Clay,4.333333333,670,670
Georgia,Clayton,256.1666667,673,673
Georgia,Clinch,10.5,676,676
Georgia,Cobb,409.75,680,680
Georgia,Coffee,59.41666667,684,684
Georgia,Colquitt,62.5,689,689
Georgia,Columbia,82.83333333,692,692
Georgia,Cook,23.58333333,697,697
Georgia,Coweta,96.08333333,700,700
Georgia,Crawford,8.416666667,704,704
Georgia,Crisp,41.91666667,707,707
Georgia,Dade,27.5,708,708
Georgia,Dawson,28,713,713
Georgia,Decatur,45.08333333,714,714
Georgia,DeKalb,545.1666667,718,718
Georgia,Dodge,23,720,720
Georgia,Dooly,18.91666667,724,724
Georgia,Dougherty,128.9166667,728,728
Georgia,Douglas,113.1666667,731,731
Georgia,Early,16,735,735
Georgia,Echols,3.916666667,737,737
Georgia,Effingham,34.91666667,742,742
Georgia,Elbert,21.33333333,746,746
Georgia,Emanuel,32.83333333,750,750
Georgia,Evans,20.91666667,754,754
Georgia,Fannin,19.25,755,755
Georgia,Fayette,65.41666667,760,760
Georgia,Floyd,106.25,764,764
Georgia,Forsyth,94.91666667,768,768
Georgia,Franklin,31.5,772,772
Georgia,Fulton,638.9166667,779,779
Georgia,Gilmer,23.33333333,781,781
Georgia,Glascock,4,783,783
Georgia,Glynn,103.9166667,793,793
Georgia,Gordon,68,796,796
Georgia,Grady,26.5,797,797
Georgia,Greene,25.75,800,800
Georgia,Gwinnett,514.8333333,804,804
Georgia,Habersham,54.5,806,806
Georgia,Hall,173.5833333,808,808
Georgia,Hancock,13.5,810,810
Georgia,Haralson,34.91666667,813,813
Georgia,Harris,23.33333333,814,814
Georgia,Hart,24.91666667,816,816
Georgia,Heard,7.75,817,817
Georgia,Henry,154.75,820,820
Georgia,Houston,138.5833333,823,823
Georgia,Irwin,8.583333333,825,825
Georgia,Jackson,57,828,828
Georgia,Jasper,10,830,830
Georgia,Jeff Davis,19,832,832
Georgia,Jefferson,26.75,834,834
Georgia,Jenkins,12.66666667,835,835
Georgia,Johnson,11.08333333,837,837
Georgia,Jones,16.66666667,839,839
Georgia,Lamar,16,841,841
Georgia,Lanier,10.08333333,845,845
Georgia,Laurens,70.83333333,847,847
Georgia,Lee,25.25,849,849
Georgia,Liberty,63.41666667,855,855
Georgia,Lincoln,7.666666667,857,857
Georgia,Long,8.25,860,860
Georgia,Lowndes,126.6666667,863,863
Georgia,Lumpkin,20.58333333,865,865
Georgia,McDuffie,31.41666667,868,868
Georgia,McIntosh,16.83333333,871,871
Georgia,Macon,19.83333333,874,874
Georgia,Madison,32,875,875
Georgia,Marion,8,877,877
Georgia,Meriwether,26,879,879
Georgia,Miller,10,881,881
Georgia,Mitchell,31.41666667,883,883
Georgia,Monroe,24.5,885,885
Georgia,Montgomery,14.41666667,887,887
Georgia,Morgan,22.66666667,890,890
Georgia,Murray,47.5,892,892
Georgia,Muscogee,192.3333333,896,896
Georgia,Newton,81.66666667,899,899
Georgia,Oconee,21.58333333,901,901
Georgia,Oglethorpe,8.583333333,905,905
Georgia,Paulding,72.16666667,908,908
Georgia,Peach,36,910,910
Georgia,Pickens,24.33333333,912,912
Georgia,Pierce,23.41666667,915,915
Georgia,Pike,11.75,7,7
Georgia,Polk,59.75,8,8
Georgia,Pulaski,15.75,11,11
Georgia,Putnam,28.41666667,13,13
Georgia,Quitman,2,16,16
Georgia,Rabun,15.25,18,18
Georgia,Randolph,13.91666667,23,23
Georgia,Richmond,206.6666667,24,24
Georgia,Rockdale,75.16666667,28,28
Georgia,Schley,2.666666667,31,31
Georgia,Screven,22.83333333,34,34
Georgia,Seminole,12.58333333,38,38
Georgia,Spalding,65.75,41,41
Georgia,Stephens,31.25,45,45
Georgia,Stewart,6.333333333,48,48
Georgia,Sumter,43.83333333,52,52
Georgia,Talbot,4.916666667,57,57
Georgia,Taliaferro,3.25,60,60
Georgia,Tattnall,27.25,63,63
Georgia,Taylor,11.41666667,69,69
Georgia,Telfair,22.33333333,75,75
Georgia,Terrell,10.33333333,78,78
Georgia,Thomas,70,83,83
Georgia,Tift,74.58333333,87,87
Georgia,Toombs,40.5,91,91
Georgia,Towns,17,95,95
Georgia,Treutlen,11.41666667,102,102
Georgia,Troup,83.5,105,105
Georgia,Turner,17.41666667,108,108
Georgia,Twiggs,10.41666667,116,116
Georgia,Union,22.66666667,120,120
Georgia,Upson,34.08333333,123,123
Georgia,Walker,65.41666667,126,126
Georgia,Walton,77.58333333,127,127
Georgia,Ware,56.33333333,132,132
Georgia,Warren,6,135,135
Georgia,Washington,24.16666667,143,143
Georgia,Wayne,35.25,147,147
Georgia,Webster,1.75,149,149
Georgia,Wheeler,5.166666667,154,154
Georgia,White,22,157,157
Georgia,Whitfield,124.0833333,159,159
Georgia,Wilcox,8.75,163,163
Georgia,Wilkes,16.08333333,167,167
Georgia,Wilkinson,14.83333333,169,169
Georgia,Worth,20.41666667,173,173
Hawaii,Hawaii,162.4166667,198,198
Hawaii,Honolulu,558.1666667,234,234
Hawaii,Kalawao,,247,247
Hawaii,Kauai,42,261,261
Hawaii,Maui,114.25,323,323
Idaho,Ada,230,336,336
Idaho,Adams,4.5,338,338
Idaho,Bannock,56.83333333,343,343
Idaho,Bear Lake,4,349,349
Idaho,Benewah,4.333333333,354,354
Idaho,Bingham,24.83333333,362,362
Idaho,Blaine,9.333333333,371,371
Idaho,Boise,7.75,380,380
Idaho,Bonner,26,387,387
Idaho,Bonneville,69.83333333,395,395
Idaho,Boundary,8,405,405
Idaho,Butte,3,414,414
Idaho,Camas,1,429,429
Idaho,Canyon,108.9166667,441,441
Idaho,Caribou,6,449,449
Idaho,Cassia,16,456,456
Idaho,Clark,,464,464
Idaho,Clearwater,7,474,474
Idaho,Custer,6,484,484
Idaho,Elmore,16.66666667,490,490
Idaho,Franklin,2.5,498,498
Idaho,Fremont,7.75,502,502
Idaho,Gem,13.75,510,510
Idaho,Gooding,10,519,519
Idaho,Idaho,15.41666667,528,528
Idaho,Jefferson,7.75,540,540
Idaho,Jerome,18,547,547
Idaho,Kootenai,94,552,552
Idaho,Latah,22.66666667,559,559
Idaho,Lemhi,7.333333333,566,566
Idaho,Lewis,5,574,574
Idaho,Lincoln,2.75,578,578
Idaho,Madison,8.333333333,581,581
Idaho,Minidoka,6,585,585
Idaho,Nez Perce,33.83333333,589,589
Idaho,Oneida,4.666666667,593,593
Idaho,Owyhee,10.33333333,601,601
Idaho,Payette,19.08333333,606,606
Idaho,Power,5,613,613
Idaho,Shoshone,10.83333333,621,621
Idaho,Teton,4,627,627
Idaho,Twin Falls,58,634,634
Idaho,Valley,9.333333333,643,643
Idaho,Washington,8.25,649,649
Illinois,Adams,51.33333333,650,650
Illinois,Alexander,7,651,651
Illinois,Bond,14,652,652
Illinois,Boone,34.41666667,653,653
Illinois,Brown,4,654,654
Illinois,Bureau,22.16666667,2,2
Illinois,Calhoun,2.5,4,4
Illinois,Carroll,12.25,6,6
Illinois,Cass,15.08333333,10,10
Illinois,Champaign,147.75,12,12
Illinois,Christian,34.41666667,14,14
Illinois,Clark,11.91666667,19,19
Illinois,Clay,14,22,22
Illinois,Clinton,38.08333333,27,27
Illinois,Coles,38.33333333,30,30
Illinois,Cook,3200.833333,36,36
Illinois,Crawford,15.25,40,40
Illinois,Cumberland,9.583333333,44,44
Illinois,DeKalb,62.75,49,49
Illinois,De Witt,15.41666667,53,53
Illinois,Douglas,21.41666667,55,55
Illinois,DuPage,428.5833333,64,64
Illinois,Edgar,12,66,66
Illinois,Edwards,9.833333333,71,71
Illinois,Effingham,30.75,76,76
Illinois,Fayette,16.58333333,79,79
Illinois,Ford,11.33333333,81,81
Illinois,Franklin,43.25,85,85
Illinois,Fulton,29,89,89
Illinois,Gallatin,2,92,92
Illinois,Greene,13,96,96
Illinois,Grundy,29.83333333,99,99
Illinois,Hamilton,8,106,106
Illinois,Hancock,19,111,111
Illinois,Hardin,3.833333333,113,113
Illinois,Henderson,5,117,117
Illinois,Henry,40.66666667,121,121
Illinois,Iroquois,25.41666667,125,125
Illinois,Jackson,49.83333333,129,129
Illinois,Jasper,7,133,133
Illinois,Jefferson,34.08333333,137,137
Illinois,Jersey,13,142,142
Illinois,Jo Daviess,13,145,145
Illinois,Johnson,10.33333333,152,152
Illinois,Kane,254,156,156
Illinois,Kankakee,102.0833333,161,161
Illinois,Kendall,47,165,165
Illinois,Knox,42.58333333,166,166
Illinois,Lake,341.9166667,170,170
Illinois,LaSalle,96.08333333,175,175
Illinois,Lawrence,11,177,177
Illinois,Lee,29.5,180,180
Illinois,Livingston,38.25,182,182
Illinois,Logan,21.58333333,186,186
Illinois,McDonough,28,189,189
Illinois,McHenry,120.8333333,192,192
Illinois,McLean,119.9166667,193,193
Illinois,Macon,99.16666667,194,194
Illinois,Macoupin,38.75,196,196
Illinois,Madison,216.1666667,199,199
Illinois,Marion,39.58333333,201,201
Illinois,Marshall,16,202,202
Illinois,Mason,12.58333333,206,206
Illinois,Massac,13,208,208
Illinois,Menard,9,212,212
Illinois,Mercer,15.25,216,216
Illinois,Monroe,14.5,219,219
Illinois,Montgomery,32.16666667,223,223
Illinois,Morgan,32.41666667,225,225
Illinois,Moultrie,9.666666667,227,227
Illinois,Ogle,41.91666667,229,229
Illinois,Peoria,151.5833333,233,233
Illinois,Perry,15.25,235,235
Illinois,Piatt,11.5,238,238
Illinois,Pike,21,241,241
Illinois,Pope,4,245,245
Illinois,Pulaski,10,248,248
Illinois,Putnam,5.083333333,253,253
Illinois,Randolph,31.83333333,255,255
Illinois,Richland,12,259,259
Illinois,Rock Island,126.3333333,265,265
Illinois,St. Clair,215.6666667,269,269
Illinois,Saline,31,271,271
Illinois,Sangamon,174.5,274,274
Illinois,Schuyler,6,278,278
Illinois,Scott,3,280,280
Illinois,Shelby,16.33333333,283,283
Illinois,Stark,6,285,285
Illinois,Stephenson,45.75,290,290
Illinois,Tazewell,103.25,291,291
Illinois,Union,16.75,293,293
Illinois,Vermilion,74,296,296
Illinois,Wabash,10.5,299,299
Illinois,Warren,18.25,301,301
Illinois,Washington,13.41666667,305,305
Illinois,Wayne,14,310,310
Illinois,White,16.25,312,312
Illinois,Whiteside,44.75,314,314
Illinois,Will,340.9166667,320,320
Illinois,Williamson,58.75,324,324
Illinois,Winnebago,252.4166667,325,325
Illinois,Woodford,29.25,328,328
Indiana,Adams,17.33333333,330,330
Indiana,Allen,266.75,335,335
Indiana,Bartholomew,57.91666667,342,342
Indiana,Benton,6.916666667,179,179
Indiana,Blackford,9.583333333,183,183
Indiana,Boone,31,185,185
Indiana,Brown,6.083333333,188,188
Indiana,Carroll,11.16666667,195,195
Indiana,Cass,32.33333333,211,211
Indiana,Clark,95.16666667,215,215
Indiana,Clay,24.83333333,221,221
Indiana,Clinton,28.16666667,226,226
Indiana,Crawford,11.16666667,232,232
Indiana,Daviess,27,239,239
Indiana,Dearborn,29,242,242
Indiana,Decatur,24.58333333,246,246
Indiana,DeKalb,31.33333333,249,249
Indiana,Delaware,98.83333333,252,252
Indiana,Dubois,34.16666667,254,254
Indiana,Elkhart,146.4166667,260,260
Indiana,Fayette,18.08333333,263,263
Indiana,Floyd,52.66666667,267,267
Indiana,Fountain,16.16666667,270,270
Indiana,Franklin,17.66666667,272,272
Indiana,Fulton,20.75,276,276
Indiana,Gibson,35.33333333,286,286
Indiana,Grant,68.66666667,297,297
Indiana,Greene,24.16666667,309,309
Indiana,Hamilton,128,321,321
Indiana,Hancock,41.25,329,329
Indiana,Harrison,29.75,334,334
Indiana,Hendricks,74.41666667,341,341
Indiana,Henry,43.75,344,344
Indiana,Howard,83.41666667,348,348
Indiana,Huntington,26.66666667,352,352
Indiana,Jackson,37.25,355,355
Indiana,Jasper,42.41666667,356,356
Indiana,Jay,12.91666667,358,358
Indiana,Jefferson,30,363,363
Indiana,Jennings,19.66666667,367,367
Indiana,Johnson,87.66666667,370,370
Indiana,Knox,27.16666667,376,376
Indiana,Kosciusko,51.66666667,384,384
Indiana,LaGrange,20.41666667,386,386
Indiana,Lake,373.5833333,389,389
Indiana,LaPorte,89.16666667,392,392
Indiana,Lawrence,37.08333333,396,396
Indiana,Madison,102.3333333,401,401
Indiana,Marion,743.0833333,409,409
Indiana,Marshall,37.08333333,412,412
