State,County,LACCESS_HISP15,FID
Alabama,Sumter,6.539335805,303
Alabama,Talladega,274.8883727,306
Alabama,Tallapoosa,96.94110133,308
Alabama,Tuscaloosa,858.9298914,313
Alabama,Walker,435.3993203,317
Alabama,Washington,6.279486483,319
Alabama,Wilcox,40.72640401,326
Alabama,Winston,41.14939156,332
Alaska,Aleutians East,280.0000028,346
Alaska,Aleutians West,68.21076101,381
Alaska,Anchorage,5557.705074,400
Alaska,Bethel,75.03831177,411
Alaska,Bristol Bay,23.99999997,423
Alaska,Denali,42.00000017,426
Alaska,Dillingham,24.99999976,445
Alaska,Fairbanks North Star,2124.812243,454
Alaska,Haines,13.42534292,462
Alaska,Hoonah-Angoon,76.99999871,476
Alaska,Juneau,506.7066799,482
Alaska,Kenai Peninsula,278.0977321,494
Alaska,Ketchikan Gateway,42.22011652,514
Alaska,Kodiak Island,102.0317085,533
Alaska,Lake and Peninsula,42.99999991,544
Alaska,Matanuska-Susitna,846.2320814,556
Alaska,Nome,22.99999972,571
Alaska,North Slope,121.4047909,614
Alaska,Northwest Arctic,14.99999995,638
Alaska,Petersburg,8.661489376,645
Alaska,Prince of Wales-Hyder,31.00000019,669
Alaska,Sitka,68.15095337,679
Alaska,Skagway,0,683
Alaska,Southeast Fairbanks,56.41648516,690
Alaska,Valdez-Cordova,164.4426031,710
Alaska,Wade Hampton,3.000000041,725
Alaska,Wrangell,5.588994345,733
Alaska,Yakutat,17.00000015,744
Alaska,Yukon-Koyukuk,65.99999983,753
Arizona,Apache,1987.591347,761
Arizona,Cochise,12498.49133,763
Arizona,Coconino,3413.623414,771
Arizona,Gila,1894.735925,787
Arizona,Graham,3199.378555,0
Arizona,Greenlee,2609.859412,1
Arizona,La Paz,1053.404644,3
Arizona,Maricopa,129063.8279,9
Arizona,Mohave,11759.11872,15
Arizona,Navajo,2867.420755,17
Arizona,Pima,63978.388,21
Arizona,Pinal,22055.79294,26
Arizona,Santa Cruz,9295.45682,32
Arizona,Yavapai,9573.590276,35
Arizona,Yuma,20259.07407,42
Arkansas,Arkansas,217.7240286,46
Arkansas,Ashley,184.7398278,50
Arkansas,Baxter,81.81091366,54
Arkansas,Benton,7064.5649,59
Arkansas,Boone,139.7300564,62
Arkansas,Bradley,86.70293474,68
Arkansas,Calhoun,91.23174937,72
Arkansas,Carroll,293.0902027,74
Arkansas,Chicot,334.6531569,77
Arkansas,Clark,558.6374242,86
Arkansas,Clay,16.52266218,93
Arkansas,Cleburne,31.90340588,97
Arkansas,Cleveland,47.50313478,103
Arkansas,Columbia,59.16095101,107
Arkansas,Conway,77.79985538,109
Arkansas,Craighead,860.1093598,114
Arkansas,Crawford,1195.865365,115
Arkansas,Crittenden,129.6909274,119
Arkansas,Cross,48.04778578,124
Arkansas,Dallas,65.72190402,128
Arkansas,Desha,137.7512929,130
Arkansas,Drew,124.3518032,136
Arkansas,Faulkner,860.5927002,141
Arkansas,Franklin,20.35707689,144
Arkansas,Fulton,18.47814756,146
Arkansas,Garland,1308.457866,151
Arkansas,Grant,141.2440804,155
Arkansas,Greene,229.9413613,162
Arkansas,Hempstead,645.7764582,172
Arkansas,Hot Spring,144.3020829,184
Arkansas,Howard,505.9158091,191
Arkansas,Independence,405.6502821,200
Arkansas,Izard,1.662617145,203
Arkansas,Jackson,59.46767319,209
Arkansas,Jefferson,216.8575408,213
Arkansas,Johnson,183.0283318,218
Arkansas,Lafayette,40.22812566,222
Arkansas,Lawrence,59.07389688,230
Arkansas,Lee,67.63351441,237
Arkansas,Lincoln,181.6374714,244
Arkansas,Little River,85.20661117,251
Arkansas,Logan,63.32635079,258
Arkansas,Lonoke,403.7319609,268
Arkansas,Madison,56.43303815,277
Arkansas,Marion,61.17372083,282
Arkansas,Miller,291.4717328,287
Arkansas,Mississippi,224.5645606,294
Arkansas,Monroe,1.788416131,300
Arkansas,Montgomery,37.36667811,304
Arkansas,Nevada,29.59001416,307
Arkansas,Newton,57.90276527,311
Arkansas,Ouachita,106.3482167,316
Arkansas,Perry,17.77956324,318
Arkansas,Phillips,149.0513161,322
Arkansas,Pike,56.47145796,327
Arkansas,Poinsett,249.0822876,333
Arkansas,Polk,842.9807499,337
Arkansas,Pope,931.6825476,340
Arkansas,Prairie,34.0281635,345
Arkansas,Pulaski,5601.470482,350
Arkansas,Randolph,117.5695373,353
Arkansas,St. Francis,316.3049148,357
Arkansas,Saline,1083.439644,360
Arkansas,Scott,51.91807848,364
Arkansas,Searcy,33.50432127,372
Arkansas,Sebastian,905.8003892,378
Arkansas,Sevier,988.2260964,390
Arkansas,Sharp,58.76325651,394
Arkansas,Stone,49.72638535,399
Arkansas,Union,393.2489146,403
Arkansas,Van Buren,61.3975257,407
Arkansas,Washington,4759.029396,417
Arkansas,White,412.1141005,428
Arkansas,Woodruff,6.060900811,435
Arkansas,Yell,298.6760932,438
California,Alameda,13583.55039,457
California,Alpine,24.47422798,461
California,Amador,1242.173269,472
California,Butte,5104.065166,486
California,Calaveras,527.0920376,489
California,Colusa,517.1296133,497
California,Contra Costa,34021.07343,503
California,Del Norte,1277.190779,511
California,El Dorado,6080.638551,522
California,Fresno,38599.15068,527
California,Glenn,608.7349677,537
California,Humboldt,1896.090758,551
California,Imperial,20961.99074,557
California,Inyo,1103.844337,562
California,Kern,46628.00495,84
California,Kings,10571.98593,94
California,Lake,2281.618128,100
California,Lassen,3965.402607,104
California,Los Angeles,217460.416,139
California,Madera,18310.73246,153
California,Marin,2829.811006,168
California,Mariposa,290.8107695,178
California,Mendocino,3155.190829,190
California,Merced,21647.35268,204
California,Modoc,280.272516,207
California,Mono,1138.636653,214
California,Monterey,16757.11842,228
California,Napa,2372.495294,236
California,Nevada,2673.899503,243
California,Orange,29707.27552,257
California,Placer,5385.164419,266
California,Plumas,194.3667996,275
California,Riverside,187655.4992,281
California,Sacramento,35607.23736,289
California,San Benito,3471.889216,295
California,San Bernardino,170954.1718,302
California,San Diego,74758.18212,315
California,San Francisco,848.8212844,331
California,San Joaquin,31736.91432,339
California,San Luis Obispo,7947.755378,351
California,San Mateo,7477.244032,368
California,Santa Barbara,18567.69839,391
California,Santa Clara,23730.41899,406
California,Santa Cruz,9144.036751,415
California,Shasta,3336.312622,431
California,Sierra,250.7726352,439
California,Siskiyou,1022.943008,446
California,Solano,13300.43273,453
California,Sonoma,15689.84626,463
California,Stanislaus,24673.28814,473
California,Sutter,7039.255082,483
California,Tehama,2317.972593,492
California,Trinity,133.9712981,500
California,Tulare,38359.97522,501
California,Tuolumne,1599.84547,513
California,Ventura,36451.87604,521
California,Yolo,4066.650157,525
California,Yuba,5159.639607,541
Colorado,Adams,25266.55014,545
Colorado,Alamosa,274.5951833,549
Colorado,Arapahoe,8408.63836,558
Colorado,Archuleta,901.0766031,560
Colorado,Baca,67.23152412,563
Colorado,Bent,445.0220919,564
Colorado,Boulder,6240.006378,570
Colorado,Broomfield,1944.77487,577
Colorado,Chaffee,78.31326203,582
Colorado,Cheyenne,81.65411865,587
Colorado,Clear Creek,90.93184167,591
Colorado,Conejos,181.2381376,596
Colorado,Costilla,2326.744994,599
Colorado,Crowley,55.19437443,605
Colorado,Custer,39.94464482,610
Colorado,Delta,598.1066014,617
Colorado,Denver,24694.53086,628
Colorado,Dolores,81.99999931,636
Colorado,Douglas,3913.224316,644
Colorado,Eagle,2672.378527,648
Colorado,Elbert,294.1631865,655
Colorado,El Paso,24928.42071,661
Colorado,Fremont,1870.925009,664
Colorado,Garfield,2840.961555,667
Colorado,Gilpin,0,672
Colorado,Grand,18.9475663,677
Colorado,Gunnison,84.38184665,682
Colorado,Hinsdale,4.728575976,688
Colorado,Huerfano,391.4941916,693
Colorado,Jackson,27.41375953,701
Colorado,Jefferson,12818.42797,706
Colorado,Kiowa,78.00000058,711
Colorado,Kit Carson,87.91089516,716
Colorado,Lake,809.1369298,721
Colorado,La Plata,545.1524034,727
Colorado,Larimer,5742.913543,734
Colorado,Las Animas,2353.436164,741
Colorado,Lincoln,82.99999977,747
Colorado,Logan,405.5222296,749
Colorado,Mesa,6093.31966,751
Colorado,Mineral,2.845076543,757
Colorado,Moffat,485.5863952,758
Colorado,Montezuma,419.5429352,766
Colorado,Montrose,2559.598151,769
Colorado,Morgan,1335.379153,775
Colorado,Otero,2715.828523,777
Colorado,Ouray,6.736967116,780
Colorado,Park,435.3905574,782
Colorado,Phillips,17.20136474,785
Colorado,Pitkin,113.1248302,789
Colorado,Prowers,1089.575789,792
Colorado,Pueblo,23374.68616,795
Colorado,Rio Blanco,40.33701392,799
Colorado,Rio Grande,213.8305834,802
Colorado,Routt,373.1412592,809
Colorado,Saguache,144.9609902,811
Colorado,San Juan,83.75059289,347
Colorado,San Miguel,27.16331142,359
Colorado,Sedgwick,52.40602598,366
Colorado,Summit,861.7028272,373
Colorado,Teller,165.8589891,375
Colorado,Washington,207.6518201,377
Colorado,Weld,10984.8455,382
Colorado,Yuma,286.3433616,385
Connecticut,Fairfield,16452.6783,410
Connecticut,Hartford,14661.54842,432
Connecticut,Litchfield,1456.812923,443
Connecticut,Middlesex,2189.553171,450
Connecticut,New Haven,18410.83375,466
Connecticut,New London,7320.448421,517
Connecticut,Tolland,2599.023113,524
Connecticut,Windham,1443.880846,529
Delaware,Kent,1410.915415,532
Delaware,New Castle,8469.660807,536
Delaware,Sussex,2096.607766,609
District of Columbia,District of Columbia,507.0958074,630
Florida,Alachua,3323.510908,639
Florida,Baker,171.8233757,641
Florida,Bay,2636.110846,658
Florida,Bradford,52.75225825,665
Florida,Brevard,17311.00865,686
Florida,Broward,46634.97159,695
Florida,Calhoun,162.1202416,699
Florida,Charlotte,3584.174846,743
Florida,Citrus,1949.430706,843
Florida,Clay,3027.702938,852
Florida,Collier,18803.94807,894
Florida,Columbia,615.9027454,903
Florida,DeSoto,1076.667883,906
Florida,Dixie,24.12767526,918
Florida,Duval,15831.95565,924
Florida,Escambia,5664.691706,931
Florida,Flagler,3260.246043,935
Florida,Franklin,12.56914035,937
Florida,Gadsden,563.3565032,938
Florida,Gilchrist,3.790531378,939
Florida,Glades,1167.147748,940
Florida,Gulf,98.71869443,941
Florida,Hamilton,164.6099472,942
Florida,Hardee,4488.683993,943
Florida,Hendry,3422.739156,944
Florida,Hernando,6276.237123,945
Florida,Highlands,5967.201269,946
Florida,Hillsborough,62316.1154,947
Florida,Holmes,69.35360046,948
Florida,Indian River,3817.129381,949
Florida,Jackson,79.00857042,950
Florida,Jefferson,59.40998068,951
Florida,Lafayette,13.22790409,952
Florida,Lake,7903.500562,953
Florida,Lee,28591.49011,954
Florida,Leon,4249.389501,955
Florida,Levy,307.9562694,956
Florida,Liberty,90.2973113,957
Florida,Madison,126.4604938,958
Florida,Manatee,7384.732349,959
Florida,Marion,8731.386907,960
Florida,Martin,3116.344258,961
Florida,Miami-Dade,76249.34136,962
Florida,Monroe,3359.992888,963
Florida,Nassau,595.236839,964
Florida,Okaloosa,4134.496195,965
Florida,Okeechobee,5434.81305,966
Florida,Orange,53395.54262,967
Florida,Osceola,28464.50445,968
Florida,Palm Beach,32267.31798,969
Florida,Pasco,10504.25483,970
Florida,Pinellas,8873.392932,971
Florida,Polk,31700.70073,972
Florida,Putnam,1481.258525,973
Florida,St. Johns,2243.616311,974
Florida,St. Lucie,14985.42466,975
Florida,Santa Rosa,2860.543526,976
Florida,Sarasota,5200.402148,977
Florida,Seminole,16796.04737,978
Florida,Sumter,348.6524372,979
Florida,Suwannee,768.2881233,980
Florida,Taylor,97.70169519,981
Florida,Union,199.7478831,982
Florida,Volusia,19563.63043,983
Florida,Wakulla,2.363955435,984
Florida,Walton,264.4874915,985
Florida,Washington,382.6283229,986
Georgia,Appling,298.5021034,987
Georgia,Atkinson,375.8449082,988
Georgia,Bacon,115.4844537,989
Georgia,Baker,90.82489632,990
Georgia,Baldwin,103.0026501,991
Georgia,Banks,246.176903,992
Georgia,Barrow,713.4740688,993
Georgia,Bartow,2904.328845,994
Georgia,Ben Hill,387.8160558,995
Georgia,Berrien,168.8706398,996
Georgia,Bibb,1234.258924,997
Georgia,Bleckley,25.30883261,998
Georgia,Brantley,18.27702116,999
Georgia,Brooks,88.2364128,565
Georgia,Bryan,477.098768,573
Georgia,Bulloch,171.4639049,579
Georgia,Burke,44.85714018,583
Georgia,Butts,22.66147984,588
Georgia,Calhoun,15.09272559,592
Georgia,Camden,1382.589708,603
Georgia,Candler,31.94170815,616
Georgia,Carroll,2415.941966,620
Georgia,Catoosa,493.2118557,626
Georgia,Charlton,30.66538832,635
Georgia,Chatham,3069.056912,646
Georgia,Chattahoochee,1365.249499,656
Georgia,Chattooga,84.0432875,659
Georgia,Cherokee,6655.067817,662
Georgia,Clarke,5849.169811,666
Georgia,Clay,12.00000032,670
Georgia,Clayton,10556.36143,673
Georgia,Clinch,14.16840302,676
Georgia,Cobb,28991.0299,680
Georgia,Coffee,862.2533572,684
Georgia,Colquitt,1462.773861,689
Georgia,Columbia,972.640103,692
Georgia,Cook,207.2425778,697
Georgia,Coweta,2372.608722,700
Georgia,Crawford,0.403078901,704
Georgia,Crisp,103.5723762,707
Georgia,Dade,14.10133306,708
Georgia,Dawson,2.235395075,713
Georgia,Decatur,196.4520897,714
Georgia,DeKalb,6055.556979,718
Georgia,Dodge,13.76818042,720
Georgia,Dooly,0,724
Georgia,Dougherty,661.4175054,728
Georgia,Douglas,4860.170766,731
Georgia,Early,33.26253667,735
Georgia,Echols,10.53662166,737
Georgia,Effingham,224.3623499,742
Georgia,Elbert,361.6336046,746
Georgia,Emanuel,198.3133344,750
Georgia,Evans,103.5667356,754
Georgia,Fannin,1.055681942,755
Georgia,Fayette,2821.470204,760
Georgia,Floyd,1741.627987,764
Georgia,Forsyth,3609.338964,768
Georgia,Franklin,7.920362517,772
Georgia,Fulton,11114.98314,779
Georgia,Gilmer,310.2725707,781
Georgia,Glascock,22.20945114,783
Georgia,Glynn,1671.825188,793
Georgia,Gordon,2122.747492,796
Georgia,Grady,292.5295948,797
Georgia,Greene,35.81312544,800
Georgia,Gwinnett,36784.97915,804
Georgia,Habersham,1612.803916,806
Georgia,Hall,11701.76862,808
Georgia,Hancock,72.65317047,810
Georgia,Haralson,28.90175416,813
Georgia,Harris,2.517964296,814
Georgia,Hart,80.03424352,816
Georgia,Heard,8.475155211,817
Georgia,Henry,3533.153126,820
Georgia,Houston,3104.100411,823
Georgia,Irwin,29.81328057,825
Georgia,Jackson,261.123488,828
Georgia,Jasper,185.4866381,830
Georgia,Jeff Davis,108.762419,832
Georgia,Jefferson,5.485072938,834
Georgia,Jenkins,9.847336024,835
Georgia,Johnson,36.68884315,837
Georgia,Jones,27.25838594,839
Georgia,Lamar,20.09710379,841
Georgia,Lanier,30.08083155,845
Georgia,Laurens,84.30406218,847
Georgia,Lee,73.98646897,849
Georgia,Liberty,3072.022443,855
Georgia,Lincoln,2.000000045,857
Georgia,Long,75.53844459,860
Georgia,Lowndes,1219.05701,863
Georgia,Lumpkin,84.30635648,865
Georgia,McDuffie,31.11354748,868
Georgia,McIntosh,22.23503303,871
Georgia,Macon,101.1743274,874
Georgia,Madison,45.90331106,875
Georgia,Marion,0,877
Georgia,Meriwether,25.46212166,879
Georgia,Miller,0.433858855,881
Georgia,Mitchell,149.0464899,883
Georgia,Monroe,42.1021048,885
Georgia,Montgomery,40.16170795,887
Georgia,Morgan,60.45837695,890
Georgia,Murray,1025.174199,892
Georgia,Muscogee,3547.042345,896
Georgia,Newton,1294.200286,899
Georgia,Oconee,455.7456855,901
Georgia,Oglethorpe,23.69628209,905
Georgia,Paulding,1827.336658,908
Georgia,Peach,254.4508985,910
Georgia,Pickens,73.73405891,912
Georgia,Pierce,121.3495108,915
Georgia,Pike,0,7
Georgia,Polk,476.3334834,8
Georgia,Pulaski,18.45028759,11
Georgia,Putnam,13.06072432,13
Georgia,Quitman,13.36852453,16
Georgia,Rabun,0.847127186,18
Georgia,Randolph,27.49747912,23
Georgia,Richmond,3984.307004,24
Georgia,Rockdale,4037.251843,28
Georgia,Schley,0,31
Georgia,Screven,48.53947238,34
Georgia,Seminole,8.082749992,38
Georgia,Spalding,231.2241444,41
Georgia,Stephens,70.33013967,45
Georgia,Stewart,10.51878893,48
Georgia,Sumter,217.8126472,52
Georgia,Talbot,25.00000028,57
Georgia,Taliaferro,29.72554313,60
Georgia,Tattnall,26.70121593,63
Georgia,Taylor,7.322658483,69
Georgia,Telfair,21.10949274,75
Georgia,Terrell,7.067571476,78
Georgia,Thomas,446.514525,83
Georgia,Tift,190.3238364,87
Georgia,Toombs,497.7049225,91
Georgia,Towns,0,95
Georgia,Treutlen,4.817183872,102
Georgia,Troup,328.792986,105
Georgia,Turner,10.1780443,108
Georgia,Twiggs,0,116
Georgia,Union,4.606185566,120
Georgia,Upson,167.7656302,123
Georgia,Walker,348.595663,126
Georgia,Walton,513.9772,127
Georgia,Ware,566.0968397,132
Georgia,Warren,0.489796549,135
Georgia,Washington,173.8131419,143
Georgia,Wayne,445.9271816,147
Georgia,Webster,0.232218966,149
Georgia,Wheeler,6.928055944,154
Georgia,White,,157
Georgia,Whitfield,8059.792204,159
Georgia,Wilcox,0.871081386,163
Georgia,Wilkes,83.19571086,167
Georgia,Wilkinson,57.97660586,169
Georgia,Worth,7.739550409,173
Hawaii,Hawaii,8384.299207,198
Hawaii,Honolulu,22552.20081,234
Hawaii,Kalawao,0,247
Hawaii,Kauai,2635.399124,261
Hawaii,Maui,4591.718072,323
Idaho,Ada,3542.952437,336
Idaho,Adams,6.47846324,338
Idaho,Bannock,1327.042447,343
Idaho,Bear Lake,35.59284894,349
Idaho,Benewah,36.15485142,354
Idaho,Bingham,1556.31041,362
Idaho,Blaine,1928.766659,371
Idaho,Boise,181.3667233,380
Idaho,Bonner,169.5555767,387
Idaho,Bonneville,3126.263837,395
Idaho,Boundary,44.30985945,405
Idaho,Butte,51.24063278,414
Idaho,Camas,75.00000049,429
Idaho,Canyon,7911.634266,441
Idaho,Caribou,161.4325772,449
Idaho,Cassia,1238.968176,456
Idaho,Clark,398.000002,464
Idaho,Clearwater,59.73367249,474
Idaho,Custer,61.27459065,484
Idaho,Elmore,1044.42967,490
Idaho,Franklin,31.66003301,498
Idaho,Fremont,302.147005,502
Idaho,Gem,298.3699918,510
Idaho,Gooding,53.37895739,519
Idaho,Idaho,135.5979055,528
Idaho,Jefferson,705.4301841,540
Idaho,Jerome,1457.576302,547
Idaho,Kootenai,1251.634008,552
Idaho,Latah,110.3491846,559
Idaho,Lemhi,81.3166749,566
Idaho,Lewis,34.50943457,574
Idaho,Lincoln,1445.795675,578
Idaho,Madison,432.0213803,581
Idaho,Minidoka,1401.435412,585
Idaho,Nez Perce,149.0698559,589
Idaho,Oneida,25.0861528,593
Idaho,Owyhee,442.7356339,601
Idaho,Payette,970.3415414,606
Idaho,Power,165.9854849,613
Idaho,Shoshone,31.16517595,621
Idaho,Teton,159.6999839,627
Idaho,Twin Falls,843.3852209,634
Idaho,Valley,43.55790638,643
Idaho,Washington,112.0870721,649
Illinois,Adams,76.17635321,650
Illinois,Alexander,44.60065404,651
Illinois,Bond,43.73503307,652
Illinois,Boone,1694.814104,653
Illinois,Brown,261.8081376,654
Illinois,Bureau,311.9008536,2
Illinois,Calhoun,7.000000151,4
Illinois,Carroll,66.87708939,6
Illinois,Cass,23.13171987,10
Illinois,Champaign,1798.916546,12
Illinois,Christian,118.7350386,14
Illinois,Clark,10.74953352,19
Illinois,Clay,12.65036003,22
Illinois,Clinton,368.3412016,27
Illinois,Coles,157.7159788,30
Illinois,Cook,41891.75496,36
Illinois,Crawford,152.0947756,40
Illinois,Cumberland,,44
Illinois,DeKalb,2959.09071,49
Illinois,De Witt,12.80286398,53
Illinois,Douglas,52.57016513,55
Illinois,DuPage,25632.47232,64
Illinois,Edgar,43.48770031,66
Illinois,Edwards,13.05939872,71
Illinois,Effingham,79.83818502,76
Illinois,Fayette,72.43809745,79
Illinois,Ford,45.8472845,81
Illinois,Franklin,49.97535532,85
Illinois,Fulton,51.4257798,89
Illinois,Gallatin,59.00000016,92
Illinois,Greene,6.777228806,96
Illinois,Grundy,677.155277,99
Illinois,Hamilton,11.34186914,106
Illinois,Hancock,39.62047597,111
Illinois,Hardin,2.020912017,113
Illinois,Henderson,0,117
Illinois,Henry,345.5715813,121
Illinois,Iroquois,579.8629309,125
Illinois,Jackson,505.4429643,129
Illinois,Jasper,11.7004008,133
Illinois,Jefferson,196.6248872,137
Illinois,Jersey,34.38392155,142
Illinois,Jo Daviess,132.9629369,145
Illinois,Johnson,168.4269674,152
Illinois,Kane,17244.15495,156
Illinois,Kankakee,1318.778569,161
Illinois,Kendall,2372.888555,165
Illinois,Knox,552.040498,166
Illinois,Lake,25693.88394,170
Illinois,LaSalle,1795.863939,175
Illinois,Lawrence,18.07717715,177
Illinois,Lee,182.0373501,180
Illinois,Livingston,71.3736695,182
Illinois,Logan,476.4649699,186
Illinois,McDonough,110.5347794,189
Illinois,McHenry,13706.15611,192
Illinois,McLean,2650.824,193
Illinois,Macon,442.4425273,194
Illinois,Macoupin,75.31893399,196
Illinois,Madison,3013.105374,199
Illinois,Marion,166.0892087,201
Illinois,Marshall,29.22431168,202
Illinois,Mason,40.34660621,206
Illinois,Massac,34.11888952,208
Illinois,Menard,4.509333256,212
Illinois,Mercer,47.77677468,216
Illinois,Monroe,133.3784769,219
Illinois,Montgomery,109.0077743,223
Illinois,Morgan,189.0208726,225
Illinois,Moultrie,0.680304267,227
Illinois,Ogle,1511.538679,229
Illinois,Peoria,1347.275795,233
Illinois,Perry,78.16867662,235
Illinois,Piatt,3.379820794,238
Illinois,Pike,23.64559286,241
Illinois,Pope,6.732981933,245
Illinois,Pulaski,21.37350502,248
Illinois,Putnam,13.96784944,253
Illinois,Randolph,158.4967992,255
Illinois,Richland,3.932097701,259
Illinois,Rock Island,3439.513562,265
Illinois,St. Clair,3516.678212,269
Illinois,Saline,149.433815,271
Illinois,Sangamon,678.1013464,274
Illinois,Schuyler,5.168148423,278
Illinois,Scott,10.00000011,280
Illinois,Shelby,48.46028415,283
Illinois,Stark,26.24323015,285
Illinois,Stephenson,60.18886011,290
Illinois,Tazewell,1194.37967,291
Illinois,Union,59.54888264,293
Illinois,Vermilion,481.2584736,296
Illinois,Wabash,16.80294757,299
Illinois,Warren,120.0531119,301
Illinois,Washington,23.42154423,305
Illinois,Wayne,24.43544558,310
Illinois,White,82.61636729,312
Illinois,Whiteside,1050.573498,314
Illinois,Will,27551.80323,320
Illinois,Williamson,181.5632199,324
Illinois,Winnebago,5997.358292,325
Illinois,Woodford,55.68432884,328
Indiana,Adams,154.1112064,330
Indiana,Allen,5430.816157,335
Indiana,Bartholomew,1715.603004,342
Indiana,Benton,12.19131073,179
Indiana,Blackford,2.730916593,183
Indiana,Boone,168.0746648,185
Indiana,Brown,12.61693731,188
Indiana,Carroll,73.57427628,195
Indiana,Cass,124.1237143,211
Indiana,Clark,1150.037203,215
Indiana,Clay,8.751419138,221
Indiana,Clinton,75.10209248,226
Indiana,Crawford,12.03122771,232
Indiana,Daviess,502.5740397,239
Indiana,Dearborn,166.4236146,242
Indiana,Decatur,32.8482569,246
Indiana,DeKalb,254.521275,249
Indiana,Delaware,471.4034972,252
Indiana,Dubois,36.17055351,254
Indiana,Elkhart,5327.206883,260
Indiana,Fayette,32.49542146,263
Indiana,Floyd,530.1152825,267
Indiana,Fountain,69.08425154,270
Indiana,Franklin,33.73766843,272
Indiana,Fulton,76.55630556,276
Indiana,Gibson,26.93031285,286
Indiana,Grant,369.265044,297
Indiana,Greene,35.87846637,309
Indiana,Hamilton,2606.410245,321
Indiana,Hancock,347.2549776,329
Indiana,Harrison,44.61384085,334
Indiana,Hendricks,917.5317282,341
Indiana,Henry,21.86539457,344
Indiana,Howard,543.0065344,348
Indiana,Huntington,157.9641197,352
Indiana,Jackson,381.0147611,355
Indiana,Jasper,275.0738389,356
Indiana,Jay,103.284229,358
Indiana,Jefferson,212.9400302,363
Indiana,Jennings,230.3886627,367
Indiana,Johnson,873.0640453,370
Indiana,Knox,141.7067327,376
Indiana,Kosciusko,1587.882248,384
Indiana,LaGrange,4.328724205,386
Indiana,Lake,16133.10632,389
Indiana,LaPorte,1667.856597,392
Indiana,Lawrence,52.58477034,396
Indiana,Madison,1124.012909,401
Indiana,Marion,18022.24072,409
Indiana,Marshall,505.4625813,412
Indiana,Martin,0.089648789,418
Indiana,Miami,207.5568606,420
Indiana,Monroe,531.1379451,422
Indiana,Montgomery,218.3737894,425
Indiana,Morgan,116.8322541,430
Indiana,Newton,94.62810927,433
Indiana,Noble,244.0246179,436
Indiana,Ohio,,440
Indiana,Orange,32.97263867,444
Indiana,Owen,0.019598509,448
Indiana,Parke,27.62553961,452
Indiana,Perry,66.33079794,459
Indiana,Pike,3.721366878,465
Indiana,Porter,4674.104115,468
Indiana,Posey,41.8503676,471
Indiana,Pulaski,8.739445937,477
Indiana,Putnam,22.04900227,480
Indiana,Randolph,164.043694,485
Indiana,Ripley,5.869609639,488
Indiana,Rush,2.947868407,493
Indiana,St. Joseph,4648.237654,496
Indiana,Scott,16.26673799,504
Indiana,Shelby,330.4789825,506
Indiana,Spencer,0,509
Indiana,Starke,30.61963117,512
Indiana,Steuben,363.1433999,515
Indiana,Sullivan,13.86637854,518
Indiana,Switzerland,8.99999988,526
Indiana,Tippecanoe,2208.496007,530
Indiana,Tipton,35.99329864,534
Indiana,Union,,538
Indiana,Vanderburgh,502.4506943,543
Indiana,Vermillion,13.49340598,548
Indiana,Vigo,1200.232304,553
Indiana,Wabash,108.2713491,555
Indiana,Warren,6.112437622,567
