County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Alabama,Colbert,94.5%,86.6%,7.9%,0.1%,1.0%,0.0%,0.7%,3.7%,65.1%,33.1%,13.6%,14.1%,19.9%,19.6%,5.6%,12.6%,3.7%,4.6%,6.3%,22.8,1.8%,20.9%,38.7%,38.6%,73
Alabama,Conecuh,96.5%,88.0%,8.5%,0.4%,0.5%,0.8%,1.4%,0.5%,53.4%,43.9%,14.8%,19.3%,10.3%,9.6%,4.2%,15.1%,5.6%,10.5%,10.7%,29.6,0.6%,24.6%,40.3%,34.5%,80
Alabama,Coosa,91.7%,79.4%,12.3%,0.0%,1.5%,0.0%,0.2%,6.6%,23.4%,76.5%,9.5%,10.6%,15.0%,18.6%,9.6%,11.6%,4.7%,6.7%,13.7%,28.0,1.0%,18.0%,34.1%,46.9%,82
Alabama,Covington,96.4%,88.5%,7.9%,0.0%,1.2%,0.1%,1.1%,1.2%,77.5%,14.7%,20.2%,17.2%,14.6%,15.6%,2.7%,11.8%,4.7%,4.2%,9.1%,24.7,2.7%,16.1%,46.5%,34.7%,88
Alabama,Crenshaw,90.1%,78.4%,11.7%,0.8%,2.7%,0.1%,0.4%,6.0%,53.3%,43.6%,18.5%,10.6%,11.5%,8.4%,4.0%,16.5%,5.6%,8.9%,16.0%,30.0,3.8%,13.9%,41.2%,41.1%,90
Alabama,Cullman,97.0%,87.1%,10.0%,0.1%,0.8%,0.0%,0.2%,1.9%,71.8%,26.5%,16.6%,15.6%,16.4%,13.3%,4.6%,8.4%,3.9%,8.1%,13.0%,26.0,0.6%,14.6%,34.3%,50.4%,98
Alabama,Dale,91.7%,83.3%,8.4%,0.0%,2.8%,0.0%,1.2%,4.3%,56.1%,41.8%,14.0%,20.1%,19.7%,14.3%,4.9%,12.0%,4.9%,5.7%,4.4%,22.2,1.9%,20.5%,40.3%,37.4%,101
Alabama,Dallas,95.8%,88.8%,7.1%,0.0%,1.1%,0.0%,1.3%,1.8%,78.3%,20.9%,16.6%,16.5%,21.6%,10.4%,3.9%,7.6%,4.9%,6.0%,12.5%,24.5,3.2%,24.7%,32.4%,39.7%,110
Alabama,DeKalb,95.4%,84.0%,11.4%,0.2%,1.3%,0.1%,0.3%,2.8%,67.7%,25.1%,15.1%,13.8%,16.1%,14.9%,6.6%,12.9%,5.6%,7.5%,7.6%,25.2,1.8%,12.4%,38.5%,47.4%,112
Alabama,Elmore,93.7%,86.3%,7.4%,0.1%,1.7%,0.0%,0.8%,3.7%,36.0%,62.6%,11.5%,6.9%,13.0%,15.7%,9.1%,18.5%,10.1%,10.4%,4.9%,26.4,0.9%,16.0%,37.6%,45.4%,118
Alabama,Escambia,98.2%,91.3%,6.9%,0.3%,0.5%,0.1%,0.3%,0.6%,77.4%,12.1%,18.1%,22.9%,20.7%,11.4%,2.2%,8.1%,4.5%,5.0%,7.0%,20.9,2.8%,19.9%,45.5%,31.8%,122
Alabama,Etowah,95.6%,88.0%,7.6%,0.1%,0.8%,0.0%,0.5%,3.1%,72.1%,26.7%,12.1%,17.9%,18.1%,15.3%,6.3%,10.8%,4.4%,6.7%,8.4%,25.0,1.9%,15.7%,38.8%,43.6%,131
Alabama,Fayette,94.4%,82.5%,11.9%,0.0%,1.7%,0.0%,0.6%,3.3%,50.7%,48.6%,14.5%,13.5%,12.2%,10.5%,5.1%,8.4%,5.5%,11.7%,18.7%,30.7,3.4%,16.8%,31.5%,48.2%,134
Alabama,Franklin,98.1%,83.1%,15.0%,0.1%,0.7%,0.0%,0.4%,0.7%,64.0%,31.3%,13.1%,11.7%,13.8%,11.8%,5.6%,16.6%,6.5%,11.1%,9.6%,28.7,2.5%,12.3%,35.4%,49.7%,138
Alabama,Geneva,95.6%,85.7%,9.9%,0.0%,0.8%,0.0%,1.5%,2.2%,42.1%,50.7%,16.0%,10.2%,13.4%,12.9%,8.3%,15.0%,7.2%,7.4%,9.6%,27.8,2.1%,15.5%,34.6%,47.8%,140
Alabama,Greene,95.3%,73.1%,22.2%,0.0%,0.7%,0.1%,0.0%,3.8%,47.0%,52.6%,20.4%,3.2%,12.6%,13.1%,2.0%,5.8%,10.3%,7.7%,24.9%,33.5,4.8%,21.5%,41.9%,31.8%,148
Alabama,Hale,97.1%,91.0%,6.1%,0.1%,0.3%,0.0%,0.5%,2.0%,37.6%,62.3%,12.0%,10.3%,8.3%,12.7%,4.2%,17.0%,4.2%,17.5%,14.0%,32.7,1.7%,20.9%,32.2%,45.1%,150
Alabama,Henry,94.3%,86.3%,7.9%,0.0%,0.2%,0.0%,1.4%,4.2%,37.4%,58.2%,11.5%,7.4%,19.0%,15.1%,8.9%,17.3%,7.5%,8.3%,5.0%,25.8,1.9%,13.8%,33.7%,50.6%,158
Alabama,Houston,95.0%,87.7%,7.4%,0.1%,0.8%,0.1%,0.8%,3.2%,83.5%,11.9%,13.9%,16.9%,21.4%,17.4%,5.3%,13.1%,3.7%,4.8%,3.6%,21.4,2.1%,19.8%,43.4%,34.6%,160
Alabama,Jackson,94.7%,86.1%,8.6%,0.0%,1.2%,0.1%,1.3%,2.7%,63.3%,21.8%,16.9%,14.8%,11.9%,10.6%,5.1%,14.1%,6.6%,10.7%,9.2%,26.8,1.3%,13.5%,38.4%,46.9%,164
Alabama,Jefferson,91.4%,82.2%,9.2%,0.8%,1.5%,0.2%,0.9%,5.2%,87.8%,11.3%,9.2%,12.8%,17.9%,17.5%,8.3%,17.0%,6.4%,6.6%,4.4%,24.3,2.5%,22.1%,41.3%,34.1%,171
Alabama,Lamar,96.6%,90.4%,6.2%,0.6%,0.0%,0.0%,0.0%,2.7%,45.3%,29.9%,16.7%,13.3%,8.7%,10.6%,8.8%,12.1%,8.8%,13.3%,7.9%,26.0,1.9%,13.2%,34.9%,50.0%,174
Alabama,Lauderdale,94.0%,85.9%,8.2%,0.0%,1.0%,0.2%,0.7%,4.1%,69.6%,27.9%,15.2%,16.1%,18.4%,12.3%,4.8%,11.1%,5.7%,6.4%,10.1%,24.7,2.2%,16.8%,38.3%,42.6%,176
Alabama,Lawrence,96.7%,88.9%,7.8%,0.1%,0.7%,0.0%,0.3%,2.2%,29.2%,69.0%,7.1%,11.0%,13.1%,10.9%,7.6%,21.9%,10.7%,11.4%,6.3%,28.8,1.4%,12.8%,31.6%,54.2%,181
Alabama,Lee,91.5%,83.0%,8.5%,0.6%,2.3%,0.3%,0.8%,4.5%,68.2%,13.0%,13.4%,17.7%,19.6%,14.9%,6.7%,10.9%,4.2%,7.7%,4.7%,23.1,1.8%,17.0%,42.9%,38.3%,187
Alabama,Limestone,95.4%,88.6%,6.8%,0.2%,0.4%,0.0%,0.4%,3.5%,45.7%,51.7%,11.0%,12.0%,12.7%,15.0%,6.1%,16.0%,10.7%,10.4%,6.2%,26.8,0.9%,13.0%,36.3%,49.9%,197
Alabama,Lowndes,95.4%,85.8%,9.6%,0.4%,1.4%,0.1%,1.8%,0.9%,31.8%,67.8%,14.5%,4.1%,9.7%,7.1%,7.4%,19.2%,14.1%,13.7%,10.1%,30.5,4.4%,26.5%,32.1%,37.0%,205
Alabama,Macon,90.6%,84.9%,5.7%,0.3%,5.3%,0.0%,0.7%,3.1%,43.6%,54.1%,13.8%,15.1%,9.9%,19.9%,5.0%,15.9%,5.9%,9.1%,5.4%,24.3,1.8%,28.5%,32.2%,37.5%,210
Alabama,Madison,91.4%,85.4%,5.9%,0.2%,0.8%,0.1%,1.0%,6.6%,93.6%,4.9%,10.3%,13.8%,19.9%,19.6%,9.4%,15.7%,4.7%,4.3%,2.2%,21.9,1.6%,20.7%,41.0%,36.7%,217
Alabama,Marengo,92.4%,85.7%,6.7%,0.0%,1.0%,0.0%,1.3%,5.2%,65.7%,32.5%,27.3%,11.7%,9.6%,11.3%,4.3%,11.2%,4.2%,9.1%,11.3%,26.4,2.1%,24.1%,39.8%,34.0%,220
Alabama,Marion,96.0%,86.7%,9.4%,0.0%,0.9%,0.0%,0.5%,2.6%,69.3%,24.5%,25.7%,16.6%,15.2%,8.8%,5.3%,7.5%,4.4%,6.6%,9.9%,24.2,2.5%,12.9%,39.0%,45.6%,224
Alabama,Marshall,95.2%,86.0%,9.2%,0.5%,0.7%,0.0%,0.4%,3.2%,72.4%,26.3%,20.2%,18.0%,13.8%,11.3%,3.5%,8.9%,5.8%,9.7%,8.9%,24.6,1.7%,15.0%,39.1%,44.2%,231
Alabama,Mobile,92.6%,85.7%,6.9%,0.5%,1.0%,0.1%,0.9%,4.9%,90.2%,4.0%,8.6%,11.4%,18.3%,18.0%,7.1%,18.8%,5.2%,7.1%,5.5%,25.6,2.0%,20.5%,41.4%,36.1%,240
Alabama,Monroe,94.9%,91.0%,3.9%,0.8%,1.0%,0.0%,0.9%,2.5%,76.9%,22.2%,25.5%,19.1%,12.4%,11.5%,3.2%,7.0%,3.4%,7.4%,10.4%,22.8,3.9%,18.8%,40.2%,37.1%,250
Alabama,Montgomery,92.2%,83.3%,8.9%,0.4%,1.5%,0.1%,0.6%,5.2%,89.7%,9.3%,11.2%,17.6%,23.1%,19.8%,7.5%,10.9%,3.3%,3.4%,3.2%,20.9,3.1%,24.9%,40.1%,31.9%,256
Alabama,Morgan,95.8%,88.7%,7.1%,0.2%,0.7%,0.0%,0.7%,2.6%,69.5%,29.4%,14.9%,15.6%,15.8%,13.9%,5.5%,14.2%,6.3%,9.3%,4.5%,23.4,1.4%,15.5%,37.8%,45.3%,262
Alabama,Perry,92.7%,79.7%,13.0%,0.0%,3.9%,0.0%,0.5%,2.9%,54.0%,45.6%,22.0%,11.7%,3.9%,20.5%,1.0%,23.4%,3.1%,4.4%,10.0%,27.7,3.2%,32.1%,31.9%,32.8%,264
Alabama,Pickens,91.4%,84.0%,7.4%,0.4%,1.7%,0.0%,0.0%,6.5%,43.9%,40.8%,11.4%,7.4%,9.3%,7.7%,4.5%,14.5%,11.5%,16.5%,17.1%,35.9,1.8%,17.5%,30.8%,50.0%,273
Alabama,Pike,93.9%,84.8%,9.1%,0.2%,1.6%,0.3%,1.2%,2.8%,81.3%,16.6%,21.2%,17.6%,16.2%,16.0%,3.0%,8.9%,2.4%,7.1%,7.7%,22.0,2.9%,27.1%,31.8%,38.1%,279
Alabama,Randolph,94.3%,87.1%,7.2%,1.4%,0.4%,0.0%,0.7%,3.2%,57.7%,17.8%,15.1%,15.6%,14.1%,7.0%,3.1%,10.5%,8.5%,13.6%,12.5%,29.9,0.8%,13.8%,34.6%,50.8%,284
Alabama,Russell,92.6%,85.1%,7.5%,0.3%,1.4%,0.0%,1.3%,4.4%,35.0%,9.2%,8.5%,13.4%,18.2%,16.3%,7.3%,16.4%,8.6%,6.6%,4.7%,26.0,3.9%,24.3%,35.9%,35.8%,288
Alabama,St. Clair,95.4%,87.5%,7.9%,0.1%,0.5%,0.0%,0.6%,3.4%,39.1%,59.4%,9.2%,7.7%,10.9%,11.2%,6.3%,15.9%,13.7%,17.9%,7.2%,30.4,0.9%,11.1%,40.5%,47.4%,292
Alabama,Shelby,90.5%,83.9%,6.7%,0.0%,0.7%,0.0%,0.5%,8.2%,52.6%,46.2%,8.6%,9.6%,11.5%,13.5%,7.2%,17.8%,10.7%,11.7%,9.4%,29.6,1.1%,12.4%,45.6%,41.0%,298
Alabama,Sumter,93.9%,83.1%,10.9%,0.5%,2.9%,0.0%,0.6%,2.0%,60.1%,18.6%,35.7%,8.4%,8.5%,5.8%,4.0%,16.3%,6.6%,5.8%,8.9%,23.6,1.2%,24.7%,37.3%,36.7%,303
Alabama,Talladega,94.3%,84.0%,10.3%,0.2%,1.1%,0.1%,1.7%,2.6%,63.5%,35.2%,18.1%,13.3%,16.8%,14.1%,3.1%,11.3%,4.8%,9.1%,9.4%,25.4,2.6%,18.3%,34.6%,44.5%,306
Alabama,Tallapoosa,95.2%,84.5%,10.7%,0.3%,0.9%,0.0%,0.8%,2.8%,59.5%,37.2%,18.1%,13.8%,13.9%,9.9%,4.6%,11.4%,5.4%,11.1%,11.7%,28.2,1.5%,17.0%,36.9%,44.5%,308
Alabama,Tuscaloosa,93.0%,82.6%,10.4%,0.7%,1.0%,0.2%,0.4%,4.6%,89.6%,9.3%,11.3%,16.1%,19.1%,19.0%,7.0%,12.1%,4.4%,5.5%,5.4%,22.9,1.8%,20.8%,41.7%,35.7%,313
Alabama,Walker,94.3%,83.7%,10.6%,0.1%,0.9%,0.1%,1.3%,3.4%,65.1%,33.9%,16.5%,12.5%,13.0%,11.9%,4.7%,11.3%,5.7%,11.4%,13.1%,28.4,1.4%,15.2%,36.3%,47.2%,317
Alabama,Washington,93.9%,87.4%,6.6%,0.0%,0.3%,0.0%,2.0%,3.9%,47.9%,37.5%,10.7%,11.9%,10.0%,9.2%,4.5%,15.6%,5.4%,15.6%,17.1%,33.8,0.7%,10.3%,24.2%,64.9%,319
Alabama,Wilcox,97.0%,87.4%,9.6%,0.6%,0.5%,0.0%,0.3%,1.6%,59.2%,39.2%,19.9%,13.8%,8.7%,9.4%,3.3%,14.1%,7.6%,12.6%,10.7%,28.1,2.2%,22.1%,37.0%,38.7%,326
Alabama,Winston,92.8%,76.0%,16.8%,0.2%,0.7%,0.0%,1.1%,5.1%,54.6%,43.6%,20.5%,14.2%,8.5%,8.2%,3.9%,11.4%,7.8%,10.8%,14.7%,31.2,1.6%,15.8%,33.3%,49.3%,332
Alaska,Aleutians East,32.9%,26.4%,6.5%,0.1%,52.0%,0.7%,4.8%,9.5%,99.0%,1.0%,89.3%,6.0%,2.7%,0.9%,0.6%,0.5%,0.0%,0.0%,0.0%,5.2,25.2%,31.6%,29.1%,14.2%,346
Alaska,Aleutians West,61.6%,49.2%,12.4%,0.6%,32.0%,0.7%,3.4%,1.7%,99.7%,0.1%,70.5%,22.7%,4.0%,1.0%,0.6%,0.0%,0.1%,0.2%,1.0%,7.2,9.0%,34.2%,38.0%,18.7%,381
Alaska,Anchorage,87.4%,75.0%,12.4%,1.5%,2.6%,1.1%,1.9%,5.5%,96.7%,2.8%,16.0%,20.4%,24.8%,18.7%,4.9%,8.0%,2.3%,2.2%,2.6%,18.6,2.4%,21.8%,43.8%,31.9%,400
Alaska,Bethel,35.4%,24.0%,11.4%,0.3%,33.7%,0.6%,25.0%,5.0%,99.6%,0.3%,71.5%,17.7%,4.6%,2.4%,1.3%,1.7%,0.4%,0.2%,0.2%,7.2,49.5%,26.3%,17.6%,6.6%,411
Alaska,Bristol Bay,74.8%,66.5%,8.3%,0.2%,17.0%,0.5%,1.8%,5.7%,98.9%,1.1%,59.9%,23.1%,5.6%,5.4%,1.7%,1.0%,0.5%,0.0%,2.9%,11.1,3.2%,37.6%,25.1%,34.1%,423
Alaska,Denali,42.4%,32.7%,9.6%,0.0%,53.6%,0.0%,0.6%,3.4%,96.7%,3.3%,33.1%,29.5%,9.0%,11.1%,1.6%,7.0%,1.8%,1.3%,5.6%,16.3,3.3%,20.4%,28.1%,48.2%,426
Alaska,Dillingham,50.2%,29.8%,20.3%,0.2%,28.4%,0.6%,14.4%,6.3%,99.4%,0.6%,60.4%,23.3%,9.7%,0.6%,0.7%,3.8%,0.4%,0.8%,0.4%,8.7,28.3%,36.0%,23.9%,11.7%,445
Alaska,Fairbanks North Star,88.2%,74.1%,14.2%,0.8%,3.9%,0.6%,1.5%,5.0%,96.9%,2.8%,19.8%,19.1%,20.8%,13.4%,8.1%,9.7%,3.0%,3.0%,3.2%,19.1,1.7%,21.0%,42.3%,35.0%,454
Alaska,Haines,55.1%,48.0%,7.1%,0.2%,16.0%,0.5%,8.4%,19.8%,98.6%,1.4%,72.8%,8.0%,8.2%,4.6%,0.0%,0.9%,0.3%,0.0%,5.2%,9.5,3.4%,17.4%,35.8%,43.4%,462
Alaska,Hoonah-Angoon,44.4%,37.6%,6.8%,1.8%,41.9%,1.7%,5.3%,5.0%,93.5%,6.1%,58.8%,16.6%,5.8%,5.2%,0.9%,7.2%,0.5%,1.7%,3.1%,14.2,16.9%,32.6%,25.6%,24.9%,476
Alaska,Juneau,79.4%,66.5%,13.0%,3.4%,7.2%,0.9%,1.4%,7.7%,98.5%,0.8%,24.5%,24.8%,22.4%,15.0%,4.1%,6.5%,0.2%,0.8%,1.7%,15.3,3.8%,24.2%,43.7%,28.3%,482
Alaska,Kenai Peninsula,80.3%,71.9%,8.4%,0.3%,5.4%,0.4%,4.9%,8.7%,93.9%,5.8%,30.3%,17.5%,18.8%,12.3%,4.4%,6.6%,2.7%,2.8%,4.6%,19.7,2.3%,21.4%,38.8%,37.5%,494
Alaska,Ketchikan Gateway,82.8%,65.6%,17.2%,4.2%,6.8%,0.2%,2.8%,3.3%,98.4%,0.9%,36.0%,20.0%,19.7%,12.2%,4.1%,5.2%,0.9%,0.7%,1.1%,13.9,4.6%,25.8%,38.6%,31.0%,514
Alaska,Kodiak Island,75.0%,58.7%,16.4%,0.0%,6.5%,0.9%,10.8%,6.7%,99.2%,0.2%,42.7%,27.4%,15.7%,7.4%,1.8%,2.9%,1.2%,0.0%,0.9%,11.2,7.6%,22.6%,42.4%,27.4%,533
Alaska,Lake and Peninsula,29.1%,23.0%,6.0%,0.0%,46.9%,0.6%,18.4%,5.0%,96.6%,3.4%,82.7%,11.8%,1.7%,0.0%,0.6%,0.4%,0.0%,0.0%,2.7%,7.3,37.2%,31.5%,21.2%,10.1%,544
Alaska,Matanuska-Susitna,83.4%,73.3%,10.1%,0.7%,2.0%,0.3%,6.0%,7.6%,68.3%,31.0%,12.6%,12.9%,14.2%,11.5%,4.1%,8.3%,3.9%,12.3%,20.1%,35.1,1.2%,11.6%,33.8%,53.4%,556
Alaska,Nome,36.3%,25.4%,10.9%,0.2%,36.4%,1.1%,20.0%,6.1%,99.6%,0.4%,76.3%,14.0%,4.8%,2.5%,0.7%,1.3%,0.1%,0.1%,0.2%,6.2,43.9%,26.6%,21.2%,8.3%,571
Alaska,North Slope,34.4%,18.5%,15.9%,1.1%,53.0%,0.1%,7.3%,4.1%,95.8%,4.2%,84.7%,8.7%,2.8%,1.5%,0.0%,1.7%,0.1%,0.3%,0.1%,6.0,25.9%,43.9%,19.8%,10.4%,614
Alaska,Northwest Arctic,28.5%,17.2%,11.3%,1.2%,44.0%,0.5%,19.1%,6.7%,99.0%,1.0%,81.2%,14.2%,3.0%,0.4%,0.2%,0.2%,0.1%,0.3%,0.5%,5.8,52.9%,32.4%,12.1%,2.6%,638
Alaska,Petersburg,64.1%,52.9%,11.3%,0.5%,25.2%,1.7%,3.3%,5.1%,98.3%,1.3%,74.2%,13.6%,4.5%,0.7%,0.0%,1.4%,0.3%,4.5%,0.7%,8.9,13.3%,25.8%,32.7%,28.2%,645
Alaska,Prince of Wales-Hyder,67.4%,52.9%,14.5%,1.0%,22.1%,0.3%,5.3%,3.9%,96.4%,2.1%,67.3%,7.6%,7.6%,2.9%,1.3%,2.2%,1.4%,2.1%,7.6%,14.8,5.9%,28.9%,38.7%,26.6%,669
Alaska,Sitka,74.4%,64.4%,10.0%,0.7%,14.4%,3.1%,3.7%,3.7%,94.8%,3.3%,50.7%,28.2%,11.6%,3.6%,1.3%,1.6%,0.8%,1.2%,1.0%,11.0,5.8%,29.8%,43.6%,20.9%,679
Alaska,Skagway,43.7%,39.8%,3.9%,0.5%,44.7%,5.8%,1.5%,3.9%,96.9%,3.1%,86.4%,8.7%,2.2%,1.2%,0.0%,0.0%,0.5%,0.8%,0.3%,5.3,7.2%,29.1%,27.8%,35.9%,683
Alaska,Southeast Fairbanks,77.9%,67.3%,10.6%,0.6%,8.1%,0.0%,2.9%,10.5%,96.7%,3.2%,37.4%,20.0%,15.3%,13.3%,4.2%,4.7%,2.9%,0.0%,2.0%,14.1,1.1%,26.9%,35.0%,37.0%,690
Alaska,Wrangell,75.5%,69.6%,5.8%,0.3%,10.8%,1.7%,1.3%,10.5%,98.8%,1.2%,65.1%,10.2%,15.6%,6.7%,0.3%,0.2%,0.0%,0.0%,1.9%,8.6,4.3%,18.3%,38.8%,38.7%,733
Alaska,Yakutat,62.6%,42.5%,20.1%,0.0%,25.9%,6.5%,1.7%,3.4%,100.0%,0.0%,85.9%,10.6%,2.1%,0.7%,0.4%,0.0%,0.0%,0.0%,0.4%,5.2,3.1%,57.5%,20.6%,18.9%,744
Alaska,Yukon-Koyukuk,33.1%,24.6%,8.5%,0.5%,40.8%,0.2%,15.4%,10.0%,94.4%,5.5%,71.5%,16.2%,5.8%,1.0%,0.2%,1.8%,0.4%,0.2%,2.9%,9.1,39.1%,30.1%,21.9%,8.8%,753
Arizona,Apache,84.4%,77.2%,7.2%,1.4%,3.9%,0.2%,1.7%,8.3%,75.8%,11.8%,24.5%,13.8%,9.6%,7.9%,2.5%,16.9%,4.3%,6.9%,13.6%,27.3,2.9%,26.2%,32.9%,37.9%,761
Arizona,Cochise,87.7%,78.6%,9.1%,0.5%,3.0%,0.4%,2.4%,6.0%,92.7%,5.8%,23.4%,18.3%,17.0%,13.2%,4.6%,7.3%,4.5%,5.3%,6.4%,21.2,1.8%,20.8%,37.8%,39.5%,763
Arizona,Coconino,80.6%,69.9%,10.6%,1.6%,8.4%,1.6%,0.9%,6.9%,92.2%,5.2%,25.6%,22.6%,20.2%,10.1%,3.7%,6.5%,3.1%,3.2%,5.0%,18.6,2.6%,21.0%,38.9%,37.5%,771
Arizona,Gila,91.0%,77.7%,13.3%,0.1%,1.6%,0.2%,0.6%,6.6%,84.7%,15.2%,35.0%,22.9%,10.5%,8.3%,3.6%,7.4%,2.3%,1.3%,8.7%,20.0,2.8%,19.0%,36.5%,41.8%,787
Arizona,Graham,93.1%,78.3%,14.8%,0.2%,1.4%,0.0%,1.1%,4.2%,82.1%,17.8%,28.4%,19.4%,15.5%,9.0%,3.3%,3.2%,2.6%,6.6%,12.2%,22.9,3.0%,13.8%,30.8%,52.5%,0
Arizona,Greenlee,96.7%,84.4%,12.3%,0.0%,1.6%,0.0%,0.6%,1.1%,89.9%,2.7%,35.4%,19.0%,14.2%,11.2%,2.9%,8.2%,2.6%,3.6%,3.0%,17.9,0.1%,16.4%,37.2%,46.2%,1
Arizona,La Paz,92.0%,81.0%,11.0%,0.0%,3.1%,2.0%,0.5%,2.4%,90.0%,2.8%,42.5%,16.6%,11.2%,12.7%,1.6%,9.0%,2.5%,1.9%,2.0%,14.4,2.1%,27.1%,43.1%,27.8%,3
