County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Lawrence County,Alabama,96.8%,86.4%,10.4%,0.0%,0.8%,0.0%,0.8%,1.6%,37.2%,61.8%,13.1%,13.0%,13.5%,13.6%,7.3%,13.3%,9.7%,9.9%,6.5%,26.1,1.6%,16.9%,39.8%,41.7%
Lee County,Alabama,91.9%,80.1%,11.8%,0.9%,2.5%,0.7%,1.2%,2.8%,68.0%,13.1%,17.0%,19.4%,18.7%,15.9%,6.2%,10.7%,3.9%,4.8%,3.4%,20.3,1.9%,22.1%,41.8%,34.2%
Limestone County,Alabama,96.0%,86.0%,10.0%,0.2%,0.7%,0.1%,1.0%,1.9%,47.9%,49.0%,10.7%,12.6%,12.7%,16.5%,6.7%,16.8%,9.4%,10.9%,3.7%,25.0,1.2%,15.6%,41.8%,41.3%
Lowndes County,Alabama,92.1%,78.6%,13.5%,1.0%,0.6%,0.0%,0.9%,5.4%,34.7%,64.9%,5.2%,5.6%,10.7%,8.2%,8.4%,20.5%,11.2%,16.9%,13.2%,35.4,4.2%,20.3%,32.5%,43.0%
Macon County,Alabama,90.2%,75.5%,14.6%,0.1%,6.4%,0.1%,1.2%,2.1%,52.0%,45.3%,15.8%,14.1%,13.7%,14.6%,6.7%,15.2%,7.3%,9.0%,3.6%,22.8,4.8%,30.7%,35.6%,29.0%
Madison County,Alabama,94.6%,85.0%,9.6%,0.4%,1.3%,0.1%,0.9%,2.7%,94.1%,4.0%,12.7%,15.6%,20.4%,19.5%,8.3%,13.4%,4.1%,3.7%,2.2%,20.8,2.4%,20.2%,41.8%,35.7%
Marengo County,Alabama,95.5%,83.0%,12.5%,0.0%,1.7%,0.0%,1.0%,1.8%,68.3%,29.5%,29.8%,11.5%,14.3%,10.9%,6.0%,9.8%,5.1%,7.0%,5.6%,21.1,1.3%,24.8%,47.4%,26.4%
Marion County,Alabama,95.5%,83.8%,11.7%,0.4%,1.1%,0.0%,1.3%,1.7%,68.2%,25.4%,24.6%,14.3%,18.2%,9.3%,5.1%,9.7%,2.4%,8.2%,8.2%,23.7,1.0%,17.7%,34.3%,47.0%
Marshall County,Alabama,94.8%,79.8%,15.0%,0.1%,1.1%,0.0%,1.1%,2.9%,70.9%,27.9%,19.2%,17.0%,15.4%,12.1%,2.9%,8.6%,6.3%,10.2%,8.2%,24.4,3.4%,15.2%,39.3%,42.1%
Mobile County,Alabama,94.7%,83.3%,11.4%,0.4%,1.3%,0.1%,0.9%,2.7%,90.0%,4.1%,10.4%,13.0%,18.3%,18.8%,6.5%,16.4%,5.3%,6.2%,5.1%,24.1,2.2%,20.9%,41.8%,35.2%
Monroe County,Alabama,96.0%,84.8%,11.2%,0.0%,1.7%,0.0%,0.7%,1.6%,80.8%,16.8%,19.1%,19.6%,18.3%,8.4%,3.8%,13.9%,1.1%,7.5%,8.2%,23.4,1.0%,21.5%,37.7%,39.8%
Montgomery County,Alabama,95.1%,84.2%,10.9%,0.8%,1.0%,0.1%,0.6%,2.4%,91.4%,7.8%,12.7%,17.1%,24.7%,20.6%,6.8%,10.1%,2.3%,2.8%,2.8%,19.7,2.5%,24.7%,40.8%,31.9%
Morgan County,Alabama,96.5%,85.1%,11.5%,0.3%,0.6%,0.0%,0.5%,2.0%,67.3%,31.6%,13.9%,16.5%,15.0%,13.7%,6.7%,15.8%,6.4%,8.4%,3.7%,22.9,1.8%,16.2%,41.2%,40.8%
Perry County,Alabama,88.4%,74.2%,14.3%,0.0%,5.2%,0.0%,1.9%,4.4%,51.7%,47.5%,24.7%,4.1%,15.7%,9.0%,3.9%,18.0%,4.8%,7.8%,12.2%,29.1,1.7%,18.3%,34.5%,45.6%
Pickens County,Alabama,94.4%,82.8%,11.6%,0.9%,0.5%,0.0%,0.2%,3.9%,45.5%,40.8%,18.9%,7.3%,10.0%,7.8%,4.7%,13.6%,8.7%,15.7%,13.3%,29.9,1.8%,17.6%,39.2%,41.3%
Pike County,Alabama,93.6%,80.9%,12.7%,0.0%,2.7%,0.0%,1.2%,2.5%,80.3%,18.1%,25.1%,25.1%,15.8%,9.3%,2.6%,7.0%,3.0%,5.8%,6.3%,19.5,2.4%,27.8%,37.5%,32.3%
Randolph County,Alabama,94.5%,80.1%,14.4%,0.0%,2.1%,0.3%,1.1%,2.0%,55.7%,18.2%,19.0%,15.7%,11.5%,9.3%,5.3%,13.2%,5.3%,11.7%,9.0%,26.9,2.6%,19.1%,29.3%,49.0%
Russell County,Alabama,94.5%,80.0%,14.5%,0.3%,0.9%,0.1%,2.1%,2.0%,35.9%,9.0%,10.1%,14.8%,19.0%,18.6%,6.8%,16.8%,5.5%,4.7%,3.7%,22.3,5.1%,26.8%,41.3%,26.9%
St. Clair County,Alabama,95.1%,84.1%,11.0%,0.1%,0.5%,0.1%,0.8%,3.4%,36.8%,61.9%,10.7%,9.4%,9.8%,13.1%,6.5%,15.1%,10.2%,16.7%,8.5%,30.1,0.9%,12.4%,44.8%,41.9%
Shelby County,Alabama,93.1%,84.1%,8.9%,0.2%,1.0%,0.0%,0.8%,4.9%,48.9%,49.1%,9.9%,9.3%,12.4%,13.4%,6.7%,18.6%,10.1%,11.5%,8.2%,29.0,0.7%,15.6%,46.1%,37.7%
Sumter County,Alabama,97.7%,79.5%,18.2%,0.3%,1.0%,0.0%,0.6%,0.4%,67.7%,16.1%,24.2%,14.4%,13.7%,8.8%,1.6%,12.0%,8.8%,6.2%,10.1%,23.8,2.4%,20.0%,44.3%,33.3%
Talladega County,Alabama,93.2%,83.7%,9.5%,0.6%,2.1%,0.1%,1.6%,2.4%,62.7%,35.9%,16.7%,14.8%,16.2%,13.8%,6.2%,12.4%,4.6%,6.4%,9.0%,24.6,1.5%,17.7%,37.1%,43.7%
Tallapoosa County,Alabama,95.7%,82.4%,13.3%,0.8%,0.9%,0.2%,0.4%,2.0%,68.4%,29.3%,19.1%,18.2%,16.6%,11.2%,4.0%,9.4%,5.7%,8.0%,7.8%,23.7,3.8%,16.3%,41.2%,38.7%
Tuscaloosa County,Alabama,94.2%,84.7%,9.5%,0.7%,1.5%,0.4%,1.2%,2.1%,89.2%,9.9%,13.9%,19.5%,20.9%,18.7%,4.9%,10.4%,3.8%,4.3%,3.6%,20.3,2.6%,18.5%,44.3%,34.7%
Walker County,Alabama,96.5%,85.4%,11.0%,0.2%,0.6%,0.0%,1.0%,1.7%,64.2%,34.9%,12.6%,13.9%,14.7%,10.5%,5.9%,10.5%,5.2%,13.4%,13.2%,28.8,2.2%,15.6%,35.6%,46.6%
Washington County,Alabama,94.9%,83.9%,11.0%,0.0%,0.7%,0.0%,2.1%,2.3%,56.5%,30.6%,15.0%,8.7%,15.5%,14.4%,4.8%,9.6%,6.9%,9.2%,15.8%,32.1,3.0%,12.9%,39.6%,44.4%
Wilcox County,Alabama,94.1%,73.4%,20.7%,1.0%,3.0%,0.0%,0.3%,1.6%,70.0%,29.7%,21.9%,13.0%,11.6%,5.9%,3.6%,20.2%,3.7%,12.9%,7.2%,25.0,4.8%,15.5%,37.6%,42.1%
Winston County,Alabama,90.6%,81.4%,9.1%,0.3%,1.2%,0.0%,4.7%,3.1%,63.8%,35.1%,22.3%,14.9%,13.5%,9.4%,2.5%,12.1%,7.3%,8.0%,10.2%,25.2,1.4%,14.8%,39.1%,44.7%
Aleutians East Borough,Alaska,6.1%,4.5%,1.7%,0.0%,74.8%,0.0%,1.3%,17.8%,99.9%,0.1%,90.8%,8.2%,0.6%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,4.3,26.0%,33.9%,23.8%,16.2%
Aleutians West Census Area,Alaska,13.4%,8.6%,4.8%,0.7%,61.2%,0.1%,0.5%,24.0%,99.8%,0.2%,88.2%,10.0%,1.3%,0.5%,0.0%,0.1%,0.0%,0.0%,0.0%,4.6,11.7%,34.8%,41.3%,12.2%
Anchorage Municipality,Alaska,89.1%,75.9%,13.2%,1.5%,2.6%,1.0%,2.0%,3.7%,96.7%,2.8%,17.2%,21.2%,22.7%,17.1%,5.6%,8.5%,3.0%,2.4%,2.3%,18.2,2.6%,22.3%,44.6%,30.5%
Bethel Census Area,Alaska,35.3%,24.3%,11.0%,0.0%,37.0%,0.8%,22.0%,5.0%,99.6%,0.3%,71.5%,16.9%,7.1%,1.9%,0.3%,1.9%,0.1%,0.1%,0.1%,7.0,49.5%,19.3%,23.1%,8.1%
Bristol Bay Borough,Alaska,78.1%,63.3%,14.8%,0.0%,12.4%,0.0%,1.7%,7.8%,98.1%,1.9%,57.0%,14.5%,16.1%,9.5%,1.6%,1.3%,0.0%,0.0%,0.0%,8.7,8.8%,33.1%,34.3%,23.8%
Denali Borough,Alaska,63.9%,50.2%,13.6%,7.2%,21.7%,0.0%,1.8%,5.4%,96.1%,3.1%,55.2%,6.7%,10.5%,11.6%,3.0%,6.8%,2.2%,1.6%,2.5%,12.8,1.3%,35.3%,38.1%,25.3%
Dillingham Census Area,Alaska,59.5%,36.3%,23.2%,0.3%,20.1%,0.2%,15.4%,4.4%,99.1%,0.9%,55.2%,26.2%,7.3%,5.1%,1.3%,2.8%,2.0%,0.0%,0.3%,9.2,26.9%,32.1%,28.1%,12.9%
Fairbanks North Star Borough,Alaska,86.4%,72.3%,14.1%,1.1%,3.4%,1.1%,1.7%,6.3%,96.4%,2.7%,22.0%,20.2%,18.9%,16.0%,5.7%,9.3%,2.6%,2.9%,2.3%,18.0,2.9%,20.6%,42.2%,34.2%
Haines Borough,Alaska,55.7%,49.7%,6.0%,2.1%,21.5%,3.2%,0.0%,17.5%,94.4%,5.6%,61.1%,14.3%,7.0%,2.9%,0.0%,4.6%,0.4%,3.7%,6.1%,12.9,2.7%,35.1%,38.8%,23.4%
Hoonah-Angoon Census Area,Alaska,45.9%,40.5%,5.4%,2.4%,27.8%,5.9%,10.4%,7.7%,83.5%,16.1%,61.8%,14.3%,10.4%,2.8%,4.9%,0.5%,3.7%,1.5%,0.1%,9.7,14.8%,37.5%,29.1%,18.7%
Juneau City and Borough,Alaska,77.2%,60.6%,16.5%,5.5%,9.1%,2.0%,2.3%,4.1%,98.4%,1.3%,29.3%,21.8%,20.5%,15.3%,3.3%,5.1%,1.6%,1.2%,1.8%,15.3,5.3%,26.3%,42.6%,25.9%
Kenai Peninsula Borough,Alaska,81.6%,71.9%,9.7%,0.8%,5.8%,0.6%,4.3%,6.9%,91.8%,7.5%,32.0%,17.7%,17.7%,10.2%,5.0%,8.2%,2.6%,2.7%,3.9%,18.4,2.3%,21.0%,44.8%,31.9%
Ketchikan Gateway Borough,Alaska,79.2%,60.5%,18.7%,1.9%,9.8%,0.3%,5.0%,3.8%,98.2%,1.3%,36.7%,23.3%,11.9%,11.4%,4.1%,9.6%,1.4%,0.7%,1.0%,14.2,8.2%,26.9%,40.1%,24.9%
Kodiak Island Borough,Alaska,78.8%,57.6%,21.1%,0.7%,12.6%,0.5%,3.0%,4.4%,99.2%,0.7%,53.6%,15.9%,10.8%,8.8%,0.9%,2.9%,0.0%,1.7%,5.5%,13.4,9.2%,27.6%,39.2%,24.0%
Lake and Peninsula Borough,Alaska,28.2%,21.0%,7.3%,3.2%,24.2%,1.6%,27.8%,14.9%,98.6%,1.4%,75.1%,11.6%,11.1%,0.2%,0.0%,1.2%,0.0%,0.0%,0.7%,6.3,42.1%,26.6%,24.6%,6.7%
Matanuska-Susitna Borough,Alaska,85.1%,70.2%,15.0%,0.5%,2.2%,0.4%,4.8%,7.0%,63.3%,36.3%,15.4%,12.7%,13.5%,9.7%,3.2%,7.0%,4.4%,13.5%,20.5%,33.4,1.3%,14.1%,39.9%,44.7%
Nome Census Area,Alaska,32.6%,20.6%,12.0%,0.3%,37.8%,1.1%,18.6%,9.7%,97.8%,1.7%,80.2%,13.0%,4.0%,1.5%,0.6%,0.4%,0.1%,0.0%,0.2%,5.9,45.8%,33.6%,14.1%,6.4%
North Slope Borough,Alaska,43.5%,19.1%,24.4%,0.1%,39.1%,0.2%,14.7%,2.4%,98.1%,1.9%,84.6%,8.6%,4.7%,0.5%,0.4%,1.0%,0.0%,0.0%,0.1%,5.4,43.1%,35.4%,19.1%,2.4%
Northwest Arctic Borough,Alaska,18.8%,10.8%,8.0%,0.6%,50.4%,0.7%,19.1%,10.5%,97.6%,1.9%,74.8%,16.8%,4.6%,1.4%,0.3%,0.5%,0.3%,0.5%,0.8%,7.4,62.4%,26.4%,8.3%,2.9%
Petersburg Census Area,Alaska,62.3%,47.9%,14.4%,0.0%,20.1%,2.5%,5.5%,9.6%,98.4%,1.1%,72.1%,10.3%,8.8%,3.7%,0.0%,2.0%,1.1%,0.3%,1.6%,8.5,7.6%,30.4%,37.9%,24.1%
Prince of Wales-Hyder Census Area,Alaska,69.0%,54.3%,14.7%,1.0%,22.3%,0.6%,4.3%,2.8%,95.6%,4.4%,60.7%,11.0%,9.7%,5.8%,0.7%,3.0%,1.6%,1.8%,5.8%,14.2,11.4%,26.2%,42.8%,19.5%
Sitka City and Borough,Alaska,75.4%,60.1%,15.3%,0.8%,11.3%,4.9%,4.0%,3.6%,97.1%,2.7%,57.7%,25.9%,8.6%,2.2%,0.3%,2.1%,0.5%,0.7%,2.1%,10.1,5.7%,28.8%,48.5%,17.0%
Skagway Municipality,Alaska,44.7%,40.7%,4.0%,0.9%,39.9%,1.8%,0.0%,12.7%,84.6%,15.4%,81.4%,15.8%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.6,4.1%,23.1%,43.6%,29.2%
Southeast Fairbanks Census Area,Alaska,81.7%,64.2%,17.5%,0.9%,6.6%,0.4%,2.3%,8.0%,95.0%,3.2%,36.6%,14.0%,16.9%,11.5%,7.5%,7.4%,2.0%,1.7%,2.3%,16.6,2.6%,25.2%,37.5%,34.7%
Valdez-Cordova Census Area,Alaska,79.4%,70.4%,9.0%,0.0%,10.7%,0.4%,3.9%,5.6%,96.6%,3.3%,52.4%,14.1%,12.9%,9.4%,1.3%,4.7%,1.3%,0.6%,3.2%,14.3,3.2%,28.6%,37.4%,30.8%
Wade Hampton Census Area,Alaska,9.5%,7.5%,2.0%,0.0%,56.6%,0.4%,31.6%,2.0%,98.8%,0.8%,85.3%,10.2%,2.6%,1.1%,0.0%,0.5%,0.2%,0.0%,0.2%,5.4,80.2%,15.2%,3.9%,0.7%
Wrangell City and Borough,Alaska,78.3%,68.3%,10.0%,1.3%,6.2%,0.5%,9.4%,4.2%,90.8%,9.2%,64.6%,12.3%,5.8%,7.1%,2.0%,2.1%,1.5%,0.0%,4.5%,13.4,2.6%,27.2%,53.2%,17.1%
Yakutat City and Borough,Alaska,73.1%,50.7%,22.4%,2.0%,11.6%,0.0%,6.5%,6.8%,98.0%,2.0%,76.3%,10.6%,10.6%,0.4%,0.7%,1.5%,0.0%,0.0%,0.0%,6.3,2.4%,48.3%,39.5%,9.9%
Yukon-Koyukuk Census Area,Alaska,38.1%,28.2%,9.9%,0.2%,36.3%,0.6%,16.2%,8.6%,93.3%,6.7%,69.5%,15.7%,6.9%,4.4%,0.9%,0.3%,0.2%,1.0%,1.0%,7.7,35.4%,31.0%,22.1%,11.5%
Apache County,Arizona,89.3%,79.0%,10.3%,0.7%,5.4%,0.2%,1.2%,3.3%,77.8%,10.2%,26.4%,12.7%,12.2%,7.6%,3.0%,13.7%,6.4%,6.7%,11.3%,26.4,2.4%,34.2%,32.4%,31.0%
Cochise County,Arizona,88.0%,76.6%,11.4%,0.4%,4.7%,0.4%,1.8%,4.7%,93.5%,5.3%,24.9%,20.5%,16.3%,13.7%,4.0%,7.7%,3.4%,4.5%,5.0%,19.5,2.5%,20.5%,40.3%,36.7%
Coconino County,Arizona,82.1%,68.4%,13.7%,0.9%,6.8%,2.9%,1.0%,6.3%,92.6%,5.5%,27.8%,22.5%,18.8%,10.6%,3.2%,7.1%,1.6%,2.8%,5.5%,18.0,3.1%,24.6%,39.3%,33.0%
Gila County,Arizona,88.0%,78.0%,10.0%,0.2%,4.0%,1.4%,1.0%,5.5%,88.8%,9.5%,31.8%,24.6%,15.2%,6.1%,1.7%,9.0%,2.6%,2.8%,6.3%,18.9,4.7%,23.2%,39.5%,32.6%
Graham County,Arizona,89.1%,71.8%,17.4%,1.7%,4.1%,0.4%,0.9%,3.8%,81.3%,18.3%,30.1%,21.2%,15.2%,9.4%,3.5%,5.7%,1.4%,5.8%,7.6%,19.6,2.3%,20.7%,36.5%,40.5%
Greenlee County,Arizona,92.7%,79.2%,13.5%,1.4%,1.8%,0.2%,1.6%,2.3%,91.4%,7.9%,40.6%,21.1%,9.0%,11.0%,2.8%,4.2%,3.0%,6.2%,2.1%,14.8,1.7%,13.2%,42.2%,42.9%
