State,County,# of Ranked Counties,Mortality Rank,Morbidity Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Kentucky,Knott,120,101,109,83,108,86,93,1154
Kentucky,Knox,120,112,97,73,43,100,45,1159
Kentucky,Larue,120,39,9,27,75,23,92,1162
Kentucky,Laurel,120,72,84,101,31,78,25,1166
Kentucky,Lawrence,120,91,117,96,107,108,36,1167
Kentucky,Lee,120,103,96,107,41,102,46,1171
Kentucky,Leslie,120,102,110,119,118,113,60,1175
Kentucky,Letcher,120,110,108,118,69,81,46,1178
Kentucky,Lewis,120,84,80,117,92,97,10,1180
Kentucky,Lincoln,120,57,92,32,52,72,18,1184
Kentucky,Livingston,120,37,88,48,119,48,74,1187
Kentucky,Logan,120,74,31,75,97,42,33,1190
Kentucky,Lyon,120,9,34,23,90,25,29,1193
Kentucky,McCracken,120,32,50,14,24,21,111,1196
Kentucky,McCreary,120,108,114,120,63,119,30,1198
Kentucky,McLean,120,60,100,74,109,62,56,1201
Kentucky,Madison,120,17,65,9,29,5,85,1204
Kentucky,Magoffin,120,106,118,85,94,116,71,1206
Kentucky,Marion,120,50,63,69,33,71,106,1210
Kentucky,Marshall,120,34,28,16,68,12,6,1213
Kentucky,Martin,120,116,119,115,84,107,30,1215
Kentucky,Mason,120,24,43,55,10,26,52,1217
Kentucky,Meade,120,18,13,99,66,55,112,1220
Kentucky,Menifee,120,81,78,100,53,112,36,1222
Kentucky,Mercer,120,27,59,59,49,18,61,1225
Kentucky,Metcalfe,120,89,102,91,102,89,59,1228
Kentucky,Monroe,120,82,35,80,120,91,15,1230
Kentucky,Montgomery,120,59,79,76,28,76,5,1233
Kentucky,Morgan,120,15,17,58,98,103,62,1235
Kentucky,Muhlenberg,120,68,53,62,76,80,39,1238
Kentucky,Nelson,120,16,21,15,40,32,114,1243
Kentucky,Nicholas,120,99,105,102,100,84,87,1246
Kentucky,Ohio,120,54,48,81,57,35,82,1249
Kentucky,Oldham,120,1,12,4,38,1,119,1252
Kentucky,Owen,120,6,16,38,106,40,40,1255
Kentucky,Owsley,120,119,101,53,30,117,42,1257
Kentucky,Pendleton,120,78,74,60,96,44,79,1260
Kentucky,Perry,120,118,111,114,34,92,113,1265
Kentucky,Pike,120,109,113,94,72,74,69,1267
Kentucky,Powell,120,114,86,105,17,109,18,1270
Kentucky,Pulaski,120,67,42,30,22,65,28,1272
Kentucky,Robertson,120,70,44,45,51,56,1,1273
Kentucky,Rockcastle,120,79,61,90,65,79,46,1276
Kentucky,Rowan,120,76,26,93,11,28,26,1279
Kentucky,Russell,120,21,52,71,55,85,1,1282
Kentucky,Scott,120,3,14,20,15,10,16,1283
Kentucky,Shelby,120,10,33,44,56,8,83,1285
Kentucky,Simpson,120,71,38,65,48,36,73,1287
Kentucky,Spencer,120,22,4,31,37,20,13,1000
Kentucky,Taylor,120,43,15,18,25,60,17,1003
Kentucky,Todd,120,90,83,57,112,59,34,1006
Kentucky,Trigg,120,44,93,35,105,61,13,1009
Kentucky,Trimble,120,93,32,54,82,46,4,1012
Kentucky,Union,120,36,68,89,86,52,89,1016
Kentucky,Warren,120,29,23,22,47,9,97,1019
Kentucky,Washington,120,47,1,28,91,41,99,1023
Kentucky,Wayne,120,47,75,72,46,99,1,1027
Kentucky,Webster,120,56,72,40,89,27,67,1029
Kentucky,Whitley,120,113,106,78,16,90,30,1034
Kentucky,Wolfe,120,120,103,109,74,111,72,1037
Kentucky,Woodford,120,28,2,1,13,2,102,1042
Louisiana,Acadia,64,54,44,24,19,37,10,1046
Louisiana,Allen,64,6,48,33,41,31,21,1051
Louisiana,Ascension,64,8,10,5,21,3,64,1055
Louisiana,Assumption,64,13,57,25,28,49,13,1060
Louisiana,Avoyelles,64,45,49,50,26,52,5,1062
Louisiana,Beauregard,64,44,15,26,48,10,14,1066
Louisiana,Bienville,64,37,41,62,44,40,48,1069
Louisiana,Bossier,64,2,12,19,13,6,49,1076
Louisiana,Caddo,64,35,38,10,2,47,59,1079
Louisiana,Calcasieu,64,36,22,39,6,14,56,1081
Louisiana,Caldwell,64,26,6,22,61,33,20,1084
Louisiana,Cameron,64,5,5,4,51,8,23,1089
Louisiana,Catahoula,64,38,64,36,55,53,26,1093
Louisiana,Claiborne,64,31,17,31,35,44,58,1095
Louisiana,Concordia,64,59,61,40,40,56,35,1098
Louisiana,De Soto,64,33,55,55,52,43,63,1103
Louisiana,East Baton Rouge,64,23,18,2,4,15,61,1108
Louisiana,East Carroll,64,63,37,59,46,64,33,1111
Louisiana,East Feliciana,64,58,16,53,33,24,18,1115
Louisiana,Evangeline,64,39,63,46,39,41,1,1118
Louisiana,Franklin,64,47,45,64,50,59,42,1123
Louisiana,Grant,64,41,31,41,49,29,34,1127
Louisiana,Iberia,64,27,32,37,7,27,9,1133
Louisiana,Iberville,64,53,52,35,12,46,54,1134
Louisiana,Jackson,64,16,33,23,60,16,47,1138
Louisiana,Jefferson,64,21,14,6,8,18,41,1147
Louisiana,Jefferson Davis,64,46,50,61,29,13,16,1155
Louisiana,Lafayette,64,9,8,3,5,2,24,1161
Louisiana,Lafourche,64,1,19,17,18,7,22,1280
Louisiana,La Salle,64,20,7,12,62,9,8,1289
Louisiana,Lincoln,64,12,11,9,43,12,57,1291
Louisiana,Livingston,64,25,13,32,45,5,19,1295
Louisiana,Madison,64,64,51,57,32,61,28,1297
Louisiana,Morehouse,64,55,56,52,31,62,52,1299
Louisiana,Natchitoches,64,40,39,14,30,50,43,1301
Louisiana,Orleans,64,62,47,11,1,63,53,1304
Louisiana,Ouachita,64,14,26,13,9,35,55,1306
Louisiana,Plaquemines,64,10,20,16,34,17,37,1427
Louisiana,Pointe Coupee,64,22,24,29,20,39,45,1431
Louisiana,Rapides,64,34,28,20,3,22,32,1434
Louisiana,Red River,64,50,27,51,56,55,39,1436
Louisiana,Richland,64,52,40,56,38,42,30,1439
Louisiana,Sabine,64,18,46,38,57,25,11,1441
Louisiana,St. Bernard,64,60,59,43,63,54,38,1463
Louisiana,St. Charles,64,17,9,28,25,4,50,1466
Louisiana,St. Helena,64,56,58,49,53,57,29,1467
Louisiana,St. James,64,24,29,54,24,30,60,1468
Louisiana,St. Bohn the Baptist,64,30,35,42,11,32,44,
Louisiana,St. Landry,64,51,60,45,15,51,3,1471
Louisiana,St. Martin,64,28,53,48,36,26,4,1473
Louisiana,St. Mary,64,43,43,58,10,34,51,1474
Louisiana,St. Tammany,64,3,2,1,16,1,27,1475
Louisiana,Tangipahoa,64,57,30,44,23,38,12,1476
Louisiana,Tensas,64,19,3,47,42,60,7,1479
Louisiana,Terrebonne,64,32,36,27,17,19,15,1501
Louisiana,Union,64,15,25,34,59,36,46,1507
Louisiana,Vermilion,64,11,23,15,47,23,17,1510
Louisiana,Vernon,64,4,4,60,54,11,40,1513
Louisiana,Washington,64,61,54,63,37,48,5,1516
Louisiana,Webster,64,49,34,30,14,45,36,1518
Louisiana,West Baton Rouge,64,48,62,8,27,21,2,1520
Louisiana,West Carroll,64,7,21,21,64,58,25,1522
Louisiana,West Feliciana,64,42,1,7,22,20,31,1524
Louisiana,Winn,64,29,42,18,58,28,62,1529
Maine,Androscoggin,16,12,13,14,3,10,10,1532
Maine,Aroostook,16,11,15,9,14,12,1,1535
Maine,Cumberland,16,4,5,1,1,2,7,1608
Maine,Franklin,16,1,2,4,4,11,4,1619
Maine,Hancock,16,5,1,5,6,4,16,1748
Maine,Kennebec,16,8,9,10,2,7,8,1755
Maine,Knox,16,7,3,3,10,6,11,1774
Maine,Lincoln,16,2,8,2,11,8,14,1835
Maine,Oxford,16,15,14,13,12,13,3,1842
Maine,Penobscot,16,13,11,11,7,5,15,1846
Maine,Piscataquis,16,14,12,12,5,16,6,1851
Maine,Sagadahoc,16,6,4,6,8,1,2,1855
Maine,Somerset,16,10,16,16,13,15,5,1860
Maine,Waldo,16,9,6,8,15,9,12,1865
Maine,Washington,16,16,10,15,16,14,13,1884
Maine,York,16,3,7,7,9,3,9,1901
Maryland,Allegany,24,17,22,18,24,18,8,1905
Maryland,Anne Arundel,24,11,11,7,4,8,21,1925
Maryland,Baltimore County,24,15,15,10,3,12,19,1939
Maryland,Calvert,24,10,4,11,11,5,11,1946
Maryland,Caroline,24,18,21,21,22,19,10,1949
Maryland,Carroll,24,4,8,4,5,4,3,1955
Maryland,Cecil,24,19,19,20,18,13,23,1963
Maryland,Charles,24,14,10,19,14,7,20,1294
Maryland,Dorchester,24,23,18,22,20,22,4,1346
Maryland,Frederick,24,3,5,6,7,3,16,1357
Maryland,Garrett,24,9,17,8,19,14,6,1361
Maryland,Harford,24,7,12,9,6,6,17,1372
Maryland,Howard,24,1,1,2,1,1,1,1379
Maryland,Kent,24,13,20,14,16,15,22,1394
Maryland,Montgomery,24,2,2,1,2,2,5,1398
Maryland,Prince George's,24,20,14,12,21,16,18,1403
Maryland,Queen Anne's,24,5,3,5,12,9,9,1413
Maryland,St. Mary's,24,6,9,15,15,10,13,1421
Maryland,Somerset,24,21,23,24,23,23,7,1430
Maryland,Talbot,24,8,6,3,9,11,15,1438
Maryland,Washington,24,12,13,16,10,17,14,1445
Maryland,Wicomico,24,22,16,17,13,20,2,1446
Maryland,Worcester,24,16,7,13,17,21,12,1456
Maryland,Baltimore city,24,24,24,23,8,24,24,
Massachusetts,Barnstable,14,8,3,4,2,5,14,1478
Massachusetts,Berkshire,14,10,11,11,1,11,12,1480
Massachusetts,Bristol,14,12,12,14,12,12,1,1486
Massachusetts,Dukes,14,5,1,2,13,6,9,1491
Massachusetts,Essex,14,6,8,8,7,10,7,1519
Massachusetts,Franklin,14,7,7,7,5,8,4,1523
Massachusetts,Hampden,14,14,14,13,9,14,11,1526
Massachusetts,Hampshire,14,2,6,5,3,4,8,1527
Massachusetts,Middlesex,14,3,5,3,6,2,3,1533
Massachusetts,Nantucket,14,1,2,6,14,1,10,1537
Massachusetts,Norfolk,14,4,4,1,4,3,6,1543
Massachusetts,Plymouth,14,11,10,9,11,7,2,1569
Massachusetts,Suffolk,14,13,13,10,8,13,13,1585
Massachusetts,Worcester,14,9,9,12,10,9,5,1599
Michigan,Alcona,82,76,75,24,57,71,77,1603
Michigan,Alger,82,2,16,31,33,32,26,1609
Michigan,Allegan,82,19,10,21,26,14,76,1611
Michigan,Alpena,82,48,63,51,6,55,40,1614
Michigan,Antrim,82,30,62,37,66,22,30,1617
Michigan,Arenac,82,74,54,25,78,69,49,1621
Michigan,Baraga,82,14,31,65,81,72,10,1624
Michigan,Barry,82,25,47,54,53,10,41,1627
Michigan,Bay,82,35,51,57,63,33,46,1631
Michigan,Benzie,82,63,20,9,74,19,33,1634
Michigan,Berrien,82,59,64,48,23,60,73,1635
Michigan,Branch,82,49,42,49,79,39,69,1640
Michigan,Calhoun,82,71,77,71,29,74,58,1641
Michigan,Cass,82,50,70,63,73,27,53,1644
Michigan,Charlevoix,82,28,13,11,9,29,13,1648
Michigan,Cheboygan,82,54,66,73,15,64,54,1649
Michigan,Chippewa,82,15,23,77,38,50,45,1660
Michigan,Clare,82,80,80,66,55,79,6,1665
Michigan,Clinton,82,5,15,7,49,2,29,1669
Michigan,Crawford,82,65,14,42,41,56,11,1672
Michigan,Delta,82,22,69,28,22,16,18,1675
Michigan,Dickinson,82,39,8,32,11,11,20,1677
Michigan,Eaton,82,8,21,58,46,12,19,1678
Michigan,Emmet,82,4,17,46,14,26,48,1686
Michigan,Genesee,82,73,79,82,21,78,75,1688
Michigan,Gladwin,82,72,81,72,80,73,3,1691
Michigan,Gogebic,82,40,19,33,27,41,8,1693
Michigan,Grand Traverse,82,9,7,8,8,6,67,1697
Michigan,Gratiot,82,32,40,69,44,42,60,1700
Michigan,Hillsdale,82,31,41,47,58,51,64,1701
Michigan,Houghton,82,36,1,12,51,21,38,1705
Michigan,Huron,82,37,38,16,61,25,36,1708
Michigan,Ingham,82,27,49,19,31,36,66,1710
Michigan,Ionia,82,17,30,29,42,34,35,1713
Michigan,Iosco,82,62,46,75,39,66,70,1715
Michigan,Iron,82,41,4,27,67,38,50,1716
Michigan,Isabella,82,53,39,22,77,13,52,1717
Michigan,Jackson,82,60,67,59,40,46,32,1719
Michigan,Kalamazoo,82,23,65,13,19,20,63,1720
Michigan,Kalkaska,82,46,76,35,30,52,2,1722
Michigan,Kent,82,18,32,15,7,31,81,1726
Michigan,Keweenaw,82,NR,NR,NR,NR,NR,NR,1743
Michigan,Lake,82,82,44,76,60,81,39,1749
Michigan,Lapeer,82,11,9,45,72,24,59,1752
Michigan,Leelanau,82,1,24,5,69,4,27,1765
Michigan,Lenawee,82,16,18,26,24,28,62,1768
Michigan,Livingston,82,6,3,2,25,1,56,1770
Michigan,Luce,82,52,50,62,59,61,4,1773
Michigan,Mackinac,82,68,2,50,64,54,42,1779
Michigan,Macomb,82,26,53,18,43,18,78,1785
Michigan,Manistee,82,34,78,17,45,37,24,1787
Michigan,Marquette,82,13,6,10,1,8,31,1793
Michigan,Mason,82,43,43,40,32,30,47,1797
Michigan,Mecosta,82,29,52,67,16,45,21,1800
Michigan,Menominee,82,10,28,38,65,15,23,1802
Michigan,Midland,82,21,26,14,12,7,37,1806
Michigan,Missaukee,82,24,12,34,56,48,28,1810
Michigan,Monroe,82,38,56,44,50,17,72,1812
Michigan,Montcalm,82,44,48,74,48,70,15,1815
Michigan,Montmorency,82,77,59,20,62,80,1,1816
Michigan,Muskegon,82,47,73,80,3,63,74,1818
Michigan,Newaygo,82,55,29,52,20,58,34,1820
Michigan,Oakland,82,12,36,3,4,9,68,1824
Michigan,Oceana,82,45,71,53,75,68,17,1825
Michigan,Ogemaw,82,78,37,39,52,57,14,1827
Michigan,Ontonagon,82,81,68,43,82,23,11,1829
Michigan,Osceola,82,57,34,30,37,59,7,1830
Michigan,Oscoda,82,64,57,55,70,76,9,1832
Michigan,Otsego,82,51,22,70,13,40,4,1834
Michigan,Ottawa,82,3,5,4,10,5,71,1837
Michigan,Presque Isle,82,20,35,6,18,67,16,1840
Michigan,Roscommon,82,75,45,64,36,75,22,1843
Michigan,Saginaw,82,67,74,79,17,77,65,1845
Michigan,St. Clair,82,33,61,68,47,43,80,1854
Michigan,St. Joseph,82,69,60,61,68,47,25,1857
Michigan,Sanilac,82,58,58,78,76,49,55,1858
Michigan,Schoolcraft,82,66,33,56,28,65,79,1861
Michigan,Shiawassee,82,42,72,41,34,35,44,1863
Michigan,Tuscola,82,56,27,23,71,44,43,1866
Michigan,Van Buren,82,61,25,36,35,53,51,1867
Michigan,Washtenaw,82,7,11,1,5,3,61,1869
Michigan,Wayne,82,79,82,81,54,82,82,1871
Michigan,Wexford,82,70,55,60,2,62,57,1873
Minnesota,Aitkin,85,58,8,18,80,77,21,1875
Minnesota,Anoka,85,17,56,67,18,28,85,1877
Minnesota,Becker,85,75,58,83,29,73,44,1878
Minnesota,Beltrami,85,84,45,85,56,83,37,1880
Minnesota,Benton,85,52,79,7,60,37,35,1881
Minnesota,Big Stone,85,81,44,38,26,45,59,1882
Minnesota,Blue Earth,85,18,27,56,27,13,48,1886
Minnesota,Brown,85,22,13,82,14,27,19,1892
Minnesota,Carlton,85,60,78,54,42,53,33,1893
Minnesota,Carver,85,1,33,23,9,1,67,1894
Minnesota,Cass,85,83,59,80,77,84,13,1895
Minnesota,Chippewa,85,7,26,60,32,26,4,1896
Minnesota,Chisago,85,41,68,72,30,36,40,1897
Minnesota,Clay,85,53,66,17,17,18,24,1898
Minnesota,Clearwater,85,68,4,51,84,85,14,1899
Minnesota,Cook,85,NR,NR,NR,NR,NR,NR,1900
Minnesota,Cottonwood,85,70,74,49,22,32,23,1902
Minnesota,Crow Wing,85,45,63,42,59,66,68,1903
Minnesota,Dakota,85,9,39,3,6,6,15,1904
Minnesota,Dodge,85,35,31,57,52,14,34,1906
Minnesota,Douglas,85,38,20,13,16,40,39,1907
Minnesota,Faribault,85,32,67,20,67,52,70,1908
Minnesota,Fillmore,85,28,11,8,66,51,57,1909
Minnesota,Freeborn,85,42,75,79,33,46,77,1910
Minnesota,Goodhue,85,36,47,81,21,33,58,1911
Minnesota,Grant,85,46,60,28,83,61,46,1912
Minnesota,Hennepin,85,30,62,1,3,62,31,1913
Minnesota,Houston,85,55,51,21,12,10,8,1914
Minnesota,Hubbard,85,25,19,50,25,75,6,1915
Minnesota,Isanti,85,20,82,77,54,47,18,1916
Minnesota,Itasca,85,64,48,71,24,72,47,1917
Minnesota,Jackson,85,2,12,25,37,16,56,1918
Minnesota,Kanabec,85,63,61,58,48,81,3,1919
Minnesota,Kandiyohi,85,24,9,53,8,54,38,1920
Minnesota,Kittson,85,46,70,61,73,50,74,1921
Minnesota,Koochiching,85,79,37,33,62,79,63,1922
Minnesota,Lac Qui Parle,85,74,1,26,76,35,36,
Minnesota,Lake,85,80,81,30,28,23,26,1926
Minnesota,Lake of the Woods,85,46,83,52,85,60,79,1927
Minnesota,Le Sueur,85,11,22,32,51,42,43,1929
Minnesota,Lincoln,85,59,29,27,64,31,22,1931
Minnesota,Lyon,85,44,28,73,49,5,53,1932
Minnesota,McLeod,85,16,6,15,43,49,30,1934
Minnesota,Mahnomen,85,85,7,75,55,82,25,1936
Minnesota,Marshall,85,4,25,39,82,70,1,1937
Minnesota,Martin,85,43,80,70,31,48,60,1940
Minnesota,Meeker,85,57,10,84,47,38,29,1941
Minnesota,Mille Lacs,85,73,16,69,57,78,64,1943
Minnesota,Morrison,85,62,84,76,46,68,27,1944
Minnesota,Mower,85,26,72,34,58,56,54,1945
Minnesota,Murray,85,76,64,45,79,34,82,1947
Minnesota,Nicollet,85,14,32,9,20,4,45,1948
Minnesota,Nobles,85,12,69,55,40,64,84,1950
Minnesota,Norman,85,77,21,59,71,67,49,1951
Minnesota,Olmsted,85,15,14,5,1,7,65,1953
Minnesota,Otter Tail,85,33,36,66,61,58,9,1954
Minnesota,Pennington,85,39,40,37,7,63,17,1956
Minnesota,Pine,85,78,55,64,68,80,11,1957
Minnesota,Pipestone,85,71,73,35,35,22,41,1958
Minnesota,Polk,85,66,35,78,63,65,16,1959
Minnesota,Pope,85,61,30,10,74,43,12,1961
Minnesota,Ramsey,85,54,65,16,4,71,32,1964
Minnesota,Red Lake,85,46,52,22,70,57,62,1966
Minnesota,Redwood,85,56,15,41,11,59,69,1969
Minnesota,Renville,85,65,77,68,65,44,83,1971
Minnesota,Rice,85,10,54,6,44,12,75,1973
Minnesota,Rock,85,37,42,43,5,11,76,1974
Minnesota,Roseau,85,40,38,65,72,25,20,1976
Minnesota,St. Louis,85,67,46,11,10,69,81,1978
Minnesota,Scott,85,5,3,24,38,2,55,1979
Minnesota,Sherburne,85,21,53,63,39,8,42,1980
Minnesota,Sibley,85,8,17,47,78,39,28,1982
Minnesota,Stearns,85,13,50,19,34,41,50,1984
Minnesota,Steele,85,3,18,29,13,19,7,1985
Minnesota,Stevens,85,46,43,2,81,21,52,1987
Minnesota,Swift,85,29,2,62,50,24,78,1988
Minnesota,Todd,85,69,57,74,75,74,10,1989
Minnesota,Traverse,85,NR,NR,NR,NR,NR,NR,1990
Minnesota,Wabasha,85,27,85,12,36,20,71,1991
Minnesota,Wadena,85,82,71,4,23,76,2,1992
Minnesota,Waseca,85,34,34,46,15,29,51,1993
Minnesota,Washington,85,6,24,14,2,3,66,1994
Minnesota,Watonwan,85,31,41,44,69,55,72,1996
Minnesota,Wilkin,85,46,49,36,19,15,5,1997
Minnesota,Winona,85,23,5,40,53,17,61,1998
Minnesota,Wright,85,19,23,31,41,9,80,1999
Minnesota,Yellow Medicine,85,72,76,48,45,30,73,1531
Mississippi,Adams,81,51,74,40,23,59,54,1534
Mississippi,Alcorn,81,18,21,13,45,18,10,1538
Mississippi,Amite,81,15,67,44,57,53,28,1539
Mississippi,Attala,81,45,70,31,16,61,46,1541
Mississippi,Benton,81,71,73,69,26,60,30,1544
Mississippi,Bolivar,81,72,43,47,12,69,78,1547
Mississippi,Calhoun,81,55,38,60,68,50,25,1548
Mississippi,Carroll,81,26,12,67,53,51,21,1549
Mississippi,Chickasaw,81,23,56,35,52,65,29,1550
Mississippi,Choctaw,81,13,8,5,66,58,8,1552
Mississippi,Claiborne,81,66,77,39,70,64,42,1555
Mississippi,Clarke,81,25,69,3,65,37,36,1557
Mississippi,Clay,81,31,49,25,28,77,55,1559
Mississippi,Coahoma,81,77,27,75,17,80,72,1562
Mississippi,Copiah,81,43,72,70,18,38,35,1564
Mississippi,Covington,81,44,75,61,60,23,5,1567
Mississippi,DeSoto,81,3,1,22,24,5,80,1571
Mississippi,Forrest,81,35,44,20,9,22,65,1572
Mississippi,Franklin,81,14,71,59,69,33,19,1575
Mississippi,George,81,58,41,37,75,20,1,1577
Mississippi,Greene,81,11,16,52,78,30,7,1579
Mississippi,Grenada,81,74,76,56,47,55,58,1581
Mississippi,Hancock,81,20,11,21,48,14,77,1583
Mississippi,Harrison,81,42,24,33,31,9,81,1587
Mississippi,Hinds,81,33,37,10,2,49,63,1591
Mississippi,Holmes,81,80,64,81,11,81,41,1593
Mississippi,Humphreys,81,79,22,80,6,79,76,1596
Mississippi,Issaquena,81,NR,NR,NR,NR,NR,NR,1598
Mississippi,Itawamba,81,39,19,11,29,13,18,1601
Mississippi,Jackson,81,29,7,36,13,7,73,1605
Mississippi,Jasper,81,52,59,34,50,45,40,1607
Mississippi,Jefferson,81,67,79,78,63,75,11,1610
Mississippi,Jefferson Davis,81,73,78,53,59,67,37,1612
Mississippi,Jones,81,50,13,24,27,17,47,1615
Mississippi,Kemper,81,7,61,58,62,46,66,1616
Mississippi,Lafayette,81,4,6,7,34,1,67,1620
Mississippi,Lamar,81,6,3,9,5,4,26,1623
Mississippi,Lauderdale,81,54,23,15,4,36,74,1628
Mississippi,Lawrence,81,48,52,66,74,25,14,1632
Mississippi,Leake,81,62,39,41,61,32,44,1636
Mississippi,Lee,81,21,10,8,3,15,79,1638
Mississippi,Leflore,81,60,55,57,10,78,69,1643
Mississippi,Lincoln,81,19,35,27,25,8,24,1645
Mississippi,Lowndes,81,8,17,28,7,29,70,1647
Mississippi,Madison,81,40,2,1,1,3,45,1651
Mississippi,Marion,81,78,62,72,56,47,32,1653
Mississippi,Marshall,81,57,46,77,39,56,49,1655
Mississippi,Monroe,81,10,54,32,21,43,53,1656
Mississippi,Montgomery,81,22,32,42,40,52,14,1658
Mississippi,Neshoba,81,61,34,48,44,24,5,1661
Mississippi,Newton,81,9,30,16,54,19,39,1663
Mississippi,Noxubee,81,36,63,4,46,74,31,1666
Mississippi,Oktibbeha,81,5,5,2,37,6,57,1668
Mississippi,Panola,81,70,45,64,35,54,61,1671
Mississippi,Pearl River,81,37,26,49,67,16,22,1676
Mississippi,Perry,81,27,47,51,81,41,27,1679
Mississippi,Pike,81,47,60,68,36,57,64,1680
Mississippi,Pontotoc,81,2,31,26,42,12,48,1682
Mississippi,Prentiss,81,32,20,19,30,28,33,1684
Mississippi,Quitman,81,81,36,71,49,73,50,1685
Mississippi,Rankin,81,1,4,6,8,2,23,1690
Mississippi,Scott,81,46,57,74,76,35,14,1692
Mississippi,Sharkey,81,41,9,63,51,68,75,1695
Mississippi,Simpson,81,38,58,18,73,31,13,1698
Mississippi,Smith,81,65,50,17,79,10,20,1709
Mississippi,Stone,81,63,48,45,41,27,8,1712
Mississippi,Sunflower,81,75,65,65,32,76,68,1721
Mississippi,Tallahatchie,81,69,81,73,22,66,52,1725
Mississippi,Tate,81,28,15,76,58,21,60,1727
Mississippi,Tippah,81,12,80,23,55,48,38,1730
Mississippi,Tishomingo,81,49,53,30,72,39,12,1732
Mississippi,Tunica,81,76,29,79,33,71,33,1735
Mississippi,Union,81,16,25,29,38,11,62,1737
Mississippi,Walthall,81,34,40,50,77,42,2,1740
Mississippi,Warren,81,30,14,54,19,34,59,1746
Mississippi,Washington,81,68,42,55,14,72,71,1750
Mississippi,Wayne,81,24,68,12,71,44,43,1753
Mississippi,Webster,81,17,28,14,80,26,14,1756
Mississippi,Wilkinson,81,64,66,62,20,63,4,1757
Mississippi,Winston,81,59,51,38,15,40,2,1758
Mississippi,Yalobusha,81,53,18,46,64,62,51,1759
Mississippi,Yazoo,81,56,33,43,43,70,56,1760
Missouri,Adair,115,42,69,9,100,23,56,1761
Missouri,Andrew,115,41,7,33,36,5,39,1762
Missouri,Atchison,115,16,8,16,94,45,27,1763
Missouri,Audrain,115,28,88,68,26,60,43,1766
Missouri,Barry,115,86,107,73,20,59,46,1767
Missouri,Barton,115,45,78,23,63,107,69,1771
Missouri,Bates,115,29,29,90,115,74,19,1776
Missouri,Benton,115,60,21,26,105,88,9,1778
Missouri,Bollinger,115,93,93,87,78,70,96,1781
Missouri,Boone,115,5,36,17,1,4,51,1783
Missouri,Buchanan,115,58,47,111,11,30,65,1789
Missouri,Butler,115,108,112,112,8,96,100,1792
Missouri,Caldwell,115,81,86,106,86,38,24,1795
Missouri,Callaway,115,63,81,105,27,37,48,1799
Missouri,Camden,115,33,41,32,70,41,25,1803
Missouri,Cape Girardeau,115,8,45,29,7,14,87,1808
Missouri,Carroll,115,39,11,41,112,62,29,1822
Missouri,Carter,115,111,70,79,97,105,94,1001
Missouri,Cass,115,12,15,69,21,9,54,1004
Missouri,Cedar,115,82,18,59,82,93,58,1007
Missouri,Chariton,115,55,75,8,85,24,92,1011
Missouri,Christian,115,7,1,2,18,10,35,1014
Missouri,Clark,115,44,56,84,111,72,49,1015
Missouri,Clay,115,9,27,55,14,6,108,1018
Missouri,Clinton,115,32,17,63,43,21,67,1021
Missouri,Cole,115,14,14,15,16,8,55,1022
Missouri,Cooper,115,18,31,77,31,13,57,1025
Missouri,Crawford,115,80,103,61,46,109,36,1028
Missouri,Dade,115,101,53,60,55,56,88,1030
Missouri,Dallas,115,103,34,92,38,108,86,1032
Missouri,Daviess,115,75,82,102,73,48,29,1036
Missouri,DeKalb,115,17,5,96,77,32,52,1038
Missouri,Dent,115,53,87,44,53,89,80,1040
Missouri,Douglas,115,40,76,25,76,91,72,1043
Missouri,Dunklin,115,113,111,115,64,111,99,1045
Missouri,Franklin,115,23,19,62,12,63,15,1047
Missouri,Gasconade,115,25,74,42,41,65,47,1049
Missouri,Gentry,115,54,39,40,110,16,6,1052
Missouri,Greene,115,26,37,22,3,25,77,1054
Missouri,Grundy,115,22,60,71,80,58,22,1057
Missouri,Harrison,115,38,50,82,56,31,60,1058
Missouri,Henry,115,88,94,51,60,71,45,1061
Missouri,Hickory,115,72,72,27,107,104,84,1063
Missouri,Holt,115,64,23,58,90,26,11,1065
Missouri,Howard,115,34,35,43,33,42,40,1068
Missouri,Howell,115,94,89,50,17,82,74,1070
Missouri,Iron,115,105,100,107,49,77,61,1072
Missouri,Jackson,115,61,67,98,10,99,107,1074
Missouri,Jasper,115,50,22,93,35,53,64,1078
Missouri,Jefferson,115,19,51,76,40,50,110,1082
Missouri,Johnson,115,3,10,48,68,18,23,1087
Missouri,Knox,115,64,16,18,109,20,49,1091
Missouri,Laclede,115,62,63,75,29,84,90,1096
Missouri,Lafayette,115,35,2,31,42,36,41,1099
Missouri,Lawrence,115,43,64,57,24,43,70,1101
Missouri,Lewis,115,78,25,64,69,28,29,1104
Missouri,Lincoln,115,24,73,88,30,79,102,1106
Missouri,Linn,115,37,46,95,99,76,16,1109
Missouri,Livingston,115,84,79,65,74,27,71,1112
Missouri,McDonald,115,98,55,74,102,87,93,1113
Missouri,Macon,115,47,62,14,61,33,37,1116
Missouri,Madison,115,100,96,85,45,80,3,1117
Missouri,Maries,115,31,59,70,71,61,6,1120
Missouri,Marion,115,73,84,49,25,47,18,1122
Missouri,Mercer,115,64,66,83,113,12,1,1125
Missouri,Miller,115,83,58,86,50,78,13,1128
Missouri,Mississippi,115,109,108,100,72,113,109,1131
